Sub * SUBJ SUBJ !›Â—”  „ÿ«·»!
W * N N,SING,COM,GEN „”∆·Â
W * N N,PL,COM “‰«‰
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM -
W * N N,SING,COM «Ã«“Â
W * V V,SUB,POS,5 œÂÌœ
W * N N,SING,COM,AFF,5 ﬂÊœﬂ «‰
W * V V,SUB,POS,3 »»«“œ
W * DELM DELM .
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM -
W * N N,SING,COM ‘‰«Œ 
W * DELM DELM ª
W * N N,SING,COM,GEN ‰«„ÂÒ
W * N N,SING,COM,GEN «‰Ã„‰
W * N N,PL,COM,GEN «Ì—«‰‘‰«”«‰
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,SIM „‘ —ﬂ «·„‰«›⁄
W * CON CON Ê
W * N N,SING,LOC,PR ﬁ›ﬁ«“
W * DELM DELM ´
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 6
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 851
W * DELM DELM -
W * N N,SING,NUM 11365
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,SING,COM „Ì“ê—œ
W * DELM DELM :
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM ›«—”Ì
W * DELM DELM °
W * N N,SING,COM,GEN ÂÊÌ 
W * ADJ ADJ,SIM „·Ì
W * DELM DELM °
W * N N,SING,COM,GEN Â„»” êÌ
W * ADJ ADJ,SIM ›—Â‰êÌ
W * DELM DELM -
W * N N,SING,COM,GEN ‰ﬁ‘
W * N N,PL,COM,GEN ’›« 
W * ADJ ADJ,SIM ›⁄·Ì
W * P P œ—
W * N N,SING,COM,GEN €‰«Ì
W * N N,SING,COM,GEN ê‰ÃÌ‰ÂÒ
W * N N,PL,COM,GEN ·€« 
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM ›«—”Ì
W * DELM DELM -
W * N N,PL,COM,GEN ”‰ê ‰»‘ Â Â«Ì
W * N N,SING,COM,GEN „”Ì—
W * N N,SING,COM,GEN —«Â
W * N N,SING,COM «»—Ì‘„
W * DELM DELM -
W * N N,SING,COM,GEN ê‰ÃÌ‰ÂÒ
W * N N,PL,COM,GEN ‰”Œ
W * ADJ ADJ,SIM,GEN ŒÿÌ
W * N N,SING,COM,GEN ¬ﬂ«œ„Ì
W * N N,PL,COM,GEN ⁄·Ê„
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * N N,SING,LOC,PR  «ÃÌﬂ” «‰
W * DELM DELM -
W * N N,SING,COM „⁄„«—Ì
W * CON CON Ê
W * N N,SING,COM Â‰—
W * P P œ—
W * N N,SING,LOC,PR,GEN ¬”Ì«Ì
W * ADJ ADJ,SIM „—ﬂ“Ì
W * P P œ—
W * N N,SING,COM,GEN œÊ—ÂÒ
W * N N,PL,PR «“»ﬂ«‰
W * DELM DELM -
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,PR › Ì«‰
W * CON CON Ê
W * N N,SING,COM,GEN ‰ﬁ‘
W * N N,SING,COM,GEN Œ·Ì›Â
W * N N,SING,PR ⁄»«”Ì
W * P P œ—
W * N N,SING,COM,GEN «ÕÌ«Ì
W * PRO PRO,DEMO,SING ¬‰
W * DELM DELM -
W * N N,PL,COM,GEN ⁄··
W * N N,SING,COM «ÊÃ êÌ—Ì
W * CON CON Ê
W * N N,SING,COM,GEN ”ﬁÊÿ
W * N N,PL,PR ”«„«‰Ì«‰
W * DELM DELM -
W * N N,SING,PR,GEN „Ì—ÿ«Â—
W * N N,SING,PR,GEN ’œ—
W * N N,SING,PR „‘ÂœÌ
W * CON CON Ê
W * N N,PL,COM,AFF,3 «Ê·«œ‘
W * P P œ—
W * N N,SING,LOC,PR ”„—ﬁ‰œ
W * DELM DELM -
W * N N,SING,COM,GEN —éÌ„
W * N N,SING,LOC,PR ‘Ê—ÊÌ
W * CON CON Ê
W * N N,PL,COM,GEN Ã‰»‘Â«Ì
W * N N,SING,COM,GEN Â·«·
W * ADJ ADJ,SIM,GEN Ã‰Ê»Ì
W * N N,SING,LOC,PR,GEN ¬”Ì«Ì
W * ADJ ADJ,SIM „—ﬂ“Ì
W * DELM DELM .
W * N N,SING,COM „Ê›ﬁÌ 
W * DELM DELM ª
W * ADJ ADJ,SIM «Ã „«⁄Ì
W * DELM DELM °
W * ADJ ADJ,SIM ⁄·„Ì
W * DELM DELM °
W * ADJ ADJ,SIM Œ«‰Ê«œêÌ
W * DELM DELM ´
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 2
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 21
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 8782896
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * ADV ADV,I çêÊ‰Â
W * V V,AUX,NIN,POS „Ì  Ê«‰
W * P P «“
W * N N,SING,COM «— »«ÿ
W * P P »«
W * PRO PRO,INDF,PL œÌê—«‰
W * N N,SING,COM ·– 
W * V V,PA,SIM,POS,3 »—œ
W * DELM DELM ø
W * DELM DELM -
W * N N,SING,COM,GEN ›ﬁœ«‰
W * N N,SING,COM,GEN ÂÊÌ 
W * N N,SING,COM —«Â»—Ì
W * DELM DELM ª
W * N N,SING,COM,GEN —«“
W * N N,SING,COM,GEN ‘ﬂ” 
W * N N,PL,COM,GEN ›⁄«·Ì Â«Ì
W * ADJ ADJ,SIM  Ã«—Ì
W * DELM DELM ´
W * DELM DELM -
W * N N,SING,COM,GEN ⁄«·„
W * N N,SING,COM „«Ê—«¡«·ÿ»Ì⁄Â
W * CON CON Ê
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * ADJ ADJ,SIM,GEN ‰«‘‰«Œ ÂÒ
W * ADJ ADJ,SIM «‰”«‰Ì
W * DELM DELM -
W * ADV ADV,I çêÊ‰Â
W * P P «“
W * N N,PL,COM,AFF,4 ›—“‰œ«‰„«‰
W * N N,PL,COM,INDF «›—«œÌ
W * ADJ ADJ,SIM »«ÂÊ‘
W * CON CON Ê
W * ADJ ADJ,SIM Œ·«ﬁ
W * V V,SUB,POS,4 »”«“Ì„
W * DELM DELM ø
W * DELM DELM -
W * N N,SING,LOC,GEN «Ì” ê«Â
W * ADJ ADJ,ORD,GEN «Ê·
W * N N,SING,COM „Ê›ﬁÌ 
W * DELM DELM °
W * N N,SING,LOC,GEN «Ì” ê«Â
W * N N,SING,COM  Êﬁ›
W * DELM DELM .
Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,COM,GEN ‰„«Ì‰œÂ
W * ADJ ADJ,SIM,GEN œ«Ì„
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,GR „··
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ‘‰»Â
W * P P œ—
W * N N,SING,COM,GEN ‰‘” 
W * ADJ ADJ,SIM,GEN Å«Ì«‰Ì
W * N N,SING,COM,GEN «Ã·«”
W * N N,SING,LOC,PR Åﬂ‰
W * DELM DELM +
W * N N,SING,NUM 5
W * P P œ—
W * N N,PL,COM,INDF ”Œ‰«‰Ì
W * N N,SING,COM,GEN ÷„‰
W * ADJ ADJ,SIM „Ê›ﬁÌ  ¬„Ì“
W * N N,SING,NFL,GEN ŒÊ«‰œ‰
W * N N,PL,COM,GEN ‰ «ÌÃ
W * DET DET «Ì‰
W * N N,SING,COM «Ã·«”
W * N N,SING,COM  «ﬂÌœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN «Ã—«Ì
W * QUA QUA Â—
W * N N,SING,COM „›ÂÊ„
W * CON CON Ê
W * N N,PL,COM,GEN Ê«éê«‰
W * ADJ ADJ,SIM,GEN ÃœÌœ
W * ADJ ADJ,SIM „‰œ—Ã
W * P P œ—
W * N N,SING,COM,GEN ”‰œ
W * ADJ ADJ,SIM ‰Â«ÌÌ
W * CON CON ﬂÂ
W * ADJ ADJ,SIM „€«Ì—
W * P P »«
W * N N,PL,COM «—“‘Â«
W * CON CON Ê
W * N N,PL,COM,GEN „›«ÂÌ„
W * N N,SING,COM «”·«„
W * CON CON Ê
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * ADJ ADJ,SIM,GEN «”«”Ì
W * N N,SING,LOC,PR «Ì—«‰
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * ADJ ADJ,SIM „ ⁄Âœ
W * V V,PRS,NEG,3 ‰„Ì œ«‰œ
W * DELM DELM .
W * N N,SING,PR,GEN Â«œÌ
W * N N,SING,PR ‰é«œÕ”Ì‰Ì«‰
W * P P »Â
W * N N,SING,COM,GEN Â‰ê«„
W * N N,SING,COM,GEN  ’ÊÌ»
W * N N,SING,COM,GEN ”‰œ
W * ADJ ADJ,SIM,GEN ‰Â«ÌÌ
W * DET DET «Ì‰
W * N N,SING,COM «Ã·«”
W * DELM DELM °
W * N N,SING,ORD «» œ«
W * N N,SING,COM,GEN œ—ê–‘ 
W * N N,SING,PR Õ«›Ÿ
W * N N,SING,PR «”œ
W * N N,SING,COM,GEN —∆Ì” Ã„ÂÊ—Ì
W * N N,SING,LOC,PR ”Ê—ÌÂ
W * RA RA —«
W * P P »Â
W * N N,SING,GR „—œ„
W * CON CON Ê
W * N N,SING,COM,GEN œÊ· 
W * N N,SING,LOC,PR ”Ê—ÌÂ
W * N N,SING,COM  ”·Ì 
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM .
W * N N,SING,COM,GEN ‰„«Ì‰œÂ
W * ADJ ADJ,SIM,GEN œ«Ì„
W * N N,SING,LOC,PR «Ì—«‰
W * P P,GEN ÷„‰
W * ADJ ADJ,SIM «—“‘„‰œ
W * N N,SING,NFL,GEN ŒÊ«‰œ‰
W * N N,PL,COM,GEN œ” «Ê—œÂ«Ì
W * N N,SING,COM,GEN «Ã·«”
W * N N,SING,LOC,PR Åﬂ‰
W * DELM DELM +
W * N N,SING,NUM 5
W * CON CON Ê
W * N N,SING,COM  «ﬂÌœ
W * P P »—
W * N N,SING,COM,GEN  ⁄Âœ
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  Õﬁﬁ
W * N N,PL,COM,GEN «Âœ«›
W * ADJ ADJ,SIM „‰œ—Ã
W * P P œ—
W * N N,SING,COM,GEN ”‰œ
W * ADJ ADJ,SIM,GEN ‰Â«ÌÌ
W * N N,SING,COM «Ã·«”
W * DELM DELM °
W * N N,SING,COM,GEN  Õ›Ÿ
W * N N,SING,LOC,PR «Ì—«‰
W * P P,GEN œ—»«—Â
W * QUA QUA »—ŒÌ
W * P P «“
W * N N,PL,COM,GEN »‰œÂ«Ì
W * N N,SING,COM,GEN ”‰œ
W * ADJ ADJ,SIM ‰Â«ÌÌ
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN «ÿ·«⁄
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN „Ã„⁄
W * ADJ ADJ,SIM ⁄„Ê„Ì
W * V V,PA,SIM,POS,3 —”«‰œ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ŒÊ«” «—
W * N N,SING,COM,GEN À» 
W * PRO PRO,DEMO,SING ¬‰
W * P P œ—
W * N N,PL,COM,GEN «”‰«œ
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,GR „··
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * N N,SING,PR ‰é«œÕ”Ì‰Ì«‰
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,GR,GEN ÂÌ« 
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * ADJ ADJ,SIM „⁄ ﬁœ
W * V V,PRE,SIM «” 
W * N N,SING,COM,GEN „—ﬂ“Ì 
W * N N,SING,GR Œ«‰Ê«œÂ
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN Ê«Õœ
W * ADJ ADJ,SIM,GEN «’·Ì
W * N N,SING,COM Ã«„⁄Â
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM,GEN  ÊÃÂ
W * ADJ ADJ,CMPR ÃœÌ  —
W * N N,SING,COM ﬁ—«—
W * V V,SUB,POS,3 êÌ—œ
W * CON CON Ê
W * N N,PL,COM,GEN „Ê«œ
W * N N,SING,COM,GEN ”‰œ
W * ADJ ADJ,SIM ‰Â«ÌÌ
W * P P,GEN œ—»«—Â
W * N N,SING,GR Œ«‰Ê«œÂ
W * CON CON ﬂÂ
W * P P «“
W * N N,PL,COM ⁄ﬁ«Ìœ
W * CON CON Ê
W * N N,PL,COM,GEN «—“‘Â«Ì
W * ADJ ADJ,SIM,GEN ‰«»
W * ADJ ADJ,SIM «”·«„Ì
W * N N,SING,COM ‰‘« 
W * ADJ ADJ,INO ê—› Â
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM,GEN Ê«Ãœ
W * N N,SING,COM «Â„Ì 
W * V V,PRE,SIM «” 
W * CON CON Ê
W * P P »«
W * DET DET «Ì‰
W * N N,SING,COM,GEN „›ÂÊ„
W * ADJ ADJ,SIM ÕÌ« Ì
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM,GEN »—ŒÊ—œ
W * ADJ ADJ,CMPR,INDF ”«“‰œÂ  —Ì
W * N N,SING,COM ’Ê— 
W * V V,SUB,POS,3 êÌ—œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * P P »—
W * N N,SING,COM,GEN «”«”
W * N N,SING,COM,GEN ‘—Ì⁄ 
W * N N,SING,COM «”·«„
W * DELM DELM °
W * N N,PL,COM,GEN —Ê«»ÿ
W * ADJ ADJ,SIM,GEN Ã‰”Ì
W * N N,SING,COM “‰
W * CON CON Ê
W * N N,SING,COM „—œ
W * P P œ—
W * N N,SING,COM,GEN ç«—çÊ»
W * N N,SING,GR Œ«‰Ê«œÂ
W * CON CON Ê
W * P P «“
W * N N,SING,COM,GEN ÿ—Ìﬁ
W * N N,SING,COM «“œÊ«Ã
W * N N,SING,COM „‘—Ê⁄Ì 
W * V V,PRS,POS,3 œ«—œ
W * CON CON Ê
W * N N,SING,COM Œ«—Ã
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,SIM „—œÊœ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * PRO PRO,personal,PL,1 „«
W * V V,PRS,NEG,4 ‰„Ì Å–Ì—Ì„
W * DELM DELM .
W * N N,SING,COM,GEN ‰„«Ì‰œÂ
W * ADJ ADJ,SIM,GEN œ«Ì„
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM  «ﬂÌœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * P P,GEN œ—»«—Â
W * N N,PL,COM,INDF „Ê÷Ê⁄« Ì
W * ADV ADV,GENR,EXM,GEN ‰ŸÌ—
W * N N,SING,COM,GEN  ”«ÊÌ
W * N N,SING,COM “‰
W * CON CON Ê
W * N N,SING,COM „—œ
W * CON CON Ê
W * N N,SING,COM «—À
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN ”‰œ
W * ADJ ADJ,SIM,GEN ‰Â«ÌÌ
W * N N,SING,COM «Ã·«”
W * N N,SING,COM œ—Ã
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM,GEN „·«ﬂ
W * N N,SING,COM,GEN ⁄„·
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * N N,PL,COM,GEN «’Ê·
W * ADJ ADJ,SIM,GEN «—“‘„‰œ
W * N N,SING,COM «”·«„
W * N N,SING,COM  ·ﬁÌ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON Ê
W * N N,SING,COM,GEN  «„Ì‰
W * ADJ ADJ,SIM,GEN Ê«ﬁ⁄Ì
W * N N,PL,COM,GEN ÕﬁÊﬁ
W * N N,SING,COM “‰
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN ”«ÌÂ
W * N N,PL,COM,GEN ﬁÊ«‰Ì‰
W * ADJ ADJ,SIM,GEN «—“‘„‰œ
W * N N,SING,COM «”·«„
W * V V,PRS,POS,3 „Ì œ«‰œ
W * DELM DELM .
Sub * SUBJ SUBJ ! «—ÌŒÌ!
W * N N,SING,TIME,GEN ﬁ—‰
W * ADJ ADJ,ORD »Ì” „
W * P P »«
W * QUA QUA,GEN Â„ÂÒ
W * N N,PL,COM,AFF,3 „«Ã—«Â«Ì‘
W * P P »Â
W * N N,SING,ORD «‰ Â«
W * V V,PA,NAR,POS,3 —”ÌœÂ
W * CON CON Ê
W * N N,SING,TIME,GEN ﬁ—‰
W * ADJ ADJ,ORD »Ì”  ÊÌﬂ„
W * P P »«
W * N N,SING,COM «„Ìœ
W * CON CON Ê
W * N N,PL,COM,AFF,3 »Ì„Â«Ì‘
W * N N,SING,COM ﬁœ„
W * P P »Â
W * N N,SING,COM Ã·Ê
W * V V,PRS,POS,3 „Ì ‰Âœ
W * DELM DELM .
W * N N,SING,COM,GEN ”—⁄ 
W * N N,SING,COM,GEN «— »«ÿ
W * ADJ ADJ,SIM ÃÂ«‰Ì
W * P P »Â
W * N N,SING,COM,GEN «ÊÃ
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM œ” 
W * V V,PA,NAR,POS,3 Ì«› Â
W * DELM DELM ∫
W * P P »«
W * DET DET «Ì‰
W * N N,SING,COM Õ«·
W * DELM DELM °
W * ADJ ADJ,SUP „»Â„ —Ì‰
W * N N,SING,COM,INDF ”ƒ«·Ì
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM Â‰Ê“
W * P P œ—
W * N N,SING,COM,GEN »—«»—
W * N N,SING,COM »‘—Ì 
W * N N,SING,COM ﬁ—«—
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM °
W * PRO PRO,DEMO,SING «Ì‰
W * V V,PRE,SIM «” 
W * DELM DELM :
W * ADV ADV,I ¬Ì«
W * N N,SING,COM ‘—ﬁ
W * CON CON Ê
W * N N,SING,COM €—»
W * N N,SING,COM,INDF —Ê“Ì
W * P P »Â
W * PRO PRO,REC Â„
W * V V,AUX,FEA,POS,6 ŒÊ«Â‰œ
W * V V,PA,SIM,POS,3 —”Ìœ
W * DELM DELM ø
W * ADV ADV,I ¬Ì«
W * DET DET «Ì‰
W * N N,SING,COM,GEN Ãœ«∆Ì
W * ADJ ADJ,SIM,GEN »“—ê
W * N N,SING,COM  «—ÌŒ
W * N N,SING,COM,INDF —Ê“Ì
W * P P »Â
W * N N,SING,COM ”—
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM ø
W * N N,SING,COM ‘—ﬁ
W * V V,PRE,ADVC,3 ﬂÃ«” 
W * CON CON Ê
W * N N,SING,COM €—»
W * ADV ADV,I ﬂÃ«
W * DELM DELM ø
W * N N,SING,COM ÿÌ
W * N N,PL,NUM Â“«—«‰
W * N N,SING,TIME ”«·
W * N N,SING,LOC,PR ¬”Ì«
W * N N,SING,DIR ‘—ﬁ
W * N N,SING,COM Õ”«»
W * V V,PA,PRG,POS,3 „Ì ‘œ
W * CON CON ﬂÂ
W * N N,SING,COM ¬› «»
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * V V,PA,PRG,POS,3 »—„Ì Œ«” 
W * DELM DELM °
W * CON CON Ê
W * N N,SING,LOC,PR «—ÊÅ«
W * N N,SING,DIR €—»
W * DELM DELM °
W * CON CON ﬂÂ
W * N N,SING,COM ¬› «»
W * P P œ—
W * PRO PRO,DEMO,SING ¬‰
W * V V,PA,PRG,POS,3 ›—Ê„Ì ‰‘” 
W * DELM DELM °
W * CON CON Ê·Ì
W * P P «“
W * N N,SING,COM,GEN ‰Ì„ÂÒ
W * ADJ ADJ,ORD,GEN œÊ„
W * N N,SING,TIME,GEN ﬁ—‰
W * ADJ ADJ,ORD »Ì” „
W * DELM DELM °
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,CMPR,INDF »Ì‘ —Ì
W * P P,GEN  Õ 
W * DET DET «Ì‰
W * N N,SING,COM ‰«„
W * N N,SING,COM ﬁ—«—
W * V V,PA,SIM,POS,6 ê—› ‰œ
W * CON CON Ê
W * N N,PL,COM,GEN ⁄‰Ê«‰Â«Ì
W * ADJ ADJ,SIM,INDF  «“Â «Ì
W * P P,GEN œ—»«—ÂÒ
W * PRO PRO,DEMO,PL ¬‰Â«
W * P P »Â
W * N N,SING,COM ﬂ«—
W * V V,PA,SIM,POS,3 —› 
W * CON CON ﬂÂ
W * N N,SING,COM ⁄»«— 
W * V V,PA,SIM,POS,3 »Êœ
W * P P «“
W * DELM DELM :
W * ADJ ADJ,SIM ⁄ﬁ» „«‰œÂ
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN Õ«·
W * N N,SING,COM,GEN  Ê”⁄Â
W * N N,SING,DIR ‘„«·
W * CON CON Ê
W * N N,SING,DIR Ã‰Ê»
W * DELM DELM °
W * N N,SING,COM,GEN œ‰Ì«Ì
W * ADJ ADJ,ORD ”Ê„
W * CON CON Ê
W * N N,SING,COM €Ì—Â
W * DELM DELM ...
W * PRO PRO,personal,PL,1 „«
W * CON CON ‰Ì“
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM Ã«
W * N N,SING,COM,INDF Êﬁ Ì
W * V V,PRS,POS,4 „Ì êÊ∆Ì„
W * N N,SING,DIR ‘—ﬁ
W * QUA QUA »⁄÷Ì
W * N N,PL,COM „Œ ’« 
W * RA RA —«
W * P P œ—
W * N N,SING,COM ‰Ÿ—
W * V V,PRS,POS,4 „Ì êÌ—Ì„
W * DELM DELM °
W * N N,SING,COM ’—›‰Ÿ—
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * CON CON ﬂÂ
W * DET DET,I çÂ
W * N N,SING,LOC,INDF ﬂ‘Ê—Ì
W * P P œ—
W * N N,SING,COM,GEN ﬂÃ«Ì
W * N N,SING,LOC,GEN ﬂ—ÂÒ
W * N N,SING,COM Œ«ﬂ
W * N N,SING,COM ﬁ—«—
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * N N,SING,LOC,PR ¬”Ì«
W * CON CON Ê
W * N N,SING,LOC,PR «—ÊÅ«
W * CON CON ﬂÂ
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN ‰„Êœ«—
W * N N,SING,COM ‘—ﬁ
W * CON CON Ê
W * N N,SING,COM €—»
W * ADJ ADJ,INO ‘‰«Œ Â
W * V V,PA,PRG,POS,6 „Ì ‘œ‰œ
W * DELM DELM °
W * P P «“
W * ADJ ADJ,SUP ﬁœÌ„ —Ì‰
W * N N,SING,COM “„«‰
W * P P œ—
W * N N,SING,COM «— »«ÿ
W * P P »«
W * N N,SING,COM —ﬁ«» 
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * DELM DELM .
W * N N,SING,LOC,PR ¬”Ì«
W * ADJ ADJ,SIM „⁄—Ê›
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ”—“„Ì‰
W * N N,SING,COM ê‰Ã
W * CON CON Ê
W * V V,PRE,NC,3 ÿ·«” 
W * CON CON Ê
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM —Ê
W * N N,SING,COM €—»
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  ’«Õ»
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM,GEN ç‘„
W * N N,SING,COM ÿ„⁄
W * P P »Â
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,INO œÊŒ Â
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * N N,SING,COM €—»
W * CON CON ‰Ì“
W * P P œ—
W * N N,SING,COM,GEN ‰Ÿ—
W * N N,PL,COM ‘—ﬁÌÂ«
W * ADJ ADJ,SIM,GEN Ê«Ãœ
W * N N,SING,COM «⁄ œ«·
