Sub * SUBJ SUBJ !Â‰—Ì!
W * P P »Â
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * N N,SING,COM  ’ÊÌ—”«“Ì
W * DELM DELM )
W * N N,SING,COM ê—«›Ìﬂ
W * DELM DELM (
W * N N,SING,COM  ⁄·ﬁ
W * ADJ ADJ,SIM ÅÌœ«
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * N N,PL,COM,GEN ‰ﬁ«‘ÌÂ«Ì
W * ADJ ADJ,SIM ‰„«œÌ‰
W * DELM DELM °
W * ADJ ADJ,SIM ŒÌ«·Ì
W * CON CON Ê
W * V V,PRE,ADJC,6 €Ì—Ê«ﬁ⁄Ì «‰œ
W * DELM DELM .
W * N N,SING,COM ‰„«œ
W * CON CON Ê
W * N N,SING,COM ‰‘«‰Â
W * CON CON Ê
W * N N,SING,COM ⁄·«„ 
W * P P »«
W * PRO PRO,REC Â„
W * N N,SING,COM,GEN  ›«Ê Â«Ì
W * ADJ ADJ,SIM ”«Œ «—Ì
W * V V,PRS,POS,6 œ«—‰œ
W * DELM DELM .
W * N N,SING,COM «” ⁄«—Â
W * CON CON Ê
W * N N,SING,COM  „ÀÌ·
W * P P «“
W * N N,PL,COM,GEN ’‰«Ì⁄
W * ADJ ADJ,SIM «œ»Ì
W * V V,PRE,SIM «” 
W * CON CON Ê
W * V V,PRS,NEG,3 ‰„Ì  Ê«‰œ
W * P P œ—
W * N N,PL,COM,GEN ’Ê— Â«Ì
W * N N,SING,COM,GEN »Ì«‰
W * N N,PL,COM,GEN Â‰—Â«Ì
W * ADJ ADJ,SIM  Ã”„Ì
W * N N,SING,COM  Õﬁﬁ
W * ADJ ADJ,SIM ÅÌœ«
W * V V,SUB,POS,3 ﬂ‰œ
W * DELM DELM .
W * N N,SING,COM,GEN «”ÿÊ—Â
W * N N,SING,COM œ«” «‰
W * CON CON Ê
W * N N,SING,COM,GEN —Ê«Ì 
W * ADJ ADJ,SIM „Ì‰ÊÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM ‘—Õ
W * CON CON Ê
W * N N,SING,COM,GEN  Ê’Ì›
W * N N,SING,COM,GEN çêÊ‰êÌ
W * ADJ ADJ,SIM ÅœÌœ
W * N N,SING,NFL,GEN ¬„œ‰
W * N N,PL,COM „ÊÃÊœ« 
W * V V,PRS,POS,3 „Ì Å—œ«“œ
W * DELM DELM .
W * N N,SING,COM «”ÿÊ—Â
W * ADJ ADJ,SIM „» ‰Ì
W * P P »—
W * N N,SING,COM  Ê’Ì›
W * CON CON Ê
W * N N,SING,COM,GEN —Ê«Ì 
W * V V,PRS,POS,2 Â” Ì
W * N N,SING,NFL,GEN Ì«› ‰
W * N N,PL,COM „ÊÃÊœ« 
W * V V,PRE,SIM «” 
W * P P »«
W * DET DET «Ì‰
W * N N,SING,COM ﬁÌœ
W * CON CON ﬂÂ
W * N N,SING,COM —Ê«Ì 
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,COM,INDF „‰‘«ÌÌ
W * ADJ ADJ,SIM ¬”„«‰Ì
W * DELM DELM °
W * ADJ ADJ,SIM —ÊÕ«‰Ì
W * DELM DELM °
W * ADJ ADJ,SIM €Ì—„«œÌ
W * CON CON Ê
W * ADJ ADJ,SIM ¬‰ ÃÂ«‰Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,INDF —Ê«Ì Ì
W * ADJ ADJ,SIM „Ì‰ÊÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,PL,COM,GEN Ê«ﬁ⁄Ì Â«Ì
W * ADJ ADJ,SIM „·„Ê”
W * RA RA —«
W * N N,SING,COM  ÊÃÌÂ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON Ê
W * N N,SING,COM,GEN „‰ÿﬁ
W * ADJ ADJ,SIM,GEN Œ«’
W * PRO PRO,R,XOD ŒÊÌ‘
W * RA RA —«
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * N N,SING,COM,GEN ÅÌÊ‰œ
W * N N,SING,COM  ŒÌ·
W * P P »Â
W * N N,SING,COM Ê«ﬁ⁄Ì 
W * V V,PRE,SIM «” 
W * P P,DET »œ«‰
W * N N,SING,COM êÊ‰Â
W * CON CON ﬂÂ
W * N N,SING,COM Ê«ﬁ⁄Ì 
W * DELM DELM °
W * ADJ ADJ,SIM,GEN „⁄·Ê·
W * N N,SING,COM,GEN ”«Œ «—
W * ADJ ADJ,SIM,GEN  ŒÌ·Ì
W * N N,SING,COM –Â‰
W * ADJ ADJ,INO Å‰œ«‘ Â
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * N N,SING,COM,GEN ‰ﬁ«‘Ì
W * ADJ ADJ,SIM,GEN ‰Êê—«Ì
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PRE,ADJC,3 «œ»Ì«  ê—«” 
W * CON CON Ê
W * DET DET Â„Ì‰
W * N N,SING,COM ê—«Ì‘
W * N N,SING,COM,GEN „ÊÃ»
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM  ’ÊÌ—ê—«ÌÌ
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,INDF «’·Ì
W * ADJ ADJ,SIM ÷—Ê—Ì
W * N N,SING,COM,GEN »Ì«‰ê—
W * N N,PL,COM,GEN „›«ÂÌ„
W * ADJ ADJ,SIM «œ»Ì
W * CON CON Ê
W * ADJ ADJ,SIM «”ÿÊ—Â «Ì
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ‰„«œÌ‰
W * PRO PRO,DEMO,SING ¬‰
W * V V,SUB,POS,3 »«‘œ
W * CON CON Ê
W * N N,SING,COM,GEN ‰ﬁ«‘Ì
W * ADJ ADJ,SIM,GEN „⁄«’—
W * N N,SING,LOC,PR «Ì—«‰
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN ﬂ·Ì 
W * ADJ ADJ,SIM,GEN ”«Œ «—Ì
W * PRO PRO,R,XOD ŒÊÌ‘
W * P P œ—
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * N N,SING,COM,GEN «— »«ÿ
W * ADJ ADJ,SIM  ’ÊÌ—Ì
W * CON CON Ê
W * N N,SING,COM  ’ÊÌ—”«“Ì
W * N N,SING,COM ﬁ—«—
W * V V,SUB,POS,3 œÂœ
W * DELM DELM .
W * P P œ—
W * QUA QUA Â—
W * N N,SING,COM,INDF œÊ—Â «Ì
W * P P «“
W * N N,SING,COM,GEN  «—ÌŒ
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM,GEN ‰ﬁ«‘Ì
W * N N,SING,COM ÃÂ«‰
W * CON CON ﬂÂ
W * N N,PL,COM,GEN „›«ÂÌ„
W * ADJ ADJ,SIM «œ»Ì
W * CON CON Ê
W * N N,SING,COM ”ÊéÂ
W * CON CON Ê
W * N N,SING,COM  Ê’Ì›
W * CON CON Ê
W * N N,SING,COM,GEN »Ì«‰
W * N N,PL,COM,GEN Õ«·« 
W * ADJ ADJ,SIM —ÊÕÌ
W * CON CON Ê
W * N N,PL,COM «Õ”«”« 
W * CON CON Ê
W * N N,SING,COM —Ê«Ì 
W * CON CON Ê
W * N N,SING,COM œ«” «‰
W * P P »Â
W * QUA QUA Â—
W * N N,SING,COM,INDF ‘ﬂ·Ì
W * N N,SING,COM «’«· 
W * ADJ ADJ,SIM ÅÌœ«
W * V V,SUB,POS,3 ﬂ‰œ
W * DELM DELM °
W * P P »«
W * N N,SING,COM,GEN „ﬁÊ·ÂÒ
W * N N,SING,COM  ’ÊÌ—”«“Ì
W * CON CON Ê
W * ADV ADV,GENR,NEGG ‰Â
W * N N,SING,COM ‰ﬁ«‘Ì
W * V V,PRE,ADJC,4 „Ê«ÃÂÌ„
W * DELM DELM .
W * P P œ—
W * SPEC SPEC ç‰Ì‰
W * N N,SING,COM,INDF „Êﬁ⁄Ì Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,PL,COM,GEN „›«ÂÌ„
W * ADJ ADJ,SIM «”ÿÊ—Â «Ì
W * CON CON Ê
W * ADJ ADJ,SIM ‰„«œÌ‰
W * CON CON Ê
W * ADV ADV,GENR,NEGG ‰Â
W * ADJ ADJ,SIM  „ÀÌ·Ì
W * CON CON Ê
W * ADJ ADJ,SIM «” ⁄«—Â «Ì
W * CON CON ﬂÂ
W * ADJ ADJ,SIM „Œ ’
W * P P »Â
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * V V,PRE,NC,6 «œ»Ì«  «‰œ
W * P P œ—
W * N N,SING,COM,GEN  ’ÊÌ—”«“Ì
W * ADJ ADJ,SIM „⁄«’—
W * P P,GEN  Õ 
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM,GEN ‰ﬁ«‘Ì
W * ADJ ADJ,SIM,GEN ‰Êê—«Ì
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM ŸÂÊ—
W * ADJ ADJ,SIM ÅÌœ«
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON Ê
W * ADJ ADJ,SIM «÷«›Â
W * P P »—
W * PRO PRO,DEMO,SING ¬‰
W * N N,PL,COM ‰‘«‰Â Â«
W * CON CON Ê
W * N N,PL,COM,GEN ⁄·«„ Â«Ì
W * ADJ ADJ,SIM,GEN ê—«›ÌﬂÌ
W * P P »«
W * N N,PL,COM,INDF ‰„«œÂ«ÌÌ
W * ADJ ADJ,SIM  ’ÊÌ—Ì
W * N N,SING,COM «Œ ·«ÿ
W * ADJ ADJ,SIM ÅÌœ«
W * ADJ ADJ,INO ﬂ—œÂ
W * CON CON Ê
W * N N,SING,COM,GEN ”«Œ «—
W * N N,SING,COM,GEN »Ì«‰
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM,GEN ‰ﬁ«‘Ì
W * ADJ ADJ,SIM,GEN „⁄«’—
W * N N,SING,LOC,PR «Ì—«‰
W * RA RA —«
W * ADJ ADJ,SIM,GEN œç«—
W * N N,SING,COM «“Â„ ê”ÌŒ êÌ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * DELM DELM #
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,COM,GEN  «»·ÊÌ
W * N N,SING,LOC,GEN ‰„«Ì‘ê«Â
W * N N,SING,COM ê·
W * DELM DELM #
W * N N,SING,ORD,GEN ¬€«“
W * N N,SING,NUM 1378
W * P P »«
W * N N,SING,COM »Â—Â êÌ—Ì
W * P P «“
W * N N,PL,COM,GEN ⁄Ê«„·
W * ADJ ADJ,SIM,GEN  ’ÊÌ—Ì
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM,GEN ‰ê«—ê—Ì
W * N N,SING,LOC,PR «Ì—«‰
W * N N,PL,COM,GEN «‰Ê«—
W * ADJ ADJ,SIM ‘⁄·Â êÊ‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ÅÌﬂ—
W * ADJ ADJ,SIM „ﬁœ”
W * RA RA —«
W * N N,SING,COM «Õ«ÿÂ
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,PL,COM,GEN —‰êÂ«Ì
W * ADJ ADJ,SIM ”»“
W * CON CON Ê
W * ADJ ADJ,SIM ¬»Ì
W * CON CON ﬂÂ
W * N N,PL,COM,GEN ‰‘«‰Â Â«Ì
W * N N,SING,COM ”Ì«œ 
W * CON CON Ê
W * V V,PRE,NC,6 „⁄‰ÊÌ  «‰œ
W * CON CON Ê
W * ADJ ADJ,SIM „ «À—
W * P P «“
W * N N,PL,COM,GEN ‘ÌÊÂ Â«Ì
W * N N,SING,COM,GEN ﬁ·„ “‰Ì
W * N N,PL,COM,GEN ‰ﬁ«‘ÌÂ«Ì
W * N N,SING,DIR,GEN €—»
W * N N,SING,COM,GEN œÊ—«‰
W * N N,PL,COM —Ê„«‰ ÌﬂÂ«
W * ADV ADV,GENR,SIM Œ’Ê’«
W * N N,SING,PR œ·«ﬂ—Ê¬
W * CON CON ﬂÂ
W * N N,PL,COM,GEN ”ÿÊÕ
W * ADJ ADJ,SIM —‰êÌ‹‰
W * CON CON Ê
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,COM »«› 
W * RA RA —«
W * N N,SING,COM «ÌÃ«œ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM °
W * N N,SING,COM,INDF  ·«‘Ì
W * P P,GEN »—«Ì
W * N N,SING,COM œ”  Ì«»Ì
W * P P »Â
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM,INDF  Ã”„Ì «Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM «’—«—
W * P P œ—
W * N N,SING,COM,GEN  œ«Ê„
W * N N,SING,COM,GEN ÂÊÌ 
W * N N,SING,COM,GEN ‰ﬁ«‘Ì
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * SPEC SPEC ç‰Ì‰
W * N N,SING,COM,INDF  ·«‘Ì
W * P P œ—
W * N N,PL,COM,GEN ¬À«—
W * N N,SING,PR,GEN Õ»Ì» «··Â
W * N N,SING,PR ’«œﬁÌ
W * CON CON Ê
W * N N,SING,PR,GEN ⁄·Ì
W * N N,SING,PR Ê“Ì—Ì«‰
W * CON CON Ê
W * N N,SING,GR,INDF ê—ÊÂÌ
W * P P «“
W * N N,PL,COM,GEN ‰ﬁ«‘«‰
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * ADJ ADJ,SIM Â‰—Ì
W * CON CON ‰Ì“
W * P P »Â
W * N N,SING,COM ç‘„
W * V V,PRS,POS,3 „Ì ŒÊ—œ
W * DELM DELM .
W * N N,PL,COM,GEN —‰êÂ«Ì
W * ADJ ADJ,SIM  Ì—Â
W * CON CON Ê
W * N N,SING,COM,GEN  Ì—êÌ
W * ADJ ADJ,SIM,GEN ‰”»Ì
W * N N,PL,COM —‰êÂ«
W * P P œ—
W * N N,SING,COM,GEN Â‰—
W * N N,SING,COM ‰ﬁ«‘Ì
W * P P »—
W * N N,SING,COM,GEN «”«”
W * N N,SING,COM „Ê÷Ê⁄
W * N N,SING,COM,GEN ÷—Ê— 
W * N N,SING,COM,INDF ÊÃÊœÌ
W * ADJ ADJ,SIM ÅÌœ«
W * V V,PRS,POS,6 „Ì ﬂ‰‰œ
W * DELM DELM .
W * N N,SING,COM,GEN —‰ê
W * ADJ ADJ,SIM ”Ì«Â
W * P P œ—
W * N N,SING,COM,GEN ﬂ‰«—
W * N N,SING,COM,GEN —‰ê
W * ADJ ADJ,SIM ﬁ—„“
W * CON CON Ê
W * N N,SING,COM,INDF Â«·Â «Ì
W * P P «“
W * N N,SING,COM,GEN —‰ê
W * ADJ ADJ,SIM ÿ·«ÌÌ
W * P P œ—
W * N N,SING,COM,INDF  «»·ÊÌÌ
W * ADJ ADJ,SIM Å—‘ﬁ«Ìﬁ
W * N N,SING,COM,GEN —‰ê
W * PRO PRO,personal,SING,2  Ê
W * N N,SING,COM,INDF „‰«”» Ì
W * P P »«
W * N N,SING,COM,GEN „Ê÷Ê⁄
W * N N,SING,COM «À—
W * V V,PRS,NEG,3 ‰œ«—œ
W * CON CON Ê
W * N N,SING,COM,GEN  —ﬂÌ»
W * N N,SING,COM,GEN —‰ê
W * ADJ ADJ,SIM ”Ì«Â
W * CON CON Ê
W * ADJ ADJ,SIM ﬁ—„“
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM  «»·Ê
W * N N,SING,COM €·»Â
W * ADJ ADJ,SIM ÅÌœ«
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * N N,SING,COM,GEN ›—«Ì‰œ
W * ADJ ADJ,SIM »’—Ì
W * ADJ ADJ,SIM „€«Ì—
W * P P »«
W * N N,SING,COM ”ÊéÂ
W * RA RA —«
W * P P »Â
W * N N,SING,COM ÊÃÊœ
W * ADJ ADJ,INO ¬Ê—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM ê— Â »—œ«—Ì
W * P P «“
W * N N,PL,COM,GEN ¬À«—
