Sub * SUBJ SUBJ !„–Â»Ì!
W * N N,PL,COM,INDF ÅéÊÂ‘ê—«‰Ì
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN Ê«ﬁ⁄ÂÒ
W * N N,SING,DAY ⁄«‘Ê—«
W * CON CON Ê
W * N N,PL,COM,GEN „’«∆»
W * N N,SING,SURN «„«„
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * V V,PRS,POS,6 „Ì Å—œ«“‰œ
W * N N,SING,COM —ÊÌ«—ÊÌÌ
W * P P,GEN „Ì«‰
W * N N,SING,NUM œÊ
W * N N,SING,GR ”Å«Â
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN «„ œ«œ
W * N N,SING,COM,GEN Œÿ
W * N N,SING,COM Ã‰ê
W * CON CON Ê
W * N N,SING,COM —ﬁ«» 
W * P P,GEN „Ì«‰
W * N N,SING,PR Â«‘„
W * CON CON Ê
W * N N,SING,PR «„ÌÂ
W * N N,SING,COM «—“Ì«»Ì
W * ADJ ADJ,INO ﬂ—œÂ
W * CON CON Ê
W * V V,PRS,POS,6 „Ì êÊÌ‰œ
W * N N,SING,COM,GEN Õ«œÀÂ
W * N N,SING,LOC,PR ﬂ—»·«
W * CON CON ‰Ì“
W * N N,SING,COM ‰ ÌÃÂ
W * CON CON Ê
W * N N,SING,COM,GEN »—¬Ì‰œ
W * N N,PL,COM,INDF ÕÊ«œÀÌ
W * ADJ ADJ,SIM ÅÌ œ—ÅÌ
W * ADV ADV,GENR,EXM Â„çÊ‰
W * N N,SING,COM,GEN Ã‰ê
W * N N,SING,PR «»Ê”›Ì«‰
W * N N,SING,COM,GEN Ãœ
W * N N,SING,PR Ì“Ìœ
W * P P »«
W * N N,SING,PR,GEN ÅÌ«„»—
W * ADJ ADJ,SIM «ﬂ—„
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * N N,SING,COM Ãœ
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * CON CON Ê
W * CON CON Ì«
W * N N,SING,COM,GEN Ã‰ê
W * N N,SING,PR „⁄«ÊÌÂ
W * N N,SING,COM,GEN Åœ—
W * N N,SING,PR Ì“Ìœ
W * P P »«
W * N N,SING,SURN «„«„
W * N N,SING,PR ⁄·Ì
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * N N,SING,COM,GEN Åœ—
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * CON CON Ê
W * CON CON Ì«
W * N N,SING,COM,GEN ﬂÌ‰ÂÒ
W * N N,SING,PR Ì“Ìœ
W * P P «“
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * P P œ—
W * N N,SING,COM,GEN Ê«ﬁ⁄ÂÒ
W * ADJ ADJ,SIM „—»Êÿ
W * P P »Â
W * N N,SING,PR “Ì‰»
W * N N,SING,COM,GEN Â„”—
W * N N,SING,PR ⁄»œ«··Â »‰ ”·«„
W * ADJ ADJ,INO »ÊœÂ
W * CON CON Ê
W * N N,SING,COM,GEN €Ì—
W * PRO PRO,DEMO,PL «Ì‰Â«
W * DELM DELM .
W * CON CON,DCOR ŒÊ«Â
W * N N,SING,COM,GEN Õ«œÀÂ
W * N N,SING,LOC,PR ﬂ—»·«
W * CON CON Ê
W * N N,SING,COM,GEN ‘Â«œ 
W * N N,SING,SURN «„«„
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * RA RA —«
W * P P «“
W * N N,PL,COM,GEN À„—« 
W * N N,SING,COM œ‘„‰Ì
W * P P,GEN „Ì«‰
W * N N,PL,COM ¬»«¡
W * CON CON Ê
W * N N,PL,COM «Ãœ«œ
W * CON CON Ì«
W * N N,PL,COM «Ê·«œ
W * CON CON Ê
W * N N,PL,COM «Õ›«œ
W * V V,SUB,POS,4 »œ«‰Ì„
W * CON CON Ì«
W * ADV ADV,GENR,NEGG ‰Â
W * DELM DELM .
W * N N,SING,SURN,GEN «„«„
W * ADJ ADJ,SIM ’«œﬁ
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * N N,SING,COM —Ì‘Â
W * CON CON Ê
W * N N,SING,COM,GEN ”»»
W * DET DET «Ì‰
W * N N,SING,COM œ‘„‰Ì
W * RA RA —«
W * ADV ADV,GENR,SIM »œÌ‰êÊ‰Â
W * ADJ ADJ,SIM ¬‘ﬂ«—
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM :
W * PRO PRO,personal,PL,1 „«
W * CON CON Ê
W * N N,SING,GR,GEN Œ«‰œ«‰
W * N N,SING,PR «»Ê”›Ì«‰
W * P P »—
W * N N,SING,COM,GEN ”—
W * N N,SING,PR Œœ«
W * N N,SING,COM Ã‰ê
W * CON CON Ê
W * N N,SING,COM ÅÌﬂ«—
W * V V,PA,NAR,POS,4 ﬂ—œÂ «Ì„
W * DELM DELM °
W * PRO PRO,personal,PL,1 „«
W * V V,PA,SIM,POS,4 ê› Ì„
W * N N,SING,COM,GEN ”Œ‰
W * N N,SING,PR Œœ«
W * ADJ ADJ,SIM —«” 
W * V V,PRE,SIM «” 
W * DELM DELM °
W * AR AR ’œﬁ «··Â
W * CON CON Ê
W * PRO PRO,personal,PL,3 ¬‰«‰
W * N N,SING,COM Œœ«Ê‰œ
W * RA RA —«
W * N N,SING,COM  ﬂ–Ì»
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,6 ê› ‰œ
W * DELM DELM :
W * AR AR ﬂ–» «··Â
W * DELM DELM .
W * CON CON »‰«»—«Ì‰
W * V V,AUX,NIN,POS „Ì  Ê«‰
W * V V,PA,SIM,POS,3 ê› 
W * CON CON ﬂÂ
W * N N,SING,COM œ‘„‰Ì
W * P P,GEN „Ì«‰
W * N N,SING,NUM œÊ
W * N N,SING,GR Œ«‰œ«‰
W * N N,SING,COM,GEN œ‘„‰Ì
W * ADJ ADJ,SIM –« Ì
W * CON CON Ê
W * ADJ ADJ,SIM,INDF ¬‘ Ì ‰«Å–Ì—Ì
W * V V,PRE,SIM «” 
W * P P,GEN „Ì«‰
W * N N,SING,COM,INDF ﬂ›—Ì
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,GR,GEN ¬·
W * N N,SING,PR «„ÌÂ
W * N N,SING,COM  Ã”„
W * CON CON Ê
W * N N,SING,COM  „À·
W * V V,PA,NAR,POS,3 Ì«› Â
W * P P »«
W * ADJ ADJ,SIM «Ì„«‰Ì
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,GR,GEN «Â· »Ì 
W * N N,SING,PR ÅÌ«„»—
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * N N,SING,COM  Õﬁﬁ
W * CON CON Ê
W * N N,SING,COM ⁄Ì‰Ì 
W * ADJ ADJ,INO Å–Ì—› Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * DELM DELM #
W * N N,PL,COM ‘Ì⁄Ì«‰
W * CON CON Ê
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ⁄«‘Ê—«
W * DELM DELM #
W * ADV ADV,GENR,SIM —«” Ì
W * ADV ADV,I ç—«
W * N N,PL,COM ‘Ì⁄Ì«‰
W * SPEC SPEC ç‰Ì‰
W * N N,SING,COM «Â „«„
W * CON CON Ê
W * N N,SING,COM,GEN ”⁄Ì
W * ADJ ADJ,SIM,INDF »·Ì€Ì
W * P P œ—
W * ADJ ADJ,SIM “‰œÂ
W * N N,SING,COM ‰ê«Â
W * N N,SING,NFL,GEN œ«‘ ‰
W * N N,SING,COM ‰«„
W * CON CON Ê
W * N N,SING,COM,GEN Ì«œ
W * N N,SING,PR Õ”Ì‰
W * V V,PRS,POS,6 œ«—‰œ
W * CON CON Ê
W * QUA QUA Â—
W * N N,SING,TIME ”«·
W * N N,SING,NUM œÂ
W * N N,SING,TIME —Ê“
W * CON CON Ê
W * N N,SING,TIME,GEN ‘»
W * ADJ ADJ,SIM „ Ê«·Ì
W * P P œ—
W * N N,SING,COM,GEN ”—¬€«“
W * N N,SING,TIME,GEN „«Â
W * N N,SING,MON „Õ—„
W * P P »Â
W * N N,SING,COM,GEN »—Å«ÌÌ
W * N N,PL,COM,GEN „—«”„
W * N N,SING,COM,GEN ”ÊêÊ«—Ì
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM «ﬁœ«„
W * V V,PRS,POS,6 „Ì ﬂ‰‰œ
W * DELM DELM ø
W * ADV ADV,I ¬Ì«
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * P P,GEN ‰“œ
W * N N,SING,COM Œœ«Ê‰œ
W * P P «“
W * N N,SING,COM,GEN ⁄Ÿ„ 
W * N N,SING,COM „— »Â
W * CON CON Ê
W * ADJ ADJ,SIM Ã·«· 
W * ADV ADV,deg,SIM ﬁœ—Ì
W * ADJ ADJ,CMPR »Ì‘ —
W * P P «“
W * N N,SING,COM,AFF,3 Ãœ‘
W * N N,SING,PR,GEN —”Ê·
W * ADJ ADJ,SIM «ﬂ—„
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * CON CON Ì«
W * N N,SING,PR «„Ì—«·„ƒ„‰Ì‰
W * N N,SING,PR ⁄·Ì
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * ADJ ADJ,SIM »—ŒÊ—œ«—
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM ø
W * IF IF «ê—
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * N N,SING,COM,GEN «„«„
W * ADJ ADJ,ORD,GEN ”Ê„
W * N N,PL,COM ‘Ì⁄Ì«‰
W * V V,PRE,SIM «” 
W * CON CON «„«
W * N N,SING,COM,AFF,3 Ãœ‘
W * N N,SING,COM,GEN Œ« „
W * QUA QUA,GEN Â„Â
W * N N,PL,COM,GEN ÅÌ«„»—«‰
W * ADJ ADJ,SIM «·ÂÌ
W * CON CON Ê
W * N N,SING,COM,AFF,3 Åœ—‘
W * N N,SING,COM ”—Ê—
W * CON CON Ê
W * N N,SING,SURN,GEN ”Ìœ
W * N N,PL,COM «Ê·Ì«¡
W * CON CON Ê
W * V V,PRE,NC,3 «Ê’Ì«” 
W * DELM DELM °
W * N N,SING,TIME Å”
W * ADV ADV,I ç—«
W * N N,PL,COM ‘Ì⁄Ì«‰
W * P P œ—
W * N N,SING,COM —À«
W * CON CON Ê
W * N N,SING,COM,GEN ⁄“«Ì
W * N N,SING,PR ÅÌ«„»—
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * CON CON Ê
W * N N,SING,COM,AFF,3 Ê’Ì «‘
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * P P »Â
W * N N,SING,COM,GEN ﬁœ—
W * N N,SING,COM,GEN  ⁄“ÌÂ
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * P P »Â
W * N N,SING,COM ”ÊêÊ«—Ì
W * V V,PRS,NEG,6 ‰„Ì Å—œ«“‰œ
W * DELM DELM .
W * N N,SING,COM,GEN Å«”Œ
W * DET DET «Ì‰
W * N N,SING,COM Å—”‘
W * PRO PRO,DEMO,SING ¬‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,PL,COM ‘Ì⁄Ì«‰
W * QUA QUA ÂÌç
W * N N,SING,COM ﬂ”
W * RA RA —«
W * ADJ ADJ,CMPR »— —
W * P P «“
W * N N,SING,PR,GEN —”Ê·
W * ADJ ADJ,CMPR «⁄Ÿ„
W * CON CON Ê
W * N N,SING,PR,GEN ÅÌ«„»—
W * ADJ ADJ,SIM,GEN «ﬂ—„
W * N N,SING,COM «”·«„
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * V V,PRS,NEG,6 ‰„Ì ‘„«—‰œ
W * DELM DELM °
W * CON CON ç—« ﬂÂ
W * DET DET ¬‰
W * N N,SING,COM ÊÃÊœ
W * ADJ ADJ,CMPR »— —
W * ADJ ADJ,CMPR Ê«·« —
W * CON CON Ê
W * ADJ ADJ,CMPR «‘—›
W * P P «“
W * QUA QUA,GEN Â„Â
W * N N,PL,COM,GEN „Œ·Êﬁ« 
W * N N,SING,COM Œœ«Ê‰œ
W * V V,PRE,SIM «” 
W * P P,GEN »œÊ‰
W * N N,SING,COM «” À‰«
W * CON CON Ê
W * CON CON ‰Ì“
W * N N,PL,COM,GEN ‘Ì⁄Ì«‰
W * N N,SING,PR ⁄·Ì
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * RA RA —«
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN „ﬁ«„
W * N N,SING,COM,GEN —”«· 
W * ADJ ADJ,SIM Œ „ÌÂ
W * P P »—
W * QUA QUA Â„Â
W * N N,SING,COM ﬂ”
W * ADJ ADJ,CMPR «›÷·
W * CON CON Ê
W * ADJ ADJ,CMPR «—ÃÕ
W * V V,PRS,POS,6 „Ì œ«‰‰œ
W * DELM DELM .
W * N N,SING,PR ⁄·Ì
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * V V,PRS,POS,3 „Ì ›—„«Ìœ
W * DELM DELM :
W * P P »—
W * N N,SING,PR,GEN ÅÌ«„»—
W * N N,SING,PR Œœ«
W * N N,SING,COM Ê«—œ
W * V V,PA,SIM,POS,1 ‘œ„
W * CON CON œ—Õ«·Ì ﬂÂ
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * ADJ ADJ,SIM ÂÌ» 
W * CON CON Ê
W * N N,SING,COM,INDF Ã·«·Ì
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * CON CON çÊ‰
W * P P,GEN ‰“œ
W * PRO PRO,personal,SING,3 «Ê
W * V V,PA,SIM,POS,1 ‰‘” „
W * P P »Â
W * N N,SING,PR Œœ«
W * N N,SING,COM ”Êê‰œ
W * CON CON ﬂÂ
W * PRO PRO,INO,SING,1 „—«
W * N N,SING,COM,GEN  Ê«‰«ÌÌ
W * N N,SING,COM ”Œ‰
W * N N,SING,NFL ê› ‰
W * P P »«
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,NEG,3 ‰»Êœ
W * DELM DELM .
W * PS PS ¬—Ì
W * N N,SING,COM,GEN ‘Ì⁄ÂÒ
W * ADJ ADJ,SIM «„«„ÌÂ
W * P P,DET »œÌ‰
W * N N,SING,COM ‰ﬂ Â
W * ADJ ADJ,SIM ”Œ 
W * N N,SING,COM »«Ê—
W * V V,PRS,POS,3 œ«—œ
W * CON CON ﬂÂ
W * QUA QUA ÂÌç
W * N N,SING,COM ﬂ”
W * CON CON Ê
W * QUA QUA ÂÌç
W * N N,SING,COM çÌ“
W * P P œ—
W * N N,SING,COM,GEN ⁄«·„
W * N N,SING,COM Œ·ﬁ 
W * DELM DELM °
W * ADV ADV,GENR,NEGG ‰Â
W * N N,SING,COM,INDF ›—‘ Â «Ì
W * ADJ ADJ,SIM „ﬁ—»
W * CON CON Ê
W * ADV ADV,GENR,NEGG ‰Â
W * N N,SING,COM,INDF ÅÌ«„»—Ì
W * ADJ ADJ,SIM,GEN »—«‰êÌŒ Â
W * ADJ ADJ,SIM Â„ ”ÿÕ
W * CON CON Ê
W * ADJ ADJ,SIM Â„ „— »Â
W * P P »«
W * N N,SING,PR „Õ„œ
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * V V,PRS,NEG,3 ‰Ì” 
W * CON CON Ê
W * N N,SING,PR ⁄·Ì
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * CON CON ‰Ì“
W * N N,SING,COM,GEN Œ·Ì›ÂÒ
W * ADJ ADJ,SIM »—Õﬁ
W * N N,SING,TIME Å”
W * P P «“
W * PRO PRO,personal,SING,3 ÊÌ
W * CON CON Ê
W * ADJ ADJ,SUP »Â —Ì‰
W * N N,SING,COM,GEN ⁄÷Ê
W * N N,SING,GR Œ«‰Ê«œÂ
W * CON CON Ê
W * N N,SING,COM,GEN „Ã„Ê⁄ÂÒ
W * N N,PL,COM,GEN «’Õ«»
W * N N,PL,COM,GEN Ì«—«‰
W * V V,PRE,PROC,3 «Ê” 
W * DELM DELM .
W * CON CON Ê
W * N N,SING,COM,GEN »—Å«ÌÌ
W * N N,SING,COM ⁄“«
W * CON CON Ê
W * N N,SING,COM ”ÊêÊ«—Ì
W * P P,GEN »—«Ì
W * N N,SING,PR Õ”Ì‰
W * DELM DELM )
W * N N,SING,SURN ⁄
W * DELM DELM (
W * N N,SING,COM,GEN „ŸÂ—
W * DET DET Â„Ì‰
W * N N,SING,COM ⁄ﬁÌœÂ
W * CON CON Ê
W * N N,SING,COM,GEN  Ã”„
W * ADJ ADJ,SIM,GEN ⁄„·Ì
W * DET DET Â„Ì‰
W * N N,SING,COM »«Ê—
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM ‰Ê‘ «—
W * N N,SING,COM,GEN ﬁ’œ
W * ADJ ADJ,SIM ¬‘ﬂ«—
W * N N,SING,NFL ﬂ—œ‰
W * CON CON Ê
W * ADJ ADJ,SIM —Ê‘‰
W * N N,SING,NFL,GEN ”«Œ ‰
W * PRO PRO,DEMO,SING ¬‰
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR,GEN ÅÌ«„»—
W * ADJ ADJ,SIM «ﬂ—„
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * P P œ—
W * N N,SING,COM,GEN ”‰
W * N N,SING,NUM 25
W * MORP MORP,MN,SING ”«·êÌ
W * P P »«
W * N N,SING,PR ŒœÌÃÂ
W * N N,SING,COM «“œÊ«Ã
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN ”‰
W * N N,SING,NUM 63
W * MORP MORP,MN,SING ”«·êÌ
W * N N,SING,COM —Õ· 
W * V V,PA,SIM,POS,3 ›—„Êœ
W * CON CON Ê
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN œ—ê–‘ 
W * N N,SING,PR ŒœÌÃÂ
W * N N,SING,NUM Ìﬂ
W * N N,SING,TIME ”«·
W * P P,GEN »œÊ‰
W * N N,SING,COM Â„”—
W * N N,SING,COM »«ﬁÌ
W * V V,PA,SIM,POS,3 „«‰œ
W * CON CON Ê
W * CON CON ”Å”
W * N N,PL,COM,GEN Â„”—«‰
W * ADJ ADJ,SIM,INDF „ ⁄œœÌ
W * N N,SING,COM «Œ Ì«—
W * V V,PA,SIM,POS,3 ›—„Êœ
W * CON CON Ê
W * ADV ADV,GENR,SIM Õ Ì
W * P P œ—
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM “„«‰
W * N N,SING,NUM ‰Â
W * N N,SING,COM “‰
W * P P œ—
W * N N,SING,COM,GEN ﬁÌœ
W * N N,SING,COM,GEN ‰ﬂ«Õ
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,PR Õ÷— 
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * DELM DELM .
W * CON CON »‰«»—«Ì‰
W * N N,SING,COM,GEN „Ã„Ê⁄
W * N N,PL,TIME,GEN ”«·Â«Ì
W * N N,SING,COM,GEN “‰œê«‰Ì
W * ADJ ADJ,SIM,GEN „‘ —ﬂ
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * P P »«
W * QUA QUA,GEN Ã„·ÂÒ
W * N N,PL,COM,GEN Â„”—«‰
W * ADJ ADJ,SIM,AFF,6 ê—«„Ì‘«‰
W * N N,SING,NUM 73
W * N N,SING,TIME ”«·
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM Œœ«Ê‰œ
W * P P «“
W * N N,SING,PR ŒœÌÃÂ
W * N N,SING,NUM œÊ
W * N N,SING,COM Å”—
W * CON CON Ê
W * N N,SING,NUM çÂ«—
W * N N,SING,COM œŒ —
W * N N,SING,COM,GEN —Ê“Ì
W * N N,SING,PR,GEN ÅÌ«„»—
W * ADJ ADJ,SIM ê—«„Ì
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * V V,PA,SIM,POS,3 ›—„Êœ
W * DELM DELM .
W * N N,PL,COM,GEN Å”—«‰
W * N N,SING,PR ﬁ«”„
W * CON CON Ê
W * N N,SING,PR ⁄»œ«··Â
W * CON CON Ì«
W * DET DET Â„«‰
W * N N,SING,PR ÿÌ»
W * CON CON Ê
W * N N,SING,PR ÿ«Â—
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM ÿ›Ê·Ì 
W * V V,PA,SIM,POS,6 œ—ê–‘ ‰œ
W * CON CON Ê
W * N N,PL,COM,GEN œŒ —«‰
W * N N,SING,PR “Ì‰»
W * CON CON Ê
W * N N,SING,PR «„ ﬂ·ÀÊ„
W * CON CON Ê
W * N N,SING,PR —ﬁÌÂ
W * CON CON Ê
W * N N,SING,PR ›«ÿ„Â
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * CON CON ﬂÂ
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN »⁄À 
W * N N,SING,PR ÅÌ«„»—
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * N N,SING,COM «”·«„
W * V V,PA,SIM,POS,6 ¬Ê—œ‰œ
W * CON CON Ê
W * N N,SING,COM «“œÊ«Ã
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * CON CON,COMP »Â Ã“
W * N N,SING,PR ›«ÿ„Â
W * N N,SING,SURN ”·«„ «··Â ⁄·ÌÂ«
W * PRO PRO,INDF,SING Â„êÌ
W * P P œ—
W * N N,SING,COM,GEN “„«‰
W * N N,SING,COM,GEN ÕÌ« 
W * N N,SING,PR,GEN ‰»Ì
W * ADJ ADJ,SIM «ﬂ—„
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * N N,SING,COM Ê›« 
W * V V,PA,SIM,POS,6 Ì«› ‰œ
W * DELM DELM .
W * CON CON Â„ç‰Ì‰
W * N N,SING,PR,GEN „«—ÌÂÒ
W * ADJ ADJ,SIM ﬁ»ÿÌÂ
W * N N,SING,COM,GEN Â„”—
W * ADJ ADJ,SIM,GEN ê—«„Ì
W * N N,SING,PR ÅÌ«„»—
W * N N,SING,PR «»—«ÂÌ„
W * RA RA —«
W * P P »Â
W * N N,SING,COM œ‰Ì«
W * V V,PA,SIM,POS,3 ¬Ê—œ
W * CON CON «„«
W * PRO PRO,personal,SING,3 «Ê
W * CON CON ‰Ì“
W * CON CON œ—Õ«·Ì ﬂÂ
W * N N,SING,NUM Ìﬂ
W * N N,SING,TIME ”«·
W * CON CON Ê
W * N N,SING,NUM œÂ
W * N N,SING,TIME „«Â
W * CON CON Ê
W * N N,SING,NUM Â‘ 
W * N N,SING,TIME —Ê“
W * ADJ ADJ,CMPR »Ì‘ —
W * P P «“
W * N N,SING,COM,AFF,3 ⁄„—‘
W * ADJ ADJ,INO,NEG ‰ê–‘ Â
W * V V,PA,SIM,POS,3 »Êœ
W * P P »Â
W * N N,SING,COM,GEN „‘Ì 
W * ADJ ADJ,SIM «·ÂÌ
W * P P «“
W * N N,SING,COM œ‰Ì«
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM .
W * CON CON »‰«»—«Ì‰
W * N N,SING,COM ‰”·
W * N N,SING,PR,GEN ÅÌ«„»—
W * ADJ ADJ,SIM,GEN ê—«„Ì
W * N N,SING,COM «”·«„
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * P P œ—
W * N N,SING,PR ›«ÿ„Â
W * CON CON Ê
W * N N,PL,COM,AFF,3 Å”—«‰‘
W * P P «“
W * N N,SING,PR ⁄·Ì
W * DELM DELM )
W * N N,SING,SURN ⁄
