Sub * SUBJ SUBJ !›Â—”  „‰«»⁄!
W * N N,SING,COM,GEN  ⁄ﬁÌ»
W * N N,PL,COM „Ã—„«‰
W * P P »—
W * N N,SING,COM,GEN ⁄ÂœÂ
W * N N,SING,COM,GEN œ” ê«Â
W * ADJ ADJ,SIM ﬁ÷«ÌÌ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR  «Ã “«œÂ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * CON CON Ê
W * QUA QUA Â—
W * N N,SING,COM,GEN ‘Œ’
W * ADJ ADJ,SIM ÕﬁÌﬁÌ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ÕﬁÊﬁÌ
W * ADJ ADJ,SIM œÌê—
W * V V,PRS,POS,3 „Ì  Ê«‰œ
W * N N,SING,COM,GEN „Ã„Ê⁄Â
W * N N,PL,COM,GEN  Œ·›Â«Ì
W * ADJ ADJ,SIM «œ⁄«ÌÌ
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN Â„—«Â
W * N N,PL,COM «”‰«œ
W * CON CON Ê
W * N N,PL,COM,GEN „œ«—ﬂ
W * ADJ ADJ,SIM „À» Â
W * P P œ—
W * N N,SING,COM,GEN «Œ Ì«—
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * N N,SING,COM ﬁ—«—
W * V V,SUB,POS,3 œÂœ
W * CON CON  «
W * N N,SING,COM ﬁ«÷Ì
W * P P »«
W * N N,SING,COM —”ÌœêÌ
W * P P »Â
W * N N,SING,COM „Ê÷Ê⁄
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN ﬂ‘›
W * N N,SING,COM Ã—„
W * CON CON Ê
W * N N,SING,COM,GEN „Ã«“« 
W * N N,PL,COM „Ã—„«‰
W * V V,SUB,POS,3 »Å—œ«“œ
W * DELM DELM .
W * CON CON »‰«»—«Ì‰
W * DELM DELM °
W * N N,SING,COM,GEN «⁄·«„
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * ADJ ADJ,SIM,GEN ⁄„œÂ
W * N N,PL,COM  ﬁ’Ì—
W * ADJ ADJ,SIM,GEN „ ÊÃÂ
W * DET DET,I çÂ
W * N N,SING,COM,INDF ﬂ”Ì
W * V V,PRE,SIM «” 
W * DELM DELM °
W * P P »—
W * N N,SING,COM,GEN ⁄ÂœÂ
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«ÌÌÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * ADV ADV,GENR,NEGG ‰Â
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P »—
W * N N,SING,COM,GEN «”«”
W * N N,SING,COM,GEN «’·
W * N N,SING,NUM,GEN 99
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * ADJ ADJ,SIM «”«”Ì
W * CON CON Ê
W * ADJ ADJ,SIM,GEN „ÿ«»ﬁ
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,COM,GEN „Ã·”
W * N N,SING,GR,GEN ‘Ê—«Ì
W * ADJ ADJ,SIM «”·«„Ì
W * CON CON Ê
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * N N,SING,COM,GEN ‰Ÿ«— 
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * P P »—
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,COM „Ã·”
W * DELM DELM °
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ‘Œ’Ì 
W * ADJ ADJ,SIM ÕﬁÊﬁÌ
W * N N,SING,COM ‰Ÿ«— 
W * P P »—
W * N N,PL,COM «‰ Œ«»« 
W * RA RA —«
W * P P »—
W * N N,SING,COM ⁄ÂœÂ
W * V V,PRS,POS,3 œ«—œ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM ﬁ«‰Ê‰
W * N N,SING,COM,GEN „Ã—«Ì
W * N N,SING,COM,GEN «⁄„«·
W * N N,SING,COM ‰Ÿ«— 
W * N N,SING,COM ÅÌ‘ »Ì‰Ì
W * ADJ ADJ,INO ‘œÂ
W * CON CON Ê
W * DET DET ¬‰
W * N N,SING,GR ‘Ê—«
W * P P œ—
W * DET DET ¬‰
W * N N,SING,COM ç«—çÊ»
W * N N,SING,COM,GEN «⁄„«·
W * N N,SING,COM ‰Ÿ«— 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * N N,SING,COM,GEN „⁄«Ê‰
W * N N,SING,COM,GEN Ê“Ì—
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM «ŸÂ«—
W * V V,PA,SIM,POS,3 œ«‘ 
W * DELM DELM :
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * ADJ ADJ,SIM œÌê—
W * N N,PL,COM,GEN ‰Ÿ—Â«Ì
W * ADJ ADJ,SIM «‰ ”«»Ì
W * P P »Â
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM »ÕÀ
W * CON CON Ê
W * N N,SING,COM »——”Ì
W * P P œ—
W * N N,SING,GR ‘Ê—«
W * CON CON Ê
W * N N,SING,COM,GEN  ’ÊÌ»
W * PRO PRO,DEMO,SING ¬‰
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN ç«—çÊ»
W * N N,SING,COM ﬁ«‰Ê‰
W * V V,PRE,ADJC,3 ·«“„ «·«Ã—«” 
W * CON CON Ê
W * CON CON  «¬‰Ã«ﬂÂ
W * PRO PRO,personal,SING,1 „‰
W * N N,SING,COM «ÿ·«⁄
W * V V,PRS,POS,1 œ«—„
W * DELM DELM °
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * N N,SING,COM,INDF „’Ê»Â «Ì
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN ÅÌê—œ
W * ADJ ADJ,SIM,GEN ﬁ«‰Ê‰Ì
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * ADJ ADJ,INO,NEG ‰œ«‘ Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * CON CON »‰«»—«Ì‰
W * P P œ—
W * N N,SING,COM,GEN ‰»Êœ
W * SPEC SPEC ç‰Ì‰
W * N N,SING,COM,INDF „’Ê»Â «Ì
W * DELM DELM °
W * N N,SING,COM,GEN ‰«„Â
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR Ã‰ Ì
W * N N,SING,COM,GEN ‰Ÿ—
W * ADJ ADJ,SIM ‘Œ’Ì
W * N N,SING,COM  ·ﬁÌ
W * ADJ ADJ,INO ‘œÂ
W * CON CON Ê
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * ADV ADV,GENR,SIM ’—›«
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM ‘Â—Ê‰œ
W * CON CON Ê
W * ADV ADV,GENR,NEGG ‰Â
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN œ»Ì—
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * V V,PRS,POS,3 „Ì  Ê«‰œ
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM »«—Â
W * N N,SING,COM,GEN «ﬁ«„Â
W * N N,SING,COM œ⁄Ê«
W * V V,SUB,POS,3 ﬂ‰œ
W * DELM DELM .
W * N N,SING,PR  «Ã “«œÂ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR Ã‰ Ì
W * CON CON ﬂÂ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,PR  Â—«‰
W * RA RA —«
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,PL,COM «‘ﬂ«·Â«
W * CON CON Ê
W * N N,PL,COM,GEN  Œ·›Â«Ì
W * ADJ ADJ,SIM ﬂ·«‰
W * CON CON Ê
W * ADJ ADJ,SIM »Ì ”«»ﬁÂ
W * P P œ—
W * N N,SING,COM,GEN  «—ÌŒ
W * N N,PL,COM «‰ Œ«»« 
W * V V,PRS,POS,3 „Ì œ«‰œ
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN  «—ÌŒ
W * N N,SING,NUM,GEN 18
W * N N,SING,MON «”›‰œ
W * N N,SING,TIME,GEN „«Â
W * N N,SING,NUM 1378
W * CON CON Ê
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN »«“‘„«—Ì
W * N N,PL,COM,GEN ¬—«Ì
W * N N,SING,NUM 527
W * N N,SING,COM ’‰œÊﬁ
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN ⁄÷Ê
W * N N,SING,GR,GEN ÂÌ√ 
W * ADJ ADJ,SIM,GEN „—ﬂ“Ì
W * N N,SING,COM ‰Ÿ«— 
W * N N,SING,COM,GEN œ” Ê—
W * N N,SING,COM,GEN  Êﬁ›
W * N N,SING,COM,GEN »«“‘„«—Ì
W * N N,PL,COM ¬—«
W * RA RA —«
W * ADJ ADJ,SIM ’«œ—
W * CON CON Ê
W * N N,SING,COM,GEN ’Õ 
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,PR  Â—«‰
W * RA RA —«
W * N N,SING,COM  «∆Ìœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * CON CON »‰«»—«Ì‰
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM  Ê÷ÌÕ
W * V V,SUB,POS,3 œÂœ
W * CON CON ﬂÂ
W * P P »«
W * DET DET «Ì‰
W * QUA QUA Â„Â
W * N N,SING,COM,GEN  Œ·›
W * ADJ ADJ,SIM «œ⁄«ÌÌ
W * DELM DELM °
W * ADV ADV,I ç—«
W * P P œ—
W * DET DET ¬‰
W * N N,SING,COM  «—ÌŒ
W * N N,SING,GR,GEN ÂÌ√ 
W * ADJ ADJ,SIM,GEN „—ﬂ“Ì
W * N N,SING,COM ‰Ÿ«— 
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * N N,SING,COM,GEN «ÿ„Ì‰«‰
W * ADJ ADJ,SIM ·«“„
W * RA RA —«
W * P P »—
W * N N,SING,COM,GEN ’Õ 
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM ﬂ”»
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,COM,GEN „«‰⁄
W * N N,SING,COM,GEN  œ«Ê„
W * N N,SING,COM,GEN »«“‘„«—Ì
W * N N,PL,COM ¬—«
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,COM,GEN œ»Ì—
W * ADJ ADJ,SIM,GEN „Õ —„
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * ADV ADV,GENR,SIM Â‰Ê“
W * N N,SING,COM,GEN ‘„«—Â
W * N N,PL,COM,INDF ’‰œÊﬁÂ«ÌÌ
W * RA RA —«
W * CON CON ﬂÂ
W * N N,SING,COM «»ÿ«·
W * ADJ ADJ,INO ‘œÂ
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM «⁄·«„
W * ADJ ADJ,INO,NEG ‰ﬂ—œÂ
W * V V,PRE,SIM «” 
W * CON CON  «
W * P P »«
W * N N,SING,COM,GEN »——”Ì
W * PRO PRO,DEMO,PL ¬‰Â«
W * V V,AUX,NIN,POS » Ê«‰
W * P P »Â
W * N N,PL,COM,GEN  Œ·›Â«Ì
W * N N,SING,COM,INDF «Õ „«·Ì
W * CON CON Ê
W * N N,SING,COM,GEN „‰‘«¡
W * PRO PRO,DEMO,PL ¬‰Â«
W * N N,SING,COM ÅÌ
W * V V,SUB,POS,3 »—œ
W * DELM DELM .
W * ADJ ADJ,CMPR »Â —
W * V V,PRE,SIM «” 
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * ADV ADV,GENR,SIM Õœ«ﬁ·
W * ADJ ADJ,SIM Â„“„«‰
W * P P »«
W * N N,SING,COM,GEN œ—ŒÊ«” 
W * N N,SING,COM —”ÌœêÌ
W * P P »Â
W * N N,PL,COM,GEN  Œ·›Â«Ì
W * ADJ ADJ,SIM «Õ „«·Ì
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,PL,COM,GEN ’‰œÊﬁÂ«Ì
W * ADJ ADJ,SIM «»ÿ«· ‘œÂ
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM «⁄·«„
W * V V,SUB,POS,3 ﬂ‰œ
W * CON CON  «
W * N N,PL,COM,GEN «ÿ·«⁄« 
W * ADJ ADJ,SIM,GEN œﬁÌﬁ
W * DET DET ¬‰
W * N N,PL,COM ’‰œÊﬁÂ«
W * P P œ—
W * N N,SING,COM,GEN «Œ Ì«—
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * CON CON Ê
W * CON CON ‰Ì“
W * QUA QUA,GEN ⁄„Ê„
W * N N,SING,GR „—œ„
W * N N,SING,COM ﬁ—«—
W * V V,SUB,POS,3 êÌ—œ
W * CON CON Ê
W * ADJ ADJ,SIM „⁄·Ê„
W * V V,SUB,POS,3 ‘Êœ
W * CON CON ﬂÂ
W * ADV ADV,I ¬Ì«
W * N N,SING,COM,INDF  Œ·›Ì
W * N N,SING,COM «‰Ã«„
W * ADJ ADJ,INO ê—› Â
W * V V,PRE,SIM «” 
W * CON CON Ì«
W * PS PS ŒÌ—
W * CON CON Ê
W * DET DET «Ì‰
W * N N,SING,COM  Œ·›
W * P P »Â
W * N N,SING,COM,GEN ‰›⁄
W * DET DET,I ﬂœ«„
W * N N,SING,COM œ«Êÿ·»
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,PL,COM,GEN ⁄«„·«‰
W * ADJ ADJ,SIM,GEN «Õ „«·Ì
W * PRO PRO,DEMO,SING ¬‰
W * CON CON ‰Ì“
W * P P œ—
W * N N,SING,COM,GEN „Ì«‰
W * N N,PL,COM „Ã—Ì«‰
W * CON CON Ê
W * N N,PL,COM ‰«Ÿ—«‰
W * DET DET,I çÂ
W * N N,PL,COM,INDF ﬂ”«‰Ì
W * V V,PA,NAR,POS,6 »ÊœÂ «‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM  ’—ÌÕ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * ADJ ADJ,SIM  ‰Â«
W * N N,SING,COM,INDF ‘ﬂ«Ì Ì
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN ÿÊ·
W * N N,SING,COM,GEN »—ê“«—Ì
W * N N,PL,COM «‰ Œ«»« 
W * P P,GEN ⁄·ÌÂ
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,GEN ﬂ‘Ê—
W * N N,SING,COM ’Ê— 
W * V V,PA,SIM,POS,3 ê—› 
W * DELM DELM °
W * N N,SING,COM,GEN ‘ﬂ«Ì 
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,GR,GEN ÂÌ√ 
W * ADJ ADJ,SIM,GEN „—ﬂ“Ì
W * N N,SING,COM ‰Ÿ«— 
W * P P »Â
W * N N,SING,COM,GEN œÌÊ«‰
W * N N,SING,COM,GEN ⁄œ«· 
W * ADJ ADJ,SIM «œ«—Ì
W * CON CON Ê
W * N N,SING,COM,GEN œ—ŒÊ«” 
W * N N,SING,COM,GEN «»ÿ«·
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN »Œ‘‰«„Â Â«Ì
W * N N,SING,COM «Ì‰Ã«‰»
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM ŒÊ‘»Œ «‰Â
W * N N,SING,GR,GEN ÂÌ√ 
W * ADJ ADJ,SIM,GEN ⁄„Ê„Ì
W * N N,SING,COM œÌÊ«‰
W * DELM DELM °
W * P P »«
W * N N,SING,COM,GEN  √ÌÌœ
W * N N,SING,COM »Œ‘‰«„Â
W * DELM DELM °
W * P P «“
W * N N,SING,COM,GEN «»ÿ«·
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM ŒÊœœ«—Ì
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * CON CON œ—ÕﬁÌﬁ 
W * P P »Â
W * N N,SING,COM,GEN ‰›⁄
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM —√Ì
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM .
W * N N,SING,COM,GEN «‰ ‘«—
W * N N,SING,COM,GEN —√Ì
W * N N,SING,COM œÌÊ«‰
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN «ÿ·«⁄
W * N N,SING,GR ⁄„Ê„
W * P P »Â
W * N N,SING,COM,GEN ‰Ÿ—
W * PRO PRO,personal,SING,1 „‰
W * ADJ ADJ,SIM „›Ìœ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN „⁄«Ê‰
W * ADJ ADJ,SIM,GEN ”Ì«”Ì
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P «“
W * N N,SING,ORD,GEN ¬€«“
W * N N,PL,COM «‰ Œ«»« 
W * DELM DELM °
W * N N,SING,COM,GEN œ»Ì—
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * P P œ—
W * N N,PL,COM,INDF ‰«„Â Â«ÌÌ
W * N N,PL,COM,INDF ‘»ÂÂ Â«ÌÌ
W * RA RA —«
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN ⁄„·ﬂ—œ
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
