Sub * SUBJ SUBJ !«„‰Ì Ì!
Sub * SUBJ SUBJ !ﬁ÷«ÌÌ!
W * N N,SING,COM ÅÌêÌ—Ì
W * CON CON Ê
W * N N,SING,COM —”ÌœêÌ
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * N N,SING,COM «‰ Œ«»
W * CON CON Ê
W * N N,SING,COM  √ÌÌœ
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * DET DET «Ì‰
W * N N,SING,COM ê—ÊÂ
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * ADJ ADJ,SIM «Ê·ÌÂ
W * RA RA —«
W * P P,GEN œ—»«—Â
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * N N,SING,COM «‰Ã«„
W * V V,PA,SIM,POS,3 œ«œ
W * P P  «
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,MON,GEN ¬–—„«Â
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,SIM ê–‘ Â
W * N N,SING,COM  ‘ŒÌ’
W * ADJ ADJ,INO œ«œÂ
W * ADJ ADJ,INO ‘œÂ
W * CON CON ﬂÂ
W * N N,SING,COM Å—Ê‰œÂ
W * V V,AUX,NIN,POS »«Ìœ
W * P P »«
W * N N,SING,COM,GEN ‰Ÿ«— 
W * ADJ ADJ,CMPR,INDF ⁄«·Ì —Ì
W * N N,SING,COM œ‰»«·
W * V V,SUB,POS,3 ‘Êœ
W * CON CON Ê
W * P P «“
W * DET DET Â„Ì‰
W * N N,SING,COM “„«‰
W * N N,SING,COM,GEN „”∆Ê·Ì 
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,PL,COM,GEN —ƒ”«Ì
W * N N,SING,NUM œÊ
W * N N,SING,COM ﬁÊÂ
W * P P »—
W * N N,SING,COM ⁄ÂœÂ
W * V V,PA,SIM,POS,6 ê—› ‰œ
W * DELM DELM .
W * N N,SING,PR ‰Ì«“Ì
W * P P »«
W * N N,SING,COM  √ﬂÌœ
W * P P »—
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN  €ÌÌ—
W * N N,SING,COM,GEN „œÌ—Ì 
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * N N,SING,COM,GEN „Ê÷Ê⁄
W * ADJ ADJ,SIM,INDF „Â„Ì
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P,GEN »—«Ì
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,COM »«—
W * P P œ—
W * N N,SING,COM,GEN  «—ÌŒ
W * N N,SING,COM ﬁ÷«
W * DELM DELM °
W * N N,SING,COM,GEN —Ì«” 
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM „Ã—ÌÂ
W * P P œ—
W * N N,SING,COM,GEN  €ÌÌ—
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM ﬁ«÷Ì
W * N N,SING,COM ‰ﬁ‘
W * ADJ ADJ,INO œ«‘ Â
W * V V,PRE,SIM «” 
W * CON CON Ê
W * DET DET «Ì‰
W * ADV ADV,GENR,SIM ‘«Ìœ
W * P P »Â
W * N N,SING,COM œ·Ì·
W * N N,SING,COM,GEN «Â„Ì 
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P »Â
W * N N,SING,COM,GEN  Ê«›ﬁ
W * N N,PL,COM,GEN —ƒ”«Ì
W * N N,SING,NUM œÊ
W * N N,SING,COM ﬁÊÂ
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  ⁄ÌÌ‰
W * N N,SING,COM,GEN ﬁ«÷Ì
W * ADJ ADJ,SIM,GEN ÃœÌœ
W * N N,SING,COM Å—Ê‰œÂ
W * N N,SING,COM «‘«—Â
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * CON CON «“¬‰Ã«ÌÌ ﬂÂ
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * P P »«
W * N N,SING,COM,GEN «„‰Ì 
W * ADJ ADJ,SIM „·Ì
W * N N,SING,COM ê—Â
W * V V,PA,NAR,POS,3 ŒÊ—œÂ
W * CON CON Ê
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * ADJ ADJ,SUP Õ”«” —Ì‰
W * CON CON Ê
W * ADJ ADJ,SUP „Â„ —Ì‰
W * N N,PL,COM,GEN Ê“«— Œ«‰Â Â«Ì
W * N N,SING,COM ﬂ«»Ì‰Â
W * DELM DELM °
W * ADJ ADJ,SIM,GEN œ—êÌ—
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM —∆Ì” Ã„ÂÊ—Ì
W * P P œ—
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM,INDF ‰ﬁ‘Ì
W * ADJ ADJ,SIM „ƒÀ—
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ”«“„«‰
W * ADJ ADJ,SIM,GEN ﬁ÷«ÌÌ
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * ADJ ADJ,SIM „”·Õ
W * P P »«
W * N N,SING,COM  √ﬂÌœ
W * P P »—
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN „”∆Ê·
W * ADJ ADJ,SIM,GEN „” ﬁÌ„
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * N N,SING,COM —∆Ì” Ã„ÂÊ—Ì
W * CON CON Ê
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * V V,PRE,SIM «” 
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * CON CON çÊ‰
W * N N,SING,COM,GEN „ﬁ«„
W * ADJ ADJ,SIM,GEN „⁄Ÿ„
W * N N,SING,COM —Â»—Ì
W * CON CON Ê
W * QUA QUA,GEN Â„Â
W * N N,PL,COM „”∆Ê·«‰
W * P P »—
W * N N,SING,COM,GEN ÅÌêÌ—Ì
W * ADJ ADJ,SIM,GEN ÃœÌ
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM  √ﬂÌœ
W * V V,PA,SIM,POS,6 œ«‘ ‰œ
W * DELM DELM °
W * ADJ ADJ,SIM ·«“„
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM „Ã—ÌÂ
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,SING,COM ÅÌêÌ—Ì
W * V V,SUB,POS,3 ﬂ‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P œ—
W * N N,SING,COM «œ«„Â
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM,GEN œ” 
W * N N,SING,COM —∆Ì” Ã„ÂÊ—Ì
W * CON CON ‰Ì“
W * P P,GEN »—«Ì
W * N N,SING,COM  €ÌÌ—
W * P P œ—
W * N N,PL,GR,GEN ê—ÊÂÂ«Ì
W * N N,SING,COM  ÕﬁÌﬁ
W * ADJ ADJ,SIM »«“
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,COM,GEN  €ÌÌ—
W * N N,PL,GR ê—ÊÂÂ«
W * ADV ADV,GENR,SIM ›ﬁÿ
W * P P »Â
W * N N,SING,COM,GEN œ—ŒÊ«” 
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * V V,PA,NAR,POS,3 ‰»ÊœÂ
W * CON CON »·ﬂÂ
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM „Ã—ÌÂ
W * CON CON ‰Ì“
W * P P œ—
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,SIM œŒÌ·
W * ADJ ADJ,INO »ÊœÂ
W * CON CON Ê
W * V V,PRS,POS,3 Â” 
W * DELM DELM .
W * N N,SING,PR ‰Ì«“Ì
W * P P œ—
W * N N,SING,COM Å«”Œ
W * P P »Â
W * N N,SING,COM,GEN ”ƒ«·
W * N N,SING,COM,GEN Œ»—‰ê«—
W * N N,SING,COM,GEN —Ê“‰«„Â
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM «”·«„Ì
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN ‘ﬂ‰ÃÂ
W * N N,PL,COM „ Â„«‰
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,PL,COM,GEN „ Â„«‰
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * N N,SING,COM,INDF «œ⁄«ÌÌ
W * RA RA —«
W * ADJ ADJ,SIM „ÿ—Õ
W * V V,PA,NAR,POS,6 ﬂ—œÂ «‰œ
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM ﬁ«⁄œ «
W * V V,AUX,NIN,POS „Ì »«Ì” 
W * P P «“
W * N N,SING,COM,GEN „”Ì—
W * ADJ ADJ,SIM,GEN ’ÕÌÕ
W * PRO PRO,R,XOD ŒÊœ
W * CON CON Ê
W * P P,GEN  Ê”ÿ
W * N N,PL,COM,GEN „—«Ã⁄
W * ADJ ADJ,SIM ﬁ÷«ÌÌ
W * N N,SING,COM ÅÌêÌ—Ì
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P œ—
W * N N,SING,COM «œ«„Â
W * P P »«
W * N N,SING,COM «‘«—Â
W * P P »Â
W * N N,SING,COM,GEN « „«„
W * N N,SING,COM,GEN œÊ—Â
W * ADJ ADJ,SIM,GEN ”Â „«ÂÂ
W * N N,SING,COM,GEN Õﬂ„
W * N N,SING,COM,GEN ﬁ«÷Ì
W * N N,SING,COM,GEN Å—Ê‰œÂ
W * N N,PL,COM,GEN ﬁ ·Â«Ì
W * ADJ ADJ,SIM “‰ÃÌ—Â «Ì
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET «Ì‰
W * P P œ—
W * N N,SING,COM,INDF Õ«·Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM Ÿ«Â—«
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * ADV ADV,GENR,SIM Â‰Ê“
W * N N,PL,COM,GEN „—«Õ·
W * ADJ ADJ,SIM,GEN  ÕﬁÌﬁ« Ì
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * N N,SING,COM ÿÌ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON Ê
W * N N,SING,ORD,INDF ﬂÌ›—ŒÊ«” Ì
W * P P,GEN ⁄·ÌÂ
W * N N,PL,COM „ Â„«‰
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM “„Ì‰Â
W * N N,SING,COM ’«œ—
W * ADJ ADJ,INO,NEG ‰‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR ‰Ì«“Ì
W * P P œ—
W * N N,SING,COM Å«”Œ
W * P P »Â
W * N N,SING,COM,GEN ”ƒ«·
W * N N,SING,NPR «Ì—‰«
W * ADJ ADJ,SIM „»‰Ì
W * P P »—
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN —€„
W * N N,SING,COM,GEN  √ﬂÌœ
W * PRO PRO,personal,PL,2 ‘„«
W * P P »—
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * ADJ ADJ,SIM ⁄„ﬁÌ
W * P P,GEN œ—»«—Â
W * N N,PL,COM ÷«»ÿ«‰
W * CON CON Ê
W * N N,PL,COM,GEN ﬂ«—‘‰«”«‰
W * ADJ ADJ,SIM,GEN «Ê·ÌÂ
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * DELM DELM °
W * ADV ADV,I ç—«
W * N N,SING,COM —”ÌœêÌ
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM «„—
W * P P »Â
W * N N,SING,COM,GEN ê—ÊÂ
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * ADJ ADJ,SIM Ê«ê–«—
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM ø
W * DELM DELM °
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,PL,GR,GEN ê—ÊÂÂ«Ì
W * ADJ ADJ,SIM „Œ ·›
W * DELM DELM °
W * N N,PL,COM,GEN ‰Ÿ—« 
W * ADJ ADJ,SIM,INDF „Œ ·›Ì
W * V V,PRS,POS,6 œ«—‰œ
W * CON CON «„«
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ‰Ÿ—
W * DET DET,I ﬂœ«„
W * N N,SING,NUM Ìﬂ
W * P P «“
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P »Â
W * N N,SING,COM Ê«ﬁ⁄Ì 
W * ADJ ADJ,CMPR ‰“œÌﬂ —
W * V V,PRE,SIM «” 
W * V V,AUX,NIN,POS »«Ìœ
W * ADJ ADJ,SIM —Ê‘‰
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P «“
W * N N,SING,COM,GEN ⁄· 
W * N N,SING,COM,GEN Ê«ê–«—Ì
W * N N,SING,COM Å—Ê‰œÂ
W * P P »Â
W * N N,SING,GR,INDF ê—ÊÂÌ
W * ADJ ADJ,SIM œÌê—
W * P P «“
W * N N,PL,COM „Õﬁﬁ«‰
W * CON CON Ê
W * N N,PL,COM ÷«»ÿ«‰
W * N N,SING,COM,GEN «ŸÂ«—
W * N N,SING,COM »Ì «ÿ·«⁄Ì
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,GENR,SIM ‘«Ìœ
W * N N,SING,COM ﬁ’œ
W * PRO PRO,DEMO,SING «Ì‰
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM ‰Ÿ«— 
W * RA RA —«
W * ADJ ADJ,SIM ﬁÊÌ
W * V V,SUB,POS,6 ﬂ‰‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P œ—
W * N N,SING,COM Å«”Œ
W * P P »Â
W * N N,SING,COM,GEN ”ƒ«·
W * ADJ ADJ,SIM,GEN œÌê—
W * N N,SING,NPR «Ì—‰«
W * P P,GEN œ—»«—Â
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * ADV ADV,I ¬Ì«
W * P P «“
W * QUA QUA »—ŒÌ
W * N N,PL,COM,GEN „ Â„«‰
W * ADJ ADJ,SIM,GEN ¬“«œ‘œÂ
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * N N,SING,COM,GEN —›⁄
W * N N,SING,COM « Â«„
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * CON CON Ì«
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P »«
W * N N,SING,COM,GEN ﬁÌœ
W * N N,SING,COM ÊÀÌﬁÂ
W * ADJ ADJ,SIM ¬“«œ
W * V V,PA,NAR,POS,6 ‘œÂ «‰œ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET «Ì‰
W * N N,PL,COM «›—«œ
W * P P »«
W * N N,SING,COM,GEN  √„Ì‰
W * ADJ ADJ,SIM,GEN ﬁ«‰Ê‰Ì
W * ADJ ADJ,SIM „‰«”»
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN  ‘ŒÌ’
W * N N,SING,COM ﬁ«÷Ì
W * ADJ ADJ,SIM ¬“«œ
W * V V,PA,NAR,POS,6 ‘œÂ «‰œ
W * CON CON Ê
W * PRO PRO,DEMO,SING «Ì‰
W * P P »Â
W * N N,SING,COM,GEN „⁄‰«Ì
W * N N,SING,COM  »—∆Â
W * V V,PRS,NEG,3 ‰Ì” 
W * DELM DELM °
W * CON CON »·ﬂÂ
W * N N,SING,COM,GEN Å—Ê‰œÂ
W * PRO PRO,personal,PL,3 ¬‰«‰
W * ADJ ADJ,SIM „› ÊÕ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * P P,GEN œ—»«—Â
W * N N,PL,COM,GEN « Â«„« 
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P œ—
W * N N,SING,COM ¬Ì‰œÂ
W * N N,SING,COM,GEN «ŸÂ«—
W * N N,SING,COM ‰Ÿ—
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P œ—
W * N N,SING,COM,GEN »Œ‘
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * P P «“
W * N N,PL,COM,GEN ”Œ‰«‰
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,COM Å«”Œ
W * P P »Â
W * N N,SING,COM,GEN Œ»—‰ê«—
W * N N,SING,COM,GEN —Ê“‰«„Â
W * N N,SING,LOC,PR ﬁœ”
W * P P,GEN œ—»«—Â
W * N N,SING,GR,GEN  ⁄œ«œ
W * N N,PL,COM,GEN „ Â„«‰
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM,GEN ê—ÊÂ
W * ADJ ADJ,ORD,GEN œÊ„
W * N N,PL,COM „ Â„«‰
W * P P œ—
W * N N,SING,MON,GEN „Â—„«Â
W * N N,SING,NUM 1378
W * ADJ ADJ,SIM œ” êÌ—
W * ADJ ADJ,INO ‘œÂ
W * CON CON Ê
W * QUA QUA »—ŒÌ
W * P P «“
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P œ—
W * N N,SING,MON,GEN «—œÌ»Â‘ 
W * N N,SING,NUM 1379
W * ADJ ADJ,SIM ¬“«œ
W * V V,PA,NAR,POS,6 ‘œÂ «‰œ
W * CON CON «„«
W * P P œ—
W * N N,SING,COM,GEN Ã—Ì«‰
W * N N,SING,COM  ÕﬁÌﬁ
W * N N,PL,COM,GEN „Ê÷Ê⁄« 
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * CON CON ‰Ì“
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * N N,PL,COM ﬂ«—‘‰«”«‰
W * P P »Â
W * N N,SING,COM œ” 
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ”«“„«‰
W * ADJ ADJ,SIM,GEN ﬁ÷«ÌÌ
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * ADJ ADJ,SIM „”·Õ
W * P P œ—
W * N N,SING,COM «œ«„Â
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P «“
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ Â„«‰
W * N N,PL,COM,INDF „»«·€Ì
W * ADJ ADJ,SIM »«·€
W * P P »—
W * N N,PL,NUM ’œÂ«
W * N N,SING,NUM „Ì·ÌÊ‰
W * N N,SING,COM  Ê„«‰
W * DELM DELM °
W * N N,SING,NUM 270
W * N N,SING,NUM Â“«—
W * N N,SING,CONT œ·«—
W * DELM DELM °
W * N N,PL,NUM œÂÂ«
W * N N,SING,CONT ﬁ»÷Â
W * N N,SING,COM ”·«Õ
W * DELM DELM °
W * N N,PL,COM,GEN «”‰«œ
W * ADJ ADJ,SIM ”—ﬁ Ì
W * CON CON Ê
W * ADJ ADJ,SIM Ã⁄·Ì
W * CON CON Ê
W * CON CON ‰Ì“
W * N N,PL,COM,GEN œ” ê«ÂÂ«Ì
W * N N,SING,COM,GEN Ã⁄·
W * N N,PL,COM «”‰«œ
W * P P »Â
W * N N,SING,COM œ” 
W * ADJ ADJ,INO ¬„œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * CON CON Â„ç‰Ì‰
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN ŒÊœﬂ‘Ì
W * N N,SING,PR,GEN ”⁄Ìœ
W * N N,SING,PR «„«„Ì
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM,GEN „Ê÷⁄
W * ADJ ADJ,SIM,GEN —”„Ì
W * N N,SING,COM ”«“„«‰
W * P P œ—
W * N N,PL,COM,GEN »Ì«‰ÌÂ Â«Ì
W * ADJ ADJ,SIM ﬁ»·Ì
W * ADJ ADJ,SIM „‘Œ’
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * CON CON «„«
W * DET DET «Ì‰
W * N N,SING,COM ›—œ
W * ADV ADV,GENR,SIM »«—Â«
W * N N,SING,COM «ﬁœ«„
W * P P »Â
W * N N,SING,COM ŒÊœﬂ‘Ì
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * N N,PL,COM,GEN «”‰«œ
W * PRO PRO,DEMO,SING ¬‰
W * P P œ—
W * N N,SING,COM Å—Ê‰œÂ
W * ADJ ADJ,SIM „ÊÃÊœ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P œ—
W * N N,SING,COM Å«”Œ
W * P P »Â
W * N N,SING,COM,GEN Œ»—‰ê«—
W * N N,SING,COM,GEN Œ»—ê“«—Ì
W * N N,PL,COM,GEN œ«‰‘ÃÊÌ«‰
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM ª
W * N N,SING,NPR «Ì”‰«
W * DELM DELM ´
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN ‘«Ì⁄Â
W * N N,SING,COM,GEN ÊÃÊœ
W * N N,SING,COM,GEN Õﬂ„
W * ADJ ADJ,SIM ‘—⁄Ì
W * P P œ—
W * N N,PL,COM,GEN ﬁ ·Â«Ì
W * ADJ ADJ,SIM “‰ÃÌ—Â «Ì
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P,GEN œ—»«—Â
W * N N,SING,COM,GEN Õﬂ„
W * ADJ ADJ,SIM ‘—⁄Ì
W * DELM DELM °
W * N N,PL,COM,INDF „”∆Ê·«‰Ì
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM ‰Â«Ì 
W * V V,PRS,POS,6 „Ì ŒÊ«Â‰œ
W * N N,SING,COM ﬁ÷ÌÂ
W * RA RA —«
W * ADJ ADJ,SIM „ÿ—Õ
W * V V,SUB,POS,6 ﬂ‰‰œ
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM Å«”ŒêÊ
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM °
W * CON CON «„«
W * P P «“
W * N N,SING,COM,GEN ‰Ÿ—
W * PRO PRO,personal,PL,1 „«
W * QUA QUA ÂÌç
W * N N,SING,COM,GEN Õﬂ„
W * ADJ ADJ,SIM ‘—⁄Ì
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM “„Ì‰Â
W * N N,SING,COM ÊÃÊœ
W * V V,PRS,NEG,3 ‰œ«—œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM  √ﬂÌœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * IF IF «ê—
W * N N,SING,COM,INDF ﬂ”Ì
W * QUA QUA «‰œﬂÌ
W * P P »«
W * N N,PL,COM,GEN „Ê«“Ì‰
W * ADJ ADJ,SIM ‘—⁄Ì
W * N N,SING,COM ¬‘‰«ÌÌ
