Sub * SUBJ SUBJ !é‰ Ìò!
W * N N,SING,COM,GEN ›Ì“ÌÊ·ÊéÌ
W * N N,SING,COM êÌ«Â
W * DELM DELM °
W * N N,SING,COM,INDF „”∆·Â «Ì
W * ADJ ADJ,SIM,GEN Õ«∆“
W * N N,SING,COM «Â„Ì 
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,PL,COM,GEN ‰ «ÌÃ
W * N N,PL,COM,GEN ¬“„«Ì‘Â«Ì
W * ADJ ADJ,SIM ﬁ»·Ì
W * CON CON ‰Ì“
W * N N,SING,COM ‰‘«‰
W * ADJ ADJ,INO œ«œÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM ·„”
W * CON CON Ê
W * N N,SING,COM ‰Ê«“‘
W * N N,SING,NFL,GEN ﬂ—œ‰
W * N N,SING,COM êÌ«Â
W * N N,SING,COM,GEN „ÊÃ»
W * N N,SING,COM,GEN —‘œ
W * PRO PRO,DEMO,SING ¬‰
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * N N,SING,LOC,PR »‰
W * DELM DELM -
W * N N,SING,PR «Ì—‰«
W * DELM DELM :
W * P P »Â
W * N N,SING,COM,GEN ê› Â
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ÅéÊÂ‘ê—
W * ADJ ADJ,SIM ¬·„«‰Ì
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN —€„
W * N N,PL,TIME ”«·Â«
W * N N,SING,COM  ÕﬁÌﬁ
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN ÅÌ‘ »Ì‰Ì
W * N N,SING,COM,GEN ÊﬁÊ⁄
W * N N,SING,COM “·“·Â
W * DELM DELM °
W * DET DET «Ì‰
W * N N,SING,COM,GEN ÅœÌœÂ
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * ADV ADV,GENR,SIM ›ﬁÿ
W * N N,SING,NUM Å‰Ã
W * P P  «
W * N N,SING,NUM 20
W * N N,SING,TIME À«‰ÌÂ
W * N N,SING,TIME ﬁ»·
W * P P «“
W * N N,SING,COM,GEN ÊﬁÊ⁄
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,SIM,GEN ﬁ«»·
W * N N,SING,COM ÅÌ‘ »Ì‰Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,SURN Å—›”Ê—
W * N N,SING,PR ·Ê «—
W * N N,SING,PR œ—“‰
W * N N,SING,COM,GEN „ Œ’’
W * N N,SING,COM,GEN é∆Ê›Ì“Ìﬂ
W * N N,SING,LOC,GEN œ«‰‘ê«Â
W * N N,SING,LOC,PR,GEN »ÊŒÊ„
W * N N,SING,LOC,PR ¬·„«‰
W * P P œ—
W * N N,SING,ORD,GEN Å«Ì«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ê—œÂ„«ÌÌ
W * ADJ ADJ,SIM,GEN  Œ’’Ì
W * ADJ ADJ,SIM Ìﬂ —Ê“Â
W * P P œ—
W * N N,SING,LOC,PR ¬—‰”»—ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET «Ì‰
W * N N,SING,NUM ç‰œ
W * N N,SING,TIME À«‰ÌÂ
W * DELM DELM )
W * N N,SING,NUM 5
W * P P  «
W * N N,SING,NUM 20
W * N N,SING,TIME À«‰ÌÂ
W * DELM DELM (
W * ADV ADV,GENR,SIM Õœ«ﬁ·
W * P P,GEN »—«Ì
W * ADJ ADJ,SIM Œ«„Ê‘
W * N N,SING,NFL,GEN ﬂ—œ‰
W * N N,PL,COM,GEN œ” ê«ÂÂ«Ì
W * ADJ ADJ,SIM Õ”«”
W * P P «“
W * N N,SING,COM,GEN ﬁ»Ì·
W * N N,PL,COM,GEN ‘»ﬂÂ Â«Ì
W * N N,SING,COM,GEN  Ê·Ìœ
W * N N,SING,COM «‰—éÌ
W * CON CON Ê
W * N N,SING,COM »—ﬁ
W * DELM DELM °
W * N N,SING,TIME ﬁ»·
W * P P «“
W * N N,SING,COM,GEN ÊﬁÊ⁄
W * N N,SING,COM “·“·Â
W * DELM DELM °
W * N N,SING,COM ﬂ›«Ì 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM Œ«ÿ—‰‘«‰
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ÊﬁÊ⁄
W * N N,SING,COM “·“·Â
W * P P œ—
W * N N,SING,LOC œ—Ì«
W * DELM DELM °
W * N N,SING,NUM œÂ
W * P P  «
W * N N,SING,NUM »Ì” 
W * N N,SING,TIME œﬁÌﬁÂ
W * N N,SING,TIME ﬁ»·
W * P P «“
W * N N,SING,COM ÊﬁÊ⁄
W * DELM DELM °
W * ADJ ADJ,SIM,GEN ﬁ«»·
W * N N,SING,COM ÅÌ‘ »Ì‰Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P »«
W * N N,SING,COM «‘«—Â
W * P P »Â
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM,GEN „Ã„Ê⁄
W * N N,SING,NUM 40
W * N N,SING,COM,GEN “·“·Â
W * ADJ ADJ,SIM À»  ‘œÂ
W * P P œ—
W * N N,PL,ORD,GEN «Ê«”ÿ
W * N N,SING,TIME,GEN œÂÂ
W * N N,SING,NUM,GEN 90
W * ADJ ADJ,SIM „Ì·«œÌ
W * DELM DELM °
W * ADV ADV,GENR,SIM ’—›«
W * N N,SING,NUM 5
W * N N,SING,COM “·“·Â
W * P P »Â
W * N N,SING,COM,GEN Ê”Ì·Â
W * N N,PL,COM,GEN ⁄·«∆„
W * ADJ ADJ,SIM „ﬁœ„« Ì
W * DELM DELM °
W * N N,SING,COM,GEN ÊﬁÊ⁄
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM °
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * QUA QUA »⁄÷Ì
W * P P «“
W * N N,PL,COM ⁄·«∆„
W * ADV ADV,GENR,EXM «“Ã„·Â
W * DELM DELM °
W * N N,PL,COM,GEN ÅÌ‘ ·—“Â Â«Ì
W * N N,SING,TIME ﬁ»·
W * P P «“
W * N N,SING,COM,GEN ÊﬁÊ⁄
W * N N,SING,COM “·“·Â
W * DELM DELM °
W * N N,SING,COM,GEN »—Ê“
W * N N,PL,COM  €ÌÌ—« 
W * P P œ—
W * N N,SING,COM,GEN ”ÿÕ
W * N N,SING,LOC,PR “„Ì‰
W * DELM DELM °
W * N N,SING,COM  ÕÊ·
W * P P œ—
W * N N,SING,COM,GEN  ’«⁄œ
W * N N,PL,COM,GEN ê«“Â«Ì
W * ADJ ADJ,SIM “Ì—“„Ì‰Ì
W * DELM DELM °
W * N N,PL,COM,GEN  €ÌÌ—« 
W * ADJ ADJ,SIM ‰«êÂ«‰Ì
W * P P œ—
W * N N,SING,COM,GEN ”ÿÕ
W * N N,PL,COM,GEN ¬»Â«Ì
W * ADJ ADJ,SIM “Ì—“„Ì‰Ì
W * CON CON Ê
W * N N,SING,COM  €ÌÌ—
W * P P œ—
W * N N,PL,COM,GEN  —ﬂÌ»« 
W * ADJ ADJ,SIM,GEN ‘Ì„Ì«ÌÌ
W * N N,PL,COM,GEN ¬»Â«Ì
W * ADJ ADJ,SIM,INDF ç‘„Â «Ì
W * CON CON Ê
W * ADJ ADJ,SIM “Ì—“„Ì‰Ì
W * V V,PRS,NEG,6 ‰„Ì  Ê«‰‰œ
W * N N,PL,COM,GEN „⁄Ì«—Â«Ì
W * ADJ ADJ,SIM,INDF ﬁ«»· «⁄ „«œÌ
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  ‘ŒÌ’
W * ADJ ADJ,SIM,GEN »Â „Êﬁ⁄
W * N N,SING,COM “·“·Â
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM .
Sub * SUBJ SUBJ !»Âœ«‘ Ì!
W * DELM DELM #
W * N N,PL,COM,INDF „‰«ÿﬁÌ
W * CON CON ﬂÂ
W * N N,SING,COM “»«·Â
W * P P œ—
W * PRO PRO,DEMO,PL ¬‰Â«
W * ADJ ADJ,INO ”Ê“«‰œÂ
W * V V,PRS,POS,3 „Ì ‘Êœ
W * ADJ ADJ,SIM ”—ÿ«‰ “«
W * V V,PRS,POS,6 Â” ‰œ
W * DELM DELM .
W * DELM DELM #
W * N N,SING,LOC,PR ·‰œ‰
W * DELM DELM -
W * N N,SING,PR «Ì—‰«
W * DELM DELM :
W * N N,SING,COM,GEN ‰ ÌÃÂ
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * ADJ ADJ,SIM ÃœÌœ
W * N N,SING,COM ‰‘«‰
W * ADJ ADJ,INO œ«œÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,PL,COM,GEN „Ê«œ
W * ADJ ADJ,SIM,GEN ‘Ì„Ì«ÌÌ
W * ADJ ADJ,SIM ”„Ì
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN «À—
W * N N,SING,NFL,GEN ”Ê“«‰œ‰
W * N N,PL,COM “»«·Â Â«
W * CON CON Ê
W * N N,PL,COM,GEN ¬·«Ì‰œÂ Â«Ì
W * N N,PL,LOC,GEN ﬂ«—Œ«‰Â Â«Ì
W * ADJ ADJ,SIM ’‰⁄ Ì
W * N N,SING,COM  Ê·Ìœ
W * V V,PRS,POS,3 „Ì ‘Êœ
W * ADV ADV,deg,SIM »Â „—« »
W * ADJ ADJ,CMPR Œÿ—‰«ﬂ —
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM ê–‘ Â
W * N N,SING,COM  ’Ê—
W * V V,PA,PRG,POS,3 „Ì ‘œ
W * DELM DELM .
W * ADJ ADJ,SUP „Â„ —Ì‰
W * N N,SING,COM,GEN „«œÂ
W * ADJ ADJ,SIM ”„Ì
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM,GEN œÊœﬂ‘
W * N N,PL,LOC,GEN ﬂ«—Œ«‰Â Â«Ì
W * N N,SING,COM –Ê» ¬Â‰
W * CON CON Ê
W * CON CON Â„ç‰Ì‰
W * N N,SING,COM,GEN œÊœ
W * ADJ ADJ,SIM ‰«‘Ì
W * P P «“
W * N N,SING,NFL,GEN ”Ê“«‰œ‰
W * N N,SING,COM “»«·Â
W * P P »Â
W * N N,SING,COM œ” 
W * V V,PRS,POS,3 „Ì ¬Ìœ
W * DELM DELM °
W * N N,SING,COM œ«Ì «ﬂ”Ì‰
W * N N,SING,COM ‰«„
W * V V,PRS,POS,3 œ«—œ
W * CON CON ﬂÂ
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * ADJ ADJ,SUP ⁄„œÂ  —Ì‰
W * N N,PL,COM,GEN ⁄Ê«„·
W * ADJ ADJ,SIM ”—ÿ«‰ “«
W * P P »Â
W * N N,SING,COM ‘„«—
W * V V,PRS,POS,3 „Ì ¬Ìœ
W * CON CON Ê
W * N N,PL,COM,GEN »——”ÌÂ«Ì
W * ADJ ADJ,SIM ÃœÌœ
W * N N,SING,COM ‰‘«‰
W * ADJ ADJ,INO œ«œÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN »œ‰
W * QUA QUA,GEN Â„Â
W * N N,PL,COM,GEN ”«ﬂ‰«‰
W * P P,GEN —ÊÌ
W * N N,SING,LOC,PR “„Ì‰
W * N N,SING,COM,INDF œ—’œÌ
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM „«œÂ
W * V V,PA,SIM,POS,3 Ì«› 
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * N N,SING,COM,GEN ê“«—‘
W * ADJ ADJ,SIM „“»Ê—
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN Ê”Ì·Â
W * N N,SING,COM,GEN ¬é«‰”
W * ADJ ADJ,SIM,GEN »Ì‰ «·„··Ì
W * N N,SING,COM Õ„«Ì 
W * P P «“
W * N N,SING,COM,GEN „ÕÌÿ
W * N N,SING,COM “Ì” 
W * N N,SING,COM  ÂÌÂ
W * ADJ ADJ,INO ‘œÂ
W * CON CON Ê
W * N N,SING,COM,INDF Œ·«’Â «Ì
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * P P »Â
W * N N,SING,COM,GEN ’Ê— 
W * ADJ ADJ,SIM ÅÌ‘ Â‰ê«„
W * P P œ—
W * N N,PL,COM,GEN —Ê“‰«„Â Â«Ì
W * N N,SING,PR Ê«‘‰ê ‰ Å” 
W * N N,SING,COM,GEN ç«Å
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * CON CON Ê
W * N N,SING,PR ê«—œÌ‰
W * N N,SING,COM,GEN ç«Å
W * N N,SING,LOC,PR «‰ê·Ì”
W * N N,SING,COM «‰ ‘«—
W * ADJ ADJ,INO Ì«› Â
W * DELM DELM °
W * ADJ ADJ,SIM Õ«ﬂÌ
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * DET DET «Ì‰
W * N N,SING,COM,GEN „«œÂ
W * ADJ ADJ,SIM ‘Ì„Ì«ÌÌ
W * ADJ ADJ,SUP Œÿ—‰«ﬂ —Ì‰
W * N N,SING,COM,GEN „Õ’Ê·
W * N N,SING,COM,GEN ”«Œ Â
W * N N,SING,COM,GEN œ” 
W * N N,SING,COM »‘—
W * P P »Â
W * N N,SING,COM ‘„«—
W * V V,PRS,POS,3 „Ì ¬Ìœ
W * CON CON Ê
W * P P «“
W * N N,SING,COM,GEN ÿ—Ìﬁ
W * N N,SING,COM Ã«Ì
W * N N,SING,NFL ê—› ‰
W * P P œ—
W * N N,SING,COM ‘Ì—
W * CON CON Ì«
W * P P œ—
W * N N,SING,COM ç—»Ì
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN »œ‰
W * N N,PL,COM ¬œ„Ì«‰
W * N N,SING,COM —«Â
W * V V,PRS,POS,3 „Ì Ì«»œ
W * CON CON Ê
W * N N,PL,COM,GEN «À—« 
W * ADJ ADJ,SIM,INDF „Œ—»Ì
W * P P,GEN —ÊÌ
W * N N,SING,COM,GEN ”Ì” „
W * ADJ ADJ,SIM,GEN «Ì„‰Ì
W * PRO PRO,personal,PL,3 ¬‰«‰
W * N N,SING,COM »«ﬁÌ
W * V V,PRS,POS,3 „Ì ê–«—œ
W * CON CON Ê
W * N N,SING,COM,GEN —‘œ
W * ADJ ADJ,SIM,GEN „ ⁄«—›
W * N N,PL,COM,GEN «—ê«‰Ì“„Â«Ì
W * N N,SING,COM »œ‰
W * RA RA —«
W * ADJ ADJ,SIM „Œ ·
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * N N,SING,COM,GEN ê“«—‘
W * N N,SING,COM,GEN ¬é«‰”
W * N N,SING,COM Õ„«Ì 
W * P P «“
W * N N,SING,COM,GEN „ÕÌÿ
W * N N,SING,COM “Ì” 
W * DELM DELM °
W * ADJ ADJ,SIM,GEN „ƒÌœ
W * N N,PL,COM,GEN ‰ «ÌÃ
W * ADJ ADJ,SIM,GEN »Â œ”  ¬„œÂ
W * P P »Â
W * N N,SING,COM,GEN Ê”Ì·Â
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM ê—ÊÂ
W * P P «“
W * N N,PL,COM,GEN œ«‰‘„‰œ«‰
W * ADJ ADJ,SIM ¬·„«‰Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM ‰‘«‰
W * V V,PA,NAR,POS,6 œ«œÂ «‰œ
W * DELM DELM °
W * N N,SING,COM,GEN „«œÂ
W * N N,SING,COM œ«Ì «ﬂ”Ì‰
W * N N,SING,COM,GEN „”»»
W * N N,SING,NUM 21
W * N N,SING,COM,GEN œ—’œ
W * N N,PL,COM,GEN „Ê«—œ
W * N N,SING,COM «» ·«
W * P P »Â
W * N N,SING,COM ”—ÿ«‰
W * P P œ—
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,SIM,GEN ’‰⁄ Ì
W * N N,SING,COM ÃÂ«‰
W * V V,PRE,SIM «” 
W * DELM DELM .
Sub * SUBJ SUBJ !›÷«ÌÌ!
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM -
W * N N,SING,COM,GEN Ê«Õœ
W * ADJ ADJ,SIM,GEN „—ﬂ“Ì
W * N N,SING,COM Œ»—
W * DELM DELM :
W * N N,PL,COM,GEN «Œ —‘‰«”«‰
W * ADJ ADJ,SIM,GEN »—Ã” Â
W * N N,SING,COM ÃÂ«‰
W * P P œ—
W * N N,SING,COM,GEN «Ã·«”
W * N N,SING,LOC,GEN ¬ﬂ«œ„Ì
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,PL,COM ⁄·Ê„
W * P P œ—
W * N N,SING,LOC,PR Ê«‘‰ê ‰
W * DELM DELM °
W * N N,PL,COM,GEN ÿ—ÕÂ«Ì
W * ADJ ADJ,SIM,GEN ¬Ì‰œÂ
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P,GEN »—«Ì
W * N N,SING,NFL,GEN ”«Œ ‰
W * N N,PL,COM,GEN  ÃÂÌ“« 
W * N N,PL,COM,GEN ÅéÊÂ‘Â«Ì
W * ADJ ADJ,SIM ›÷«ÌÌ
W * N N,SING,COM «—«∆Â
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM «Ã·«”
W * CON CON ﬂÂ
W * QUA QUA Â—
W * N N,SING,NUM œÂ
W * N N,SING,TIME ”«·
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM »«—
W * ADJ ADJ,SIM »—ê“«—
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM °
W * ADV ADV,GENR,TIME «„”«·
W * N N,SING,COM «Œ —‘‰«”Ì
W * CON CON Ê
W * N N,SING,COM,GEN ›Ì“Ìﬂ
W * ADJ ADJ,SIM ﬂÌÂ«‰Ì
W * P P œ—
W * N N,SING,TIME,GEN Â“«—Â
W * ADJ ADJ,SIM ÃœÌœ
W * N N,SING,COM ‰«„
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * P P «“
W * N N,PL,COM,GEN ÿ—ÕÂ«Ì
W * ADJ ADJ,SIM «—«∆Â ‘œÂ
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM ê—œÂ„«ÌÌ
W * V V,AUX,NIN,POS „Ì  Ê«‰
W * P P »Â
W * N N,SING,NFL,GEN ”«Œ ‰
W * N N,SING,NUM Ìﬂ
W * SPEC SPEC ‰Ê⁄
W * N N,SING,COM,GEN  ·”ﬂÊÅ
W * ADJ ADJ,SIM ›÷«ÌÌ
W * CON CON ﬂÂ
