Sub * SUBJ SUBJ !«œ»Ì« !
W * N N,SING,COM «œ»
W * N N,SING,COM ﬁ—«—
W * V V,PA,SIM,POS,3 ê—› 
W * DELM DELM .
W * N N,SING,COM ‰ê«—‰œÂ
W * CON CON ﬂÂ
W * P P  «
W * DET DET Â„Ì‰
W * N N,PL,ORD «Ê«Œ—
W * DELM DELM °
W * N N,SING,COM,GEN „œ 
W * N N,SING,NUM ç‰œ
W * N N,SING,TIME ”«·
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN «‰Ã«„
W * N N,SING,COM,GEN „√„Ê—Ì 
W * ADJ ADJ,SIM ›—Â‰êÌ
W * CON CON Ê
W * N N,SING,COM,GEN  ’œÌ
W * N N,SING,COM,GEN „—ﬂ“
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * N N,SING,COM ›«—”Ì
W * N N,SING,COM,GEN —«Ì“‰Ì
W * ADJ ADJ,SIM,GEN ›—Â‰êÌ
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM -
W * N N,SING,LOC,PR œÂ·Ì
W * ADJ ADJ,SIM ‰Ê
W * P P œ—
W * N N,SING,LOC,GEN ﬂ‘Ê—
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM «ﬁ«„ 
W * V V,PA,SIM,POS,1 œ«‘ „
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN Œœ„ 
W * N N,PL,COM,GEN «”« Ìœ
W * ADJ ADJ,SIM ›«—”Ì œ«‰
W * CON CON Ê
W * N N,PL,COM,GEN »Œ‘Â«Ì
W * ADJ ADJ,SIM,GEN ›«—”Ì
W * N N,PL,LOC,GEN œ«‰‘ê«ÂÂ«Ì
W * N N,SING,COM,GEN ”—«”—
W * N N,SING,LOC,PR Â‰œ
W * P P »Â
W * N N,SING,COM ”—
W * V V,PA,PRG,POS,1 „Ì »—œ„
W * P P «“
W * N N,SING,COM,GEN Ã„·ÂÒ
W * N N,PL,COM,AFF,1 ﬂ«—Â«Ì„
W * N N,SING,COM  ÂÌÂ
W * CON CON Ê
W * N N,SING,COM,GEN ‰‘—
W * N N,SING,COM,GEN ›’·‰«„Â
W * ADJ ADJ,SIM  ÕﬁÌﬁ« Ì
W * P P,GEN  Õ 
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN ﬁ‰œ
W * ADJ ADJ,SIM Å«—”Ì
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM,GEN Â„ﬂ«—Ì
W * N N,PL,COM „Õﬁﬁ«‰
W * CON CON Ê
W * N N,PL,COM,GEN «” «œ«‰
W * ADJ ADJ,SIM,GEN „Õ —„
W * N N,SING,COM,GEN »Œ‘
W * ADJ ADJ,SIM,GEN ›«—”Ì
W * N N,PL,LOC,GEN œ«‰‘ê«ÂÂ«Ì
W * N N,SING,LOC,PR Â‰œ
W * CON CON Ê
W * QUA QUA »—ŒÌ
W * P P «“
W * N N,PL,COM ‰ÊÌ”‰œê«‰
W * CON CON Ê
W * N N,PL,COM,GEN ÅéÊÂ‘ê—«‰
W * ADJ ADJ,SIM «Ì—«‰Ì
W * N N,SING,COM ’Ê— 
W * V V,PA,PRG,POS,3 „Ì ê—› 
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN Œ·«·
W * N N,SING,COM,GEN „√„Ê—Ì 
W * ADJ ADJ,SIM,GEN ç‰œ”«·ÂÒ
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM,GEN ÷„‰
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * ADJ ADJ,SIM »Ì‘
W * P P «“
W * N N,SING,NUM çÂ«—
W * N N,SING,COM ‘„«—Â
W * P P «“
W * N N,SING,COM,GEN ﬁ‰œ
W * ADJ ADJ,SIM Å«—”Ì
W * N N,SING,COM «‰ ‘«—
W * V V,PA,SIM,POS,3 Ì«› 
W * DELM DELM °
W * ADV ADV,GENR,TIME Â„Ê«—Â
W * N N,SING,COM ¬—“Ê
W * V V,PA,SIM,POS,1 œ«‘ „
W * P P œ—
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * DET DET «Ì‰
W * N N,PL,COM „Ã·œ« 
W * DELM DELM °
W * N N,SING,COM,GEN çÂ—ÂÒ
W * ADJ ADJ,SIM,GEN »—Ã” ÂÒ
W * ADJ ADJ,SIM «œ»Ì
W * CON CON Ê
W * N N,PL,COM,GEN ¬À«—
W * ADJ ADJ,SIM,GEN «—“‘„‰œ
W * N N,SING,SURN «” «œ
W * N N,SING,PR,GEN «Õ„œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * P P »Â
W * N N,PL,COM,GEN ‘Ì› ê«‰
W * ADJ ADJ,SIM ›«—”Ì
W * CON CON Ê
W * N N,PL,COM,GEN «œ» œÊ” «‰
W * N N,SING,LOC,PR Â‰œ
W * CON CON ﬂÂ
W * ADJ ADJ,SIM,GEN ﬁ—Ì»
W * N N,SING,NUM Â“«—
W * N N,SING,TIME ”«·
W * V V,PRE,SIM «” 
W * N N,SING,COM,GEN „‘⁄·
W * ADJ ADJ,SIM,GEN ›—Ê“«‰
W * N N,SING,COM ›—Â‰ê
W * CON CON Ê
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM ›«—”Ì
W * RA RA —«
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM,GEN ŒÿÂÒ
W * ADJ ADJ,SIM ÅÂ‰«Ê—
W * N N,SING,COM ‰Ê—«›‘«‰Ì
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM °
W * N N,SING,COM „⁄—›Ì
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * CON CON “Ì—«
W * CON CON ç‰«‰ﬂÂ
W * N N,PL,COM,GEN œ«‰‘Ê—«‰
W * ADJ ADJ,SIM «œ» ‘‰«”
W * V V,PRS,POS,6 „Ì œ«‰‰œ
W * DELM DELM °
W * N N,PL,COM,GEN Œœ„« 
W * ADJ ADJ,SIM,GEN «œ»Ì
W * N N,SING,SURN —Ê«‰‘«œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM Ìﬂ
W * ADJ ADJ,SIM,GEN „Õﬁﬁ
W * ADJ ADJ,SIM »—Ã” Â
W * CON CON Ê
W * ADJ ADJ,SIM,GEN Â‰œ‘‰«”
W * ADJ ADJ,SIM «Ì—«‰Ì
W * P P œ—
W * N N,SING,COM,GEN  «—ÌŒ
W * ADJ ADJ,SIM „⁄«’—
W * ADJ ADJ,SIM »Ì ‰ŸÌ—
W * CON CON Ê
W * ADJ ADJ,SIM „‰Õ’—»Â ›—œ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN „‰ŸÊ—
W * N N,SING,COM,GEN «‰Ã«„
W * DET DET «Ì‰
W * N N,SING,COM,GEN ŒÊ«” ÂÒ
W * ADJ ADJ,SIM ﬁ·»Ì
W * CON CON «“¬‰ Ã«ﬂÂ
W * N N,SING,COM ‰ê«—‰œÂ
W * P P »Â
W * N N,PL,COM,GEN „‰«”» Â«Ì
W * ADJ ADJ,SIM „Œ ·›
W * P P »«
W * N N,SING,SURN,GEN Ã‰«»
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,SURN Å—Ê›”Ê—
W * N N,SING,PR ‰–Ì—
W * N N,SING,PR «Õ„œ
W * CON CON ﬂÂ
W * P P «“
W * N N,PL,COM „‘«ÂÌ—
W * CON CON Ê
W * N N,PL,COM,GEN „Õﬁﬁ«‰
W * ADJ ADJ,SIM,GEN „”·„
W * N N,SING,COM «œ»
W * CON CON Ê
W * N N,SING,COM  «—ÌŒ
W * CON CON Ê
W * ADJ ADJ,SIM „ »Õ—
W * P P œ—
W * N N,SING,COM,GEN  ’ÕÌÕ
W * N N,PL,COM,GEN ¬À«—
W * N N,SING,COM ‘⁄—
W * CON CON Ê
W * N N,SING,COM,GEN ‰À—
W * ADJ ADJ,SIM ›«—”Ì
W * P P œ—
W * N N,SING,LOC,PR Â‰œ
W * P P »Â
W * N N,SING,COM ‘„«—
W * V V,PRS,POS,6 „Ì —Ê‰œ
W * DELM DELM °
W * N N,SING,COM œÌœ«—
W * V V,PA,SIM,POS,1 œ«‘ „
W * N N,SING,COM,GEN ÷„‰
W * N N,SING,COM Œ«ÿ—‰‘«‰
W * N N,SING,NFL,GEN ”«Œ ‰
W * DET DET «Ì‰
W * N N,SING,COM „Ê÷Ê⁄
W * CON CON Ê
W * ADV ADV,GENR,SIM Õ Ì
W * N N,SING,COM,GEN ÿÌ
W * N N,SING,COM,GEN œ⁄Ê 
W * ADJ ADJ,SIM «Œ ’«’Ì
W * P P «“
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * P P,GEN ÃÂ 
W * N N,SING,COM Õ÷Ê—
W * P P œ—
W * N N,SING,COM,GEN „—ﬂ“
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * ADJ ADJ,SIM ›«—”Ì
W * ADV ADV,GENR,SIM „’—«‰Â
W * N N,SING,COM ÅÌ‘‰Â«œ
W * CON CON Ê
W * N N,SING,COM ŒÊ«Â‘
W * V V,PA,SIM,POS,1 ﬂ—œ„
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ﬂ«—
W * N N,SING,COM,GEN „⁄—›Ì
W * N N,SING,SURN «” «œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * CON CON Ê
W * N N,SING,NFL,GEN ‘‰«”«‰œ‰
W * N N,PL,COM,GEN ¬À«—
W * ADJ ADJ,SIM ê—«‰ﬁœ—‘«‰
W * RA RA —«
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM €«·»«
W * ADJ ADJ,SIM „—»Êÿ
W * P P »Â
W * N N,PL,COM,GEN „›«Œ—
W * ADJ ADJ,SIM ›—Â‰êÌ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN «œ»Ì
W * N N,SING,LOC,GEN ‘»Â ﬁ«—ÂÒ
W * N N,SING,LOC,PR Â‰œ
W * V V,PRE,SIM «” 
W * P P »Â
W * N N,SING,COM ⁄ÂœÂ
W * V V,SUB,POS,6 êÌ—‰œ
W * CON CON  «
W * P P,DET »œÌ‰
W * N N,SING,COM,GEN Ê”Ì·Â
W * N N,SING,COM,GEN «› Œ«—
W * DET DET «Ì‰
W * N N,SING,COM ﬁœ—œ«‰Ì
W * CON CON Ê
W * N N,SING,COM,GEN »“—êœ«‘ 
W * N N,SING,SURN «” «œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN ÅéÊÂ‘ê—«‰
W * ADJ ADJ,SIM,GEN ‰«„œ«—
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM ’Ê— 
W * V V,SUB,POS,3 Å–Ì—œ
W * DELM DELM .
W * N N,SING,SURN,GEN Ã‰«»
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR ‰–Ì—
W * N N,SING,PR «Õ„œ
W * CON CON ﬂÂ
W * PRO PRO,R,XOD ŒÊœ
W * P P «“
W * N N,PL,TIME,GEN ”«·Ì«‰
W * ADJ ADJ,SIM œÊ—
W * P P »«
W * N N,PL,COM   »⁄« 
W * CON CON Ê
W * N N,PL,COM,GEN  √·Ì›« 
W * N N,SING,SURN «” «œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * P P œ—
W * N N,SING,COM,GEN ÕÊ“ÂÒ
W * N N,SING,COM «œ»
W * CON CON Ê
W * N N,SING,COM  «—ÌŒ
W * CON CON Ê
W * N N,SING,COM  –ﬂ—Â
W * CON CON Ê
W * N N,SING,COM  ’ÕÌÕ
W * N N,SING,COM,GEN ¬‘‰«ÌÌ
W * ADJ ADJ,SIM ﬂ«„·
W * V V,PA,SIM,POS,6 œ«‘ ‰œ
W * DELM DELM °
W * CON CON Â—ç‰œ
W * P P «“
W * DET DET Â„«‰
W * N N,SING,ORD ¬€«“
W * V V,PA,SIM,POS,6 Å–Ì—› ‰œ
W * CON CON ﬂÂ
W * DET DET «Ì‰
W * N N,SING,COM „⁄—›Ì
W * RA RA —«
W * P P »Â
W * N N,SING,COM ⁄ÂœÂ
W * V V,SUB,POS,6 êÌ—‰œ
W * DELM DELM °
W * CON CON ·ﬂ‰
W * N N,PL,COM,GEN ⁄Ê«Ìﬁ
W * ADJ ADJ,SIM ‰«ŒÊ«” Â
W * CON CON Ê
W * N N,PL,COM,GEN „‘€·Â Â«Ì
W * ADJ ADJ,SIM,GEN ›—«Ê«‰
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * N N,SING,COM „«‰⁄
W * P P «“
W * N N,SING,COM,GEN «‰Ã«„
W * DET DET «Ì‰
W * N N,SING,COM ﬂ«—
W * V V,PA,PRG,POS,3 „Ì ‘œ
W * DELM DELM °
W * P P  «
W * ADV ADV,GENR,SIM ”—«‰Ã«„
W * P P »—
W * N N,SING,COM,GEN «À—
W * N N,SING,COM  √ﬂÌœ
W * CON CON Ê
W * N N,PL,COM,GEN œ—ŒÊ«” Â«Ì
W * ADJ ADJ,SIM,GEN „ﬂ——
W * N N,SING,COM «Ì‰Ã«‰»
W * DELM DELM °
W * N N,SING,SURN Å—Ê›”Ê—
W * N N,SING,PR ‰–Ì—
W * N N,SING,PR «Õ„œ
W * P P »«
W * N N,SING,COM «Œ ’«’
W * N N,SING,NFL,GEN œ«œ‰
W * N N,SING,COM,INDF “„«‰Ì
W * P P,GEN »—«Ì
W * DET DET «Ì‰
W * N N,SING,COM,GEN «„—
W * ADJ ADJ,SIM „Â„
W * DELM DELM °
W * N N,SING,COM,INDF „ﬁ«·Â «Ì
W * P P »Â
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM «—œÊ
W * DELM DELM °
W * P P,GEN œ—»«—ÂÒ
W * N N,SING,COM,GEN »——”Ì
W * N N,PL,COM ¬À«—
W * CON CON Ê
W * N N,SING,NFL,GEN ‘‰«”«‰œ‰
W * ADJ ADJ,CMPR,GEN »Ì‘ —
W * N N,SING,SURN «” «œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * DELM DELM °
W * N N,SING,COM  œÊÌ‰
W * ADJ ADJ,INO ‰„ÊœÂ
W * CON CON Ê
W * N N,SING,SURN,GEN Ã‰«»
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,SURN œﬂ —
W * N N,SING,PR „Õ„œ
W * N N,SING,PR «”·„
W * N N,SING,SURN Œ«‰
W * N N,SING,COM,GEN «” «œ
W * ADJ ADJ,SIM,GEN Å—”«»ﬁÂÒ
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM ›«—”Ì
W * CON CON Ê
W * N N,SING,COM,GEN —∆Ì”
W * ADJ ADJ,SIM,GEN ”«»ﬁ
W * N N,SING,COM,GEN »Œ‘
W * ADJ ADJ,SIM,GEN ›«—”Ì
W * N N,SING,LOC,GEN œ«‰‘ê«Â
W * N N,SING,LOC,PR œÂ·Ì
W * CON CON ﬂÂ
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,NUM ç‰œ
W * N N,SING,TIME,GEN ”«·
W * N N,SING,COM,AFF,1 „√„Ê—Ì „
W * P P »«
W * N N,SING,COM,GEN „—ﬂ“
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * ADJ ADJ,SIM ›«—”Ì
W * N N,SING,COM,GEN Â„ﬂ«—Ì
W * ADJ ADJ,SIM ›⁄«·
W * V V,PA,SIM,POS,6 œ«‘ ‰œ
W * DELM DELM °
W * N N,SING,COM,GEN „ﬁ«·ÂÒ
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM ‰Ÿ—
W * RA RA —«
W * P P «“
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM «—œÊ
W * P P »Â
W * ADJ ADJ,SIM ›«—”Ì
W * N N,SING,COM  —Ã„Â
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN ›’·‰«„ÂÒ
W * N N,SING,COM,GEN ﬁ‰œ
W * ADJ ADJ,SIM Å«—”Ì
W * CON CON ﬂÂ
W * N N,PL,COM,GEN „—«Õ·
W * ADJ ADJ,SIM,GEN ‰Â«ÌÌ
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * V V,PRS,POS,3 „Ì ê–—«‰œ
W * N N,SING,COM œ—Ã
W * V V,PA,SIM,POS,3 ê—œÌœ
W * DELM DELM .
W * ADV ADV,GENR,TIME «Ì‰ﬂ
W * N N,SING,COM,GEN ÷„‰
W * N N,SING,COM  ‘ﬂ—
W * P P «“
W * N N,SING,COM,GEN „ƒ·›
W * ADJ ADJ,SIM «—Ã„‰œ
W * CON CON Ê
W * N N,SING,COM,GEN „ —Ã„
W * ADJ ADJ,SIM „Õ —„
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN «œ«Ì
W * N N,SING,COM ”Å«”
W * N N,SING,COM ‰”» 
W * P P »Â
W * N N,SING,COM,INDF ÅéÊÂ‘ê—Ì
W * ADJ ADJ,SIM ⁄«·Ìﬁœ—
W * N N,SING,SURN —Ê«‰‘«œ
W * N N,SING,SURN «” «œ
W * N N,SING,PR,GEN «Õ„œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * N N,SING,COM,GEN „ÿ·»
W * ADJ ADJ,SIM Õ«÷—
W * P P »Â
W * N N,SING,COM ‰ﬁ·
W * P P «“
W * N N,SING,COM,GEN ‘„«—ÂÒ
W * N N,SING,NUM,GEN 31
W * N N,SING,COM,GEN ›’·‰«„ÂÒ
W * N N,SING,COM,GEN ﬁ‰œ
W * ADJ ADJ,SIM Å«—”Ì
W * P P »Â
W * N N,SING,COM,GEN ÅÌ‘ê«Â
W * N N,SING,COM,GEN «Â·
W * N N,SING,COM «œ»
W * N N,SING,COM ÅÌ‘ﬂ‘
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * DELM DELM #
W * P P »«
W * N N,SING,COM «Õ —«„
W * DELM DELM °
W * N N,SING,SURN ”Ìœ
W * N N,SING,PR,GEN »«ﬁ—
W * N N,SING,PR «»ÿÕÌ
W * DELM DELM #
W * N N,SING,PR,GEN «Õ„œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * DELM DELM °
W * N N,SING,COM,GEN „Õﬁﬁ
W * ADJ ADJ,SIM,GEN ‰«„œ«—
W * ADJ ADJ,SIM «Ì—«‰Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ﬁ”„ 
W * ADJ ADJ,SIM,GEN ⁄„œÂÒ
W * N N,SING,COM,AFF,3 “‰œê«‰Ì «‘
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN “„Ì‰ÂÒ
W * N N,SING,COM,GEN  ÕﬁÌﬁ
W * N N,SING,COM Â‰œ‘‰«”Ì
W * V V,PA,SIM,POS,3 ê–—«‰œ
W * CON CON Ê
W * P P,GEN »œÊ‰
W * N N,SING,COM «€—«ﬁ
W * V V,AUX,NIN,POS „Ì  Ê«‰
W * V V,PA,SIM,POS,3 ê› 
W * QUA QUA ÂÌçÌﬂ
W * P P «“
W * N N,PL,COM,GEN œ«‰‘„‰œ«‰
W * ADJ ADJ,SIM ‘—ﬁÌ
W * CON CON Ê
W * ADJ ADJ,SIM €—»Ì
W * P P œ—
W * N N,SING,COM,GEN “„Ì‰ÂÒ
W * N N,SING,COM,GEN ÅéÊÂ‘
W * N N,SING,COM,GEN «œ»Ì« 
W * ADJ ADJ,SIM ›«—”Ì
W * P P œ—
W * N N,SING,LOC,PR Â‰œ
W * DELM DELM °
W * SPEC SPEC ç‰Ì‰
W * N N,PL,COM,GEN ﬂ«—Â«Ì
W * ADJ ADJ,SIM ÅéÊÂ‘Ì
W * RA RA —«
W * N N,SING,COM «‰Ã«„
W * V V,PA,NAR,POS,6 ‰œ«œÂ
W * CON CON Ê
W * P P «“
W * N N,PL,COM,AFF,3 ‘«Âﬂ«—Â«Ì‘
W * N N,SING,COM,GEN ”«Ì—
W * N N,PL,COM Â‰œÌÂ«
W * RA RA —«
W * N N,SING,COM,GEN “Ì—
W * N N,SING,COM,GEN »«—
W * N N,SING,COM,GEN „‰ 
W * PRO PRO,R,XOD ŒÊœ
W * V V,PA,NAR,NEG,6 ‰Ì«Ê—œÂ «‰œ
W * DELM DELM .
W * N N,SING,COM,GEN ‰ê«—‘ê—
W * DET DET «Ì‰
W * N N,PL,COM ”ÿÊ—
W * CON CON,DCOR ‰Â  ‰Â«
W * P P,GEN  Õ 
W * N N,SING,COM,GEN  √ÀÌ—
W * N N,PL,COM,AFF,3 ÅéÊÂ‘Â«Ì‘
W * N N,SING,COM ﬁ—«—
W * ADJ ADJ,INO ê—› Â
W * CON CON »·ﬂÂ
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * ADJ ADJ,SIM,GEN „œÌÊ‰
W * N N,PL,COM,GEN „‰ Â«Ì
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PRS,POS,1 „Ì œ«‰„
W * CON CON Ê
W * DET DET «Ì‰
W * N N,SING,COM „ﬁ«·Â
W * ADV ADV,GENR,SIM «’·«
W * N N,SING,COM,INDF ﬂÊ‘‘Ì
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN Ã»—«‰
W * N N,PL,COM,GEN «·ÿ«›
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * V V,PRS,POS,3 „Ì »«‘œ
W * DELM DELM .
W * N N,SING,COM ‰ê«—‰œÂ
W * P P »«
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * N N,SING,COM „·«ﬁ« 
W * ADJ ADJ,INO œ«‘ Â
W * V V,PRE,SIM «” 
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN ÿÊ—
W * ADJ ADJ,SIM « ›«ﬁÌ
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM,GEN Â‰ê«„
W * N N,SING,COM,GEN »—ê“«—Ì
W * N N,SING,COM,GEN ”„Ì‰«—
W * N N,SING,PR »ÌÂﬁÌ
W * N N,SING,NUM ”Â
W * N N,SING,COM ‰›—
W * CON CON Ì⁄‰Ì
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR,GEN Õ”«„ «·œÌ‰
W * N N,SING,PR —«‘œÌ
W * DELM DELM °
W * N N,SING,PR,GEN ⁄»œ«·ÕÌ
W * N N,SING,PR Õ»Ì»Ì
W * CON CON Ê
W * N N,SING,COM «Ì‰Ã«‰»
W * RA RA —«
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN ‘«„
W * N N,SING,COM œ⁄Ê 
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * V V,PRS,NEG,1 ‰„Ì œ«‰„
W * ADV ADV,I ¬Ì«
W * P P œ—
W * N N,SING,COM,GEN «‰ Œ«»
W * N N,SING,NUM ”Â
W * N N,SING,COM,GEN „Â„«‰
W * ADJ ADJ,SIM Â‰œÌ
W * DELM DELM °
W * ADJ ADJ,SIM Å«ﬂ” «‰Ì
W * CON CON Ê
W * ADJ ADJ,SIM «›€«‰Ì
W * N N,SING,COM,INDF ‰Ÿ—Ì
W * ADJ ADJ,INO œ«‘ Â
W * V V,PRE,SIM «” 
W * CON CON Ì«
W * PS PS ŒÌ—
W * DELM DELM °
W * CON CON »Â Â—Õ«·
W * DET DET «Ì‰
W * N N,SING,COM —ÊÌœ«œ
W * ADV ADV,GENR,SIM  ﬁ—Ì»«
W * ADJ ADJ,SIM „—»Êÿ
W * P P »Â
W * N N,SING,NUM çÂ·
W * N N,SING,TIME ”«·
W * ADJ ADJ,SIM ﬁ»·
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * N N,SING,COM,GEN „Õﬁﬁ
W * ADJ ADJ,SIM „⁄—Ê›
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON «„«
W * P P œ—
W * DET DET ¬‰
W * N N,SING,COM Êﬁ 
W * N N,PL,COM,GEN ÅéÊÂ‘Â«Ì
W * PRO PRO,personal,SING,3 ÊÌ
W * P P  «
W * DET DET «Ì‰
W * N N,SING,COM «‰œ«“Â
W * ADJ ADJ,SIM ê” —œÂ
