Sub * SUBJ SUBJ !Å“‘ﬂÌ!
W * ADJ ADJ,SIM „ƒÀ—
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM «„—
W * RA RA —«
W * V V,SUB,POS,6 »Ì«»‰œ
W * DELM DELM .
W * PRO PRO,INDF,SING ¬‰çÂ
W * P P œ—
W * N N,SING,COM,GEN »‘ﬁ«»
W * N N,SING,COM,GEN €–«Ì
W * N N,SING,COM ﬂÊœﬂ
W * N N,SING,COM ﬁ—«—
W * V V,PRS,POS,3 „Ì êÌ—œ
W * DELM DELM _
W * N N,SING,SURN œﬂ —
W * N N,SING,PR Å« —Ìﬂ
W * N N,SING,PR  Ê‰Ì«‰
W * DELM DELM °
W * ADJ ADJ,SIM „ Œ’’
W * N N,PL,COM,GEN «„Ê—
W * N N,SING,COM  €–ÌÂ
W * N N,SING,LOC »Ì„«—” «‰
W * N N,SING,COM  —Ê”Ê
W * P P œ—
W * N N,SING,LOC,PR Å«—Ì”
W * DELM DELM °
W * ADJ ADJ,SIM Ì«œ¬Ê—
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON ﬂÂ
W * DELM DELM °
W * IF IF «ê—
W * DET DET,I çÂ
W * N N,SING,COM,GEN ‰ﬁ‘
W * N N,PL,COM,GEN ⁄Ê«„·
W * ADJ ADJ,SIM «—ÀÌ
W * ADJ ADJ,SIM „”·„
W * V V,PA,NAR,POS,6 ‘œÂ «‰œ
W * DELM DELM °
W * N N,SING,COM,GEN ç«ﬁÌ
W * N N,SING,COM ﬂÊœﬂ
W * P P »Â
W * DET DET Â„Ì‰
W * N N,SING,COM «‰œ«“Â
W * P P »Â
W * N N,SING,COM,GEN «„—
W * N N,SING,COM  €–ÌÂ
W * N N,SING,COM »” êÌ
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * PRO PRO,personal,PL,1 „«
W * ADJ ADJ,SIM „ÿ„∆‰
W * V V,PRS,POS,4 Â” Ì„
W * CON CON ﬂÂ
W * N N,SING,COM ç«ﬁÌ
W * P P  «
W * N N,SING,COM,INDF «‰œ«“Â «Ì
W * ADJ ADJ,SIM „—»Êÿ
W * P P »Â
W * N N,SING,COM,GEN Ê—«À 
W * ADJ ADJ,SIM,GEN é‰ ÌﬂÌ
W * N N,PL,COM «›—«œ
W * P P «“
W * N N,PL,COM Ê«·œÌ‰
W * V V,PRE,SIM «” 
W * DELM DELM °
W * CON CON Ê·Ì
W * N N,SING,COM œ·Ì·
W * V V,PRS,NEG,3 ‰„Ì ‘Êœ
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,INDF çÌ“Ì
W * CON CON,COMP Ã“
W * PRO PRO,DEMO,SING «Ì‰
W * N N,SING,COM ›ﬂ—
W * V V,SUB,NEG,4 ‰ﬂ‰Ì„
W * DELM DELM .
W * N N,SING,COM  €–ÌÂ
W * CON CON ‰Ì“
W * ADJ ADJ,SIM „ƒÀ—
W * V V,PRE,SIM «” 
W * DELM DELM °
W * ADV ADV,GENR,SIM »ÊÌéÂ
W * P P «“
W * N N,PL,COM,GEN ”‰Ì‰
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM Å«ÌÌ‰
W * DELM DELM .
W * ADJ ADJ,SUP ‰Œ” Ì‰
W * N N,SING,COM ÅÌ‘êÌ—Ì
W * DELM DELM °
W * N N,SING,COM,GEN —⁄«Ì 
W * N N,SING,COM,GEN ”‰
W * N N,SING,COM,GEN  €ÌÌ—
W * ADJ ADJ,SIM,GEN €–«ÌÌ
W * N N,SING,COM ﬂÊœﬂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * ADV ADV,GENR,TIME «„—Ê“Â
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * N N,SING,COM çÂ«—„«ÂêÌ
W * CON CON Ì«
W * N N,SING,COM,GEN ‘—Ê⁄
W * N N,SING,COM Å‰Ã „«ÂêÌ
W * N N,SING,COM  À»Ì 
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * ADV ADV,GENR,SIM «·» Â
W * DELM DELM °
W * ADV ADV,GENR,SIM „ÿ„∆‰«
W * DELM DELM °
W * PRO PRO,personal,PL,1 „«
W * N N,PL,COM »“—ê —Â«
W * CON CON Ê
W * N N,PL,COM,GEN Ê«·œÌ‰
W * ADV ADV,GENR,TIME «„—Ê“
W * DELM DELM °
W * PRO PRO,INDF,SING Â„êÌ
W * N N,PL,COM,INDF ﬂÊœﬂ«‰Ì
W * V V,PA,NAR,POS,4 »ÊœÂ «Ì„
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM ﬂÊœﬂÌ
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM “Êœ
W * N N,SING,COM,GEN  €ÌÌ—
W * ADJ ADJ,SIM €–«ÌÌ
W * V V,PA,NAR,POS,4 œ«œÂ «Ì„
W * CON CON Ê
W * CON CON »«ÊÃÊœ«Ì‰
W * DELM DELM °
W * PRO PRO,INDF,SING Â„êÌ
W * ADJ ADJ,SIM ç«ﬁ
W * V V,PRS,NEG,4 ‰Ì” Ì„
W * DELM DELM .
W * P P œ—
W * N N,SING,COM Ìﬂ ”«·êÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM ﬂÊœﬂ
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM  Å·Ì
W * V V,PRE,SIM «” 
W * DELM DELM °
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * P P »Â
W * N N,SING,TIME »⁄œ
W * P P  «
W * N N,SING,COM,GEN ”‰
W * N N,SING,COM ‘‘ ”«·êÌ
W * ADJ ADJ,SIM ·«€—
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM °
W * N N,SING,TIME Å”
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM ”‰
W * DELM DELM °
W * ADV ADV,GENR,REPT „Ãœœ«
W * N N,SING,COM ‘—Ê⁄
W * P P »Â
W * N N,SING,COM,GEN «“œÌ«œ
W * N N,SING,COM Ê“‰
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON Ê
W * PRO PRO,DEMO,SING «Ì‰
W * N N,SING,COM,INDF çÌ“Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * PRO PRO,personal,PL,1 „«
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,SING,COM,GEN ÃÂ‘
W * N N,SING,COM ç«ﬁÌ
W * V V,PRS,POS,4 „Ì ‰«„Ì„
W * PRO PRO,personal,PL,2 ‘„«
W * V V,PRS,POS,5 „Ì  Ê«‰Ìœ
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * P P «“
W * N N,SING,COM,GEN —ÊÌ
W * N N,SING,COM,GEN Œÿ
W * N N,SING,COM,GEN „‰Õ‰Ì
W * N N,SING,COM,GEN ‘«Œ’
W * ADJ ADJ,SIM,GEN «‰œ«„Ì
W * PRO PRO,personal,SING,3 «Ê
W * CON CON ﬂÂ
W * P P œ—
W * N N,PL,COM,GEN œ› —çÂ Â«Ì
W * ADJ ADJ,SIM,GEN ÃœÌœ
W * ADJ ADJ,SIM,AFF,3 »Âœ«‘ Ì «‘
W * V V,PA,SIM,POS,3 Ì«› 
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM °
W * V V,SUB,POS,5 »›Â„Ìœ
W * DELM DELM .
W * P P œ—
W * N N,PL,COM,GEN ﬂÊœﬂ«‰
W * ADJ ADJ,SIM ç«ﬁ
W * DELM DELM °
W * ADV ADV,deg,SIM €«·»«
W * DET DET «Ì‰
W * N N,SING,COM ÃÂ‘
W * ADJ ADJ,CMPR “Êœ —
W * N N,SING,COM ’Ê— 
W * V V,PRS,POS,3 „Ì êÌ—œ
W * CON CON Ê
W * N N,SING,COM,GEN „Ì«‰
W * N N,PL,COM ”‰Ì‰
W * N N,SING,NUM 2
W * CON CON Ê
W * N N,SING,NUM 5
W * N N,SING,TIME ”«·
W * CON CON Ê
W * N N,SING,NUM ‰Ì„
W * DELM DELM °
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P,GEN »œÊ‰
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * ADJ ADJ,SIM ç«ﬁ
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM °
W * ADJ ADJ,SIM  Å·Ì
W * N N,SING,COM ‰‘«‰
W * V V,PRS,POS,6 „Ì œÂ‰œ
W * DELM DELM .
W * P P œ—
W * DET DET Â„Ì‰
W * N N,SING,COM “„«‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM „—«ﬁ»
W * V V,SUB,POS,4 »«‘Ì„
W * DELM DELM °
W * ADV ADV,GENR,SIM »Œ’Ê’
W * IF IF «ê—
W * N N,SING,NUM Ìﬂ
W * CON CON Ì«
W * QUA QUA Â—
W * N N,SING,NUM œÊ
W * N N,PL,COM Ê«·œÌ‰
W * ADJ ADJ,SIM ç«ﬁ
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM .
W * CON CON çÊ‰
W * N N,SING,COM ÅÌ‘
W * P P «“
W * N N,SING,COM ‘‘ ”«·êÌ
W * DELM DELM °
W * PRO PRO,personal,PL,1 „«
W * V V,PRS,POS,4 „Ì  Ê«‰Ì„
W * N N,SING,COM,GEN —ÊÌ
W * N N,SING,COM,AFF,3  €–ÌÂ «‘
W * N N,SING,COM  √ÀÌ—
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,4 »«‘Ì„
W * CON CON  «
W * N N,SING,COM —Ê‰œ
W * N N,SING,COM —Ê
W * P P »Â
W * N N,SING,COM —‘œ
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * ADJ ADJ,SIM „ Êﬁ›
W * V V,SUB,POS,4 ”«“Ì„
W * DELM DELM .
W * ADJ ADJ,SIM  œ—ÌÃÌ
W * N N,SING,NFL,GEN ŒÊ—œ‰
W * N N,PL,COM,GEN  ‰ﬁ·« 
W * N N,PL,COM,GEN ﬂÊçÊ·ÊÂ«Ì
W * ADJ ADJ,CMPR ﬂ„ —
W * P P «“
W * N N,SING,NUM œÊ
W * N N,SING,TIME ”«·
W * ADV ADV,deg,SIM ﬂ«„·«
W * ADJ ADJ,SIM Ê«»” Â
W * P P »Â
W * N N,SING,COM,GEN „ÕÌÿ
W * N N,PL,COM,AFF,6 «ÿ—«›‘«‰
W * V V,PRS,POS,6 Â” ‰œ
W * DELM DELM °
W * N N,SING,SURN œﬂ —
W * N N,SING,PR  Ê‰Ì«‰
W * V V,PRS,POS,3 „Ì «›“«Ìœ
W * ADV ADV,deg,SIM Â—çÂ
W * N N,PL,COM,AFF,6 Ê«·œÌ‰‘«‰
W * ADJ ADJ,CMPR ﬂ„ —
W * P P »Â
W * PRO PRO,personal,PL,3 ¬‰«‰
W * V V,SUB,POS,6 »ŒÊ—«‰‰œ
W * DELM DELM °
W * ADJ ADJ,CMPR ﬂ„ —
W * P P œ—
W * N N,SING,COM,GEN „⁄—÷
W * N N,SING,COM Œÿ—
W * V V,PRS,POS,6 Â” ‰œ
W * DELM DELM .
W * N N,SING,COM,GEN „—«ﬁ» 
W * ADJ ADJ,SIM €–«ÌÌ
W * ADJ ADJ,SIM,GEN ‘«„·
W * N N,PL,COM,GEN ﬂÊœﬂ«‰
W * ADJ ADJ,CMPR »“—ê —
W * CON CON Â„
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * N N,SING,COM,INDF “„«‰Ì
W * CON CON ﬂÂ
W * PRO PRO,personal,PL,3 ¬‰«‰
W * V V,PRS,POS,6 „Ì  Ê«‰‰œ
W * P P «“
W * PRO PRO,R,AFF,6 ŒÊœ‘«‰
W * N N,SING,COM Å–Ì—«ÌÌ
W * V V,SUB,POS,6 ﬂ‰‰œ
W * DELM DELM °
W * N N,SING,COM,GEN Å«ﬂ 
W * N N,SING,COM çÌÅ”
W * RA RA —«
W * V V,SUB,POS,6 »—œ«—‰œ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN Ã·ÊÌ
W * N N,SING,COM  ·ÊÌ“ÌÊ‰
W * DELM DELM °
W * N N,SING,COM,GEN Â‰ê«„
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN »«“Ì
W * ADJ ADJ,SIM ÊÌœÌÊÌÌ
W * DELM DELM °
W * V V,SUB,POS,6 »ŒÊ—‰œ
W * DELM DELM !
W * N N,SING,COM,INDF ›—ﬁÌ
W * V V,PRS,NEG,3 ‰„Ì ﬂ‰œ
W * DELM DELM °
W * DET DET,I çÂ
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM ¬»
W * N N,SING,COM ‰»« 
W * V V,SUB,POS,3 »«‘œ
W * CON CON Ì«
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM  ﬂÂ
W * N N,SING,COM ”Ê”Ì”
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN „‰“·Â
W * N N,SING,COM €–«
W * ADJ ADJ,INO »ÊœÂ
W * CON CON Ê
W * ADJ ADJ,SIM »«⁄À
W * N N,SING,COM,GEN  —‘Õ
W * N N,SING,COM,INDF ÂÊ—„Ê‰Ì
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON ﬂÂ
W * N N,SING,COM «‰”Ê·Ì‰
W * V V,PRS,POS,3 „Ì ”«“œ
W * DELM DELM .
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN ‰ﬁ‘Â«Ì
W * N N,SING,COM «‰”Ê·Ì‰
W * DELM DELM °
W * N N,SING,COM Ã·ÊêÌ—Ì
W * P P «“
W * N N,SING,COM,INDF —Ê‰œÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,NFL,GEN ”Ê“«‰œ‰
W * N N,SING,COM ç—»Ì
W * N N,SING,COM ﬂ„ﬂ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM  — Ì»
W * DELM DELM °
W * N N,SING,COM,GEN „ÊÃ»
W * N N,SING,COM  ”ÂÌ·
W * P P œ—
W * N N,SING,COM,GEN ‘ﬂ· êÌ—Ì
W * N N,SING,COM ç—»Ì
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON »‰«»—«Ì‰
W * DELM DELM °
W * N N,PL,COM ﬂÊçÊ·ÊÂ«
W * P P »«
W * N N,SING,COM  ﬂ—«—
W * P P œ—
W * N N,SING,COM,GEN „’—›
W * N N,PL,COM,GEN  ‰ﬁ·« 
W * ADJ ADJ,SIM ‘Ê—
W * CON CON Ì«
W * ADJ ADJ,SIM ‘Ì—Ì‰
W * DELM DELM °
W * ADJ ADJ,INO »” Â
W * P P »Â
W * N N,SING,COM,INDF ÿ»Ì⁄ Ì
W * CON CON ﬂÂ
W * V V,PRS,POS,6 œ«—‰œ
W * DELM DELM °
W * ADJ ADJ,SIM „„ﬂ‰
W * V V,PRE,SIM «” 
W * N N,SING,COM,GEN «“œÌ«œ
W * N N,SING,COM Ê“‰
W * ADJ ADJ,SIM ÅÌœ«
W * V V,SUB,POS,6 ﬂ‰‰œ
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM «·» Â
W * DET DET «Ì‰
W * N N,SING,COM „ÿ·»
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM ”ÂÊ· 
W * ADJ ADJ,SIM —«ÌÃ
W * ADJ ADJ,INO ‘œÂ
W * DELM DELM °
W * ADV ADV,GENR,SIM Â‰Ê“
W * P P «“
W * N N,SING,COM,GEN ‰Ÿ—
W * ADJ ADJ,SIM ⁄·„Ì
W * ADJ ADJ,SIM À«» 
W * ADJ ADJ,INO,NEG ‰‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * ADJ ADJ,SUP »Â —Ì‰
W * N N,SING,COM Ê÷⁄Ì 
W * P P,GEN »—«Ì
W * N N,SING,COM ﬂÊœﬂ
W * DELM DELM °
W * N N,SING,NFL,GEN ŒÊ—œ‰
W * N N,SING,NUM 4
W * N N,SING,CONT Ê⁄œÂ
W * N N,SING,COM €–«
W * P P œ—
W * N N,SING,TIME —Ê“
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * ADJ ADJ,ORD çÂ«—„Ì‰
W * N N,SING,COM Ê⁄œÂ
W * DELM DELM °
W * ADJ ADJ,SIM ⁄’—«‰Â
W * V V,PRE,SIM «” 
W * CON CON Ê
W * ADV ADV,GENR,SIM »ÊÌéÂ
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * DELM DELM °
W * P P œ—
W * QUA QUA Â„Â
W * N N,SING,TIME —Ê“
W * DELM DELM °
W * ADV ADV,deg,SIM  œ—ÌÃÌ
W * DELM DELM °
W * N N,PL,COM  ‰ﬁ·« 
W * V V,SUB,NEG,6 ‰ŒÊ—‰œ
W * DELM DELM .
W * N N,PL,COM,GEN „Ê«—œ
W * ADJ ADJ,SIM Œÿ—‰«ﬂ
W * DELM DELM _
W * N N,SING,SURN œﬂ —
W * N N,SING,PR Å« —Ìﬂ
W * N N,SING,PR  Ê‰Ì«‰
W * V V,PRS,POS,3 „Ì êÊÌœ
W * PRO PRO,personal,PL,1 „«
W * P P «“
W * N N,SING,COM ’Õ» 
W * N N,SING,NFL ﬂ—œ‰
W * P P œ—
W * N N,SING,COM,GEN Œ’Ê’
W * N N,SING,COM,GEN —éÌ„
W * ADJ ADJ,SIM €–«ÌÌ
W * N N,SING,COM ŒÊœœ«—Ì
W * V V,PRS,POS,4 „Ì ﬂ‰Ì„
W * DELM DELM °
W * QUA QUA,GEN «€·»
W * N N,PL,COM,INDF ﬂÊœﬂ«‰Ì
W * CON CON ﬂÂ
W * PRO PRO,personal,PL,1 „«
W * P P,GEN  Õ 
W * N N,SING,COM ‰Ÿ—
W * V V,PRS,POS,4 œ«—Ì„
W * N N,SING,COM,GEN ¬„Ê“‘
W * ADJ ADJ,SIM,GEN €–«ÌÌ
W * ADJ ADJ,SIM ’ÕÌÕ
W * V V,PA,NAR,NEG,6 ‰œÌœÂ «‰œ
W * CON CON Ê
W * P P œ—
W * N N,PL,COM,AFF,6 —› «—Â«Ì‘«‰
W * N N,SING,COM —«Â‰„«ÌÌ
W * V V,PA,NAR,NEG,6 ‰‘œÂ «‰œ
W * DELM DELM .
