Sub * SUBJ SUBJ !«Ã „«⁄Ì!
W * N N,SING,COM ﬂ «»
W * N N,SING,COM «‰Ã«„
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * ADV ADV,GENR,SIM «·» Â
W * N N,SING,COM,GEN  «—ÌŒ
W * N N,SING,COM,GEN Õ÷Ê—
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * N N,SING,MON ‘Â—ÌÊ—„«Â
W * N N,SING,COM «⁄·«„
W * ADJ ADJ,INO ‘œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON «„«
W * N N,SING,PR „«—ﬂ“
W * V V,PRS,NEG,3 ‰„Ì  Ê«‰œ
W * P P œ—
W * DET DET ¬‰
W * N N,SING,COM  «—ÌŒ
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * V V,SUB,POS,3 »Ì«Ìœ
W * CON CON Ê
W * ADV ADV,GENR,SIM «Õ „«·«
W * N N,SING,COM,GEN “„«‰
W * N N,SING,COM,GEN Ê—Êœ
W * N N,SING,PR „«—ﬂ“
W * DELM DELM °
W * N N,PL,ORD,GEN «Ê«Œ—
W * N N,SING,MON „Â—
W * CON CON Ì«
W * N N,PL,ORD,GEN «Ê«Ì·
W * N N,SING,MON ¬»«‰
W * N N,SING,TIME „«Â
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * CON CON Â„ç‰Ì‰
W * N N,SING,COM,GEN “„«‰
W * N N,SING,COM,GEN «ﬁ«„ 
W * DET DET «Ì‰
W * N N,SING,COM,GEN ‰ÊÌ”‰œÂ
W * ADJ ADJ,SIM ﬂ·„»Ì«ÌÌ
W * N N,SING,NUM 10
W * N N,SING,TIME —Ê“
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN Â„—«Â
W * N N,SING,COM Â„”—
W * CON CON Ê
W * N N,SING,NUM œÊ
W * N N,SING,COM,AFF,3 Å”—‘
W * N N,SING,COM «‰Ã«„
W * V V,PRS,POS,3 „Ì êÌ—œ
W * DELM DELM °
W * P P,GEN ÷„‰
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN Å”—
W * PRO PRO,personal,SING,3 «Ê
W * DELM DELM °
W * N N,SING,PR —Êœ—ÌêÊ
W * N N,SING,PR „«—ﬂ“
W * N N,SING,COM ﬂ«—ê—œ«‰
W * CON CON Ê
W * N N,SING,COM,GEN Ã“Ê
W * N N,SING,GR,GEN ÂÌ√ 
W * N N,PL,COM,GEN œ«Ê—«‰
W * N N,SING,COM,GEN ›” ÌÊ«·
W * N N,SING,LOC,PR ﬂ‰
W * N N,SING,NUM 2000
W * CON CON ‰Ì“
W * N N,SING,PR „«—ﬂ“
W * RA RA —«
W * N N,SING,COM Â„—«ÂÌ
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * ADJ ADJ,SIM ê› ‰Ì
W * V V,PRE,SIM «” 
W * N N,PL,ORD,GEN «Ê«Ì·
W * N N,SING,MON,GEN Œ—œ«œ„«Â
W * ADV ADV,GENR,TIME «„”«·
W * CON CON ﬂÂ
W * N N,SING,PR Å«∆Ê·Ê
W * N N,SING,PR ﬂÊ∆·ÌÊ
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * QUA QUA »”Ì«—Ì
W * P P «“
W * N N,SING,GR „—œ„
W * CON CON ﬂÂ
W * ADJ ADJ,INO,NEG ‰ Ê«‰” Â
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * P P œ—
W * N N,PL,COM „—«”„
W * DELM DELM °
W * N N,PL,COM ”„Ì‰«—Â«
W * CON CON Ê
W * N N,SING,COM,GEN ”Œ‰—«‰Ì
W * PRO PRO,personal,SING,3 «Ê
W * N N,SING,COM ‘—ﬂ 
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,6 »«‘‰œ
W * ADJ ADJ,SIM ê·Â „‰œ
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * P P »Â
W * DET DET Â„Ì‰
W * N N,SING,COM œ·Ì·
W * N N,SING,COM,GEN œ› —
W * ADJ ADJ,SIM,GEN „—ﬂ“Ì
W * N N,SING,LOC,GEN ‘Â—
W * N N,SING,COM ﬂ «»
W * N N,PL,COM,INDF Â„ﬂ«—ÌÂ«ÌÌ
W * RA RA —«
W * ADJ ADJ,SIM „»‰Ì
W * P P »—
W * N N,SING,COM,GEN œÌœ«—
W * N N,SING,PR „«—ﬂ“
W * P P »«
W * N N,SING,GR,GEN „—œ„
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM  — Ì»
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM .
W * P P œ—
W * DET DET Â„Ì‰
W * N N,SING,COM Œ’Ê’
W * N N,SING,COM,GEN „œÌ—
W * N N,PL,COM,GEN «‰ ‘«—« 
W * N N,SING,PR ‘Ì—Ì‰
W * N N,SING,NUM ”Â
W * N N,SING,COM „—Õ·Â
W * RA RA —«
W * P P œ—
W * N N,PL,COM,GEN »—‰«„Â Â«Ì
W * N N,SING,COM,GEN “„«‰
W * N N,SING,COM,GEN «ﬁ«„ 
W * N N,SING,PR „«—ﬂ“
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PA,SIM,POS,3 »—‘„—œ
W * DELM DELM :
W * N N,SING,NUM 1
W * DELM DELM ‹
W * N N,PL,COM,GEN œÌœ«—Â«Ì
W * ADJ ADJ,SIM «œ»Ì
W * P P »«
W * N N,SING,COM,GEN Õ÷Ê—
W * N N,PL,COM,GEN ‰ÊÌ”‰œê«‰
W * ADJ ADJ,SIM,GEN »“—ê
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,NUM 2
W * DELM DELM ‹
W * N N,SING,COM,GEN œÌœ«—
W * ADJ ADJ,SIM ”Ì‰„«ÌÌ
W * P P »«
W * N N,SING,COM,GEN Õ÷Ê—
W * N N,PL,COM ﬂ«—ê—œ«‰«‰
W * CON CON Ê
W * N N,PL,COM,GEN ”Ì‰„«ê—«‰
W * ADJ ADJ,SIM,GEN »—Ã” Â
W * ADJ ADJ,SIM «Ì—«‰Ì
W * P P »Â
W * N N,SING,COM,GEN Â„—«Â
W * N N,SING,COM,GEN «ﬂ—«‰
W * N N,PL,COM,GEN ›Ì·„Â«Ì
W * N N,SING,COM «ﬁ »«”
W * MORP MORP,MADJ ‘œÂ
W * P P «“
W * N N,PL,COM,GEN ¬À«—
W * N N,SING,PR „«—ﬂ“
W * N N,SING,NUM 3
W * DELM DELM ‹
W * N N,SING,COM œÌœ«—
W * P P »«
W * N N,SING,GR „—œ„
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM «Õ „«·«
W * P P œ—
W * N N,SING,COM,GEN ”«·‰
W * N N,SING,NUM 21
W * ADJ ADJ,SIM,GEN Â“«—‰›—Ì
W * N N,SING,COM ¬“«œÌ
W * N N,SING,COM «‰Ã«„
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ê—› 
W * DELM DELM .
W * CON CON Â„ç‰Ì‰
W * ADJ ADJ,SIM Â„“„«‰
W * P P »«
W * N N,SING,COM,GEN Ê—Êœ
W * N N,SING,PR ê«»—Ì·
W * N N,SING,PR ê«—”Ì«
W * N N,SING,PR „«—ﬂ“
W * DELM DELM °
W * N N,SING,NUM œÊ
W * N N,SING,COM ﬂ «»
W * P P »«
W * N N,PL,COM,GEN ⁄‰«ÊÌ‰
W * N N,SING,LOC,GEN ﬂ«—ê«Â
W * N N,SING,COM ”‰«—ÌÊ‰ÊÌ”Ì
W * CON CON Ê
W * N N,PL,COM,GEN Œ«ÿ—« 
W * ADJ ADJ,SIM «œ»Ì
W * P P »Â
W * N N,SING,COM,GEN  —Ã„Â
W * N N,SING,SURN „Â‰œ”
W * N N,SING,PR „Õ„œ—÷«
W * N N,SING,PR —«Â Ê—
W * CON CON ﬂÂ
W * N N,SING,COM,GEN «— »«ÿ
W * ADV ADV,deg,SIM »”Ì«—
W * N N,SING,COM ‰“œÌﬂÌ
W * CON CON Â„
W * P P »«
W * DET DET «Ì‰
W * N N,SING,COM ‰ÊÌ”‰œÂ
W * V V,PRS,POS,3 œ«—œ
W * P P,GEN  Ê”ÿ
W * N N,PL,COM,GEN «‰ ‘«—« 
W * N N,SING,PR ‘Ì—Ì‰
W * ADJ ADJ,SIM „‰ ‘—
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * P P «“
W * N N,PL,COM,GEN ¬À«—
W * N N,SING,PR „«—ﬂ“
W * N N,PL,COM,INDF ›Ì·„Â«ÌÌ
W * ADV ADV,GENR,EXM çÊ‰
W * N N,SING,NUM ’œ
W * N N,SING,TIME ”«·
W * N N,SING,COM  ‰Â«ÌÌ
W * DELM DELM °
W * N N,SING,COM,GEN ”—ê–‘ 
W * N N,SING,PR,GEN «Ì‰œ—«Ì
W * ADJ ADJ,SIM »Ìç«—Â
W * CON CON Ê
W * N N,SING,COM,GEN „«œ—»“—ê
W * ADJ ADJ,SIM,AFF,3 ”‰êœ·‘
W * DELM DELM °
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,LOC ‘Â—
W * QUA QUA ÂÌç
W * N N,SING,COM,INDF œ“œÌ
W * V V,PRS,NEG,3 ‰Ì” 
W * DELM DELM °
W * N N,SING,COM,GEN ‘—Õ
W * N N,PL,COM,GEN Êﬁ«Ì⁄
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ﬁ ·
W * ADJ ADJ,SIM ”«Œ Â
W * MORP MORP,MADJ ‘œÂ
W * DELM DELM °
W * V V,PRS,POS,6 „Ì »«‘‰œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ÿ»ﬁ
W * N N,SING,COM,GEN ê› Â
W * N N,SING,PR ›—“«œ
W * DET DET «Ì‰
W * N N,PL,COM ›Ì·„Â«
W * N N,SING,COM ﬁ—«—
W * V V,PRE,SIM «” 
W * P P œ—
W * N N,SING,COM,GEN “„«‰
W * N N,SING,COM,GEN «ﬁ«„ 
W * N N,SING,PR „«—ﬂ“
W * CON CON Ê
W * P P »«
W * N N,SING,COM,GEN «Ã«“Â
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,COM «—‘«œ
W * N N,SING,COM «ﬂ—«‰
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * ADJ ADJ,SIM ·«“„
W * P P »Â
W * N N,SING,COM  Ê÷ÌÕ
W * V V,PRE,SIM «” 
W * N N,SING,PR „«—ﬂ“
W * P P œ—
W * N N,SING,COM,GEN Õ«·
W * ADJ ADJ,SIM Õ«÷—
W * ADJ ADJ,SIM »Ì„«—
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM œ·«Ì·
W * P P »Â
W * N N,SING,COM  ⁄ÊÌﬁ
W * N N,SING,NFL,GEN «› «œ‰
W * N N,SING,COM,AFF,3 ”›—‘
W * P P »Â
W * N N,SING,COM,GEN Œ«ÿ—
W * DET DET Â„Ì‰
W * N N,SING,COM „”∆·Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,PL,COM,INDF ﬂ «»Â«ÌÌ
W * CON CON ﬂÂ
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM,GEN ‰ÊÌ”‰œÂ
W * ADJ ADJ,SIM ﬂ·„»Ì«ÌÌ
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM  —Ã„Â
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * V V,PRE,NC,6 ⁄»«— ‰œ
W * P P «“
W * DELM DELM :
W * N N,SING,NUM ’œ
W * N N,SING,TIME ”«·
W * N N,SING,COM  ‰Â«ÌÌ
W * DELM DELM °
W * N N,SING,COM,GEN ê“«—‘
W * N N,SING,COM „—ê
W * DELM DELM °
W * N N,SING,COM,INDF é‰—«·Ì
W * P P œ—
W * N N,SING,NUM Â“«—
W * P P,GEN  ÊÌ
W * PRO PRO,R,XOD ŒÊœ
W * DELM DELM °
W * N N,SING,COM,INDF ﬂ”Ì
W * P P »Â
W * N N,SING,COM ”—Â‰ê
W * N N,SING,COM ‰«„Â
W * V V,PRS,NEG,3 ‰„Ì ‰ÊÌ”œ
W * DELM DELM °
W * N N,SING,COM,GEN ⁄‘ﬁ
W * N N,PL,TIME,GEN ”«·Â«Ì
W * N N,SING,COM Ê»«
W * DELM DELM °
W * N N,PL,COM,GEN ‘Œ’Ì Â«Ì
W * ADJ ADJ,SIM ê„‘œÂ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN «œ«„Â
W * N N,SING,NUM ’œ
W * N N,SING,TIME ”«·
W * N N,SING,COM  ‰Â«ÌÌ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,COM,INDF “‰Ì
W * CON CON ﬂÂ
W * QUA QUA Â—
W * N N,SING,TIME —Ê“
W * N N,SING,COM,GEN —√”
W * N N,SING,TIME,GEN ”«⁄ 
W * N N,SING,NUM,GEN 6
W * N N,SING,TIME ’»Õ
W * V V,PA,PRG,POS,3 „Ì ¬„œ
W * DELM DELM .
Sub * SUBJ SUBJ !”Ì‰„«!
W * DELM DELM #
W * N N,SING,COM,GEN Ã‘‰Ê«—Â
W * N N,SING,COM,GEN ›Ì·„
W * N N,SING,COM ÕﬁÌﬁ 
W * P P œ—
W * N N,SING,LOC,PR Ì“œ
W * DELM DELM #
W * ADJ ADJ,SUP ‰Œ” Ì‰
W * N N,SING,COM,GEN Ã‘‰Ê«—Â
W * N N,SING,COM,GEN ›Ì·„
W * N N,SING,COM ÕﬁÌﬁ 
W * P P »«
W * N N,SING,COM,GEN „Ê÷Ê⁄
W * N N,PL,COM,GEN ›Ì·„Â«Ì
W * ADJ ADJ,SIM œÌ‰Ì
W * P P »«
W * N N,SING,COM,GEN ‘—ﬂ 
W * N N,SING,NUM 75
W * N N,SING,COM,GEN ›Ì·„
W * ADJ ADJ,SIM,GEN »·‰œ
W * ADJ ADJ,SIM ”Ì‰„«ÌÌ
W * CON CON Ê
W * N N,SING,NUM 23
W * N N,SING,COM,GEN ›Ì·„
W * ADJ ADJ,SIM ﬂÊ «Â
W * N N,SING,TIME,GEN ⁄’—
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ”Â ‘‰»Â
W * P P »«
W * N N,SING,COM,GEN Õ÷Ê—
W * QUA QUA  ⁄œ«œÌ
W * P P «“
W * N N,PL,COM »«“Ìê—«‰
W * P P »Â
W * N N,SING,COM,GEN ‰«„
W * N N,SING,COM,GEN ”Ì‰„«Ì
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * N N,SING,LOC,PR Ì“œ
W * N N,SING,COM ê‘«Ì‘
W * V V,PA,SIM,POS,3 Ì«› 
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM Ã‘‰Ê«—Â
W * P P «“
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY çÂ«—‘‰»Â
W * P P »Â
W * N N,SING,COM,GEN „œ 
W * N N,SING,NUM çÂ«—
W * N N,SING,TIME —Ê“
W * P P œ—
W * N N,PL,COM,GEN »Œ‘Â«Ì
W * ADJ ADJ,SIM,GEN «’·Ì
W * CON CON Ê
W * ADJ ADJ,SIM Ã‰»Ì
W * ADJ ADJ,SIM »—ê“«—
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN »Œ‘
W * ADJ ADJ,SIM,GEN «’·Ì
W * N N,SING,COM Ã‘‰Ê«—Â
W * P P »«
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN ç‘„
W * N N,SING,COM ÕﬁÌﬁ 
W * DELM DELM °
W * N N,SING,COM œÌ‰
W * DELM DELM °
W * N N,SING,COM «Œ·«ﬁ
W * CON CON Ê
W * N N,SING,GR Œ«‰Ê«œÂ
W * P P «“
W * N N,SING,COM,GEN „Ì«‰
W * N N,SING,NUM 75
W * N N,SING,COM,GEN «À—
W * ADJ ADJ,SIM,GEN »·‰œ
W * ADJ ADJ,SIM,GEN ”Ì‰„«ÌÌ
W * N N,SING,COM  Ê·Ìœ
W * MORP MORP,MADJ ‘œÂ
W * P P œ—
W * N N,SING,TIME,GEN œÂÂ
W * N N,SING,NUM,GEN 70
W * N N,SING,COM,GEN ”Ì‰„«Ì
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM °
W * N N,SING,NUM 81
W * N N,SING,COM,GEN ›Ì·„
W * ADJ ADJ,SIM ”Ì‰„«ÌÌ
W * P P »Â
W * N N,SING,COM ‰„«Ì‘
W * V V,PRS,POS,6 œ—„Ì ¬Ì‰œ
W * DELM DELM .
W * N N,PL,COM,GEN »Œ‘Â«Ì
W * ADJ ADJ,SIM,GEN œÌê—
W * N N,SING,COM,GEN Ã‘‰Ê«—Â
W * N N,SING,COM,GEN ›Ì·„
W * N N,SING,COM ÕﬁÌﬁ 
W * DELM DELM °
W * ADJ ADJ,SIM,GEN ‘«„·
W * N N,SING,COM ﬂÊœﬂ
W * CON CON Ê
W * N N,SING,COM ‰ÊÃÊ«‰
W * CON CON Ê
W * N N,SING,COM,GEN «Œ·«ﬁ
W * ADJ ADJ,SIM œÌ‰Ì
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN Ã” ÃÊÌ
W * N N,SING,COM ÕﬁÌﬁ 
W * DELM DELM °
W * N N,SING,COM,GEN ”Ì‰„«Ì
W * N N,SING,COM,GEN  «—ÌŒ
W * ADJ ADJ,SIM œÌ‰Ì
W * DELM DELM °
W * N N,SING,COM,GEN œ›«⁄
W * ADJ ADJ,SIM „ﬁœ”
W * CON CON Ê
W * N N,SING,GR Œ«‰Ê«œÂ
W * DELM DELM °
W * N N,SING,COM,GEN —Â ¬Ê—œ
W * N N,SING,LOC,PR ¬»«œ«‰
W * CON CON Ê
W * P P »«
W * N N,PL,COM,GEN ›Ì·„”«“«‰
W * ADJ ADJ,SIM ÃÊ«‰
W * DELM DELM °
W * N N,SING,LOC «” «‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * QUA QUA Â—
W * N N,SING,NUM Ìﬂ
W * P P «“
W * DET DET «Ì‰
W * N N,PL,COM »Œ‘Â«
W * N N,PL,COM,GEN ›Ì·„Â«Ì
W * ADJ ADJ,SIM œÌ‰Ì
W * P P »«
W * N N,SING,COM,GEN „Ê÷Ê⁄
W * N N,SING,COM «⁄·«„
W * MORP MORP,MADJ ‘œÂ
W * N N,SING,COM ‰„«Ì‘
W * ADJ ADJ,INO œ«œÂ
W * V V,PRS,POS,6 „Ì ‘Ê‰œ
W * DELM DELM .
W * N N,SING,COM,GEN „⁄«Ê‰
W * ADJ ADJ,SIM,GEN ”Ì‰„«ÌÌ
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,COM ›—Â‰ê
W * CON CON Ê
W * N N,SING,COM,GEN «—‘«œ
W * ADJ ADJ,SIM «”·«„Ì
W * P P œ—
W * N N,PL,COM,GEN „—«”„
W * N N,SING,COM,GEN ê‘«Ì‘
W * DET DET «Ì‰
W * N N,SING,COM Ã‘‰Ê«—Â
W * P P »«
W * N N,SING,COM,GEN «»—«“
W * N N,SING,COM Œ—”‰œÌ
W * P P «“
W * N N,SING,COM,GEN »—ê“«—Ì
W * N N,SING,COM,GEN Ã‘‰Ê«—Â
W * ADJ ADJ,SIM „–ﬂÊ—
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,LOC «” «‰
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P œ—
W * N N,SING,COM,GEN »Œ‘
W * N N,SING,COM,GEN ”Ì‰„«Ì
W * ADJ ADJ,SIM œÌ‰Ì
W * ADV ADV,GENR,SIM Â‰Ê“
W * P P œ—
W * N N,SING,ORD,GEN ¬€«“
W * N N,SING,COM —«Â
W * V V,PRS,POS,4 Â” Ì„
W * DELM DELM .
W * N N,SING,PR ”Ì› «··Â
W * N N,SING,PR œ«œ
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,COM,GEN Ã«„⁄Â
W * PRO PRO,personal,PL,1 „«
W * ADV ADV,GENR,TIME «„—Ê“
W * P P «“
W * N N,SING,COM,GEN ‰Ÿ—
W * N N,SING,COM ”Ì‰„«
W * ADJ ADJ,SIM  ‰Â«
W * P P »Â
W * N N,SING,COM ”—ê—„Ì
W * N N,SING,COM ‰Ì«“
W * V V,PRS,NEG,3 ‰œ«—œ
W * ADV ADV,I ç—«
W * CON CON ﬂÂ
W * N N,PL,COM,GEN »——”ÌÂ«Ì
W * N N,SING,COM,GEN Ã‘‰Ê«—Â
W * N N,SING,COM,GEN ›Ì·„
W * N N,SING,PR ›Ã—
W * CON CON Ê
W * N N,SING,COM,GEN Ã‘‰Ê«—Â
W * N N,PL,COM,GEN ›Ì·„Â«Ì
W * ADJ ADJ,SIM „Ê÷Ê⁄Ì
W * N N,SING,COM ‰‘«‰
W * ADJ ADJ,INO œ«œÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,NUM 44
W * N N,SING,COM,GEN œ—’œ
W * N N,SING,GR,GEN „—œ„
W * PRO PRO,personal,PL,1 „«
W * P P »Â
W * N N,SING,COM,GEN ”Ì‰„«Ì
W * ADJ ADJ,SIM  ›ﬂ—¬„Ì“
W * N N,SING,COM ⁄·«ﬁÂ
W * N N,SING,COM ‰‘«‰
W * V V,PRS,POS,6 „Ì œÂ‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM,GEN  ÊÃÂ
W * N N,SING,COM ”Ì‰„«
W * P P »Â
W * N N,PL,COM,GEN „Ê÷Ê⁄« 
W * ADJ ADJ,SIM,GEN êÊ‰«êÊ‰
W * ADJ ADJ,SIM «Ã „«⁄Ì
W * RA RA —«
W * P P «“
W * N N,PL,COM,GEN œ”  ¬Ê—œÂ«Ì
W * N N,SING,ORD,GEN œÊ„
W * N N,SING,MON Œ—œ«œ
W * V V,PA,SIM,POS,3 »—‘„—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,COM ”Ì‰„«
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM “„«‰
W * P P »Â
W * N N,SING,TIME »⁄œ
W * N N,SING,COM,GEN ¬“«œÌ
W * ADJ ADJ,CMPR,INDF »Ì‘ —Ì
W * ADJ ADJ,SIM ÅÌœ«
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * P P »Â
W * N N,PL,COM,GEN „Ê÷Ê⁄« 
W * ADJ ADJ,SIM êÊ‰«êÊ‰
W * N N,SING,COM Å—œ«Œ 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P œ—
W * N N,SING,NUM œÊ
W * N N,SING,TIME,GEN „«ÂÂ
W * ADJ ADJ,ORD,GEN «Ê·
W * ADV ADV,GENR,TIME «„”«·
W * N N,SING,COM ‰”» 
W * P P »Â
W * N N,SING,COM,GEN „œ 
W * ADJ ADJ,SIM,GEN „‘«»Â
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,SIM ﬁ»·
W * DELM DELM °
W * N N,PL,COM,GEN ”Ì‰„«Â«Ì
W * N N,SING,LOC,PR  Â—«‰
W * P P »«
W * N N,SING,COM,GEN «›“«Ì‘
W * N N,SING,NUM 55
W * MORP MORP,MADJ,GEN œ—’œÌ
W * N N,SING,COM  „«‘«ê—
W * ADJ ADJ,SIM „Ê«ÃÂ
W * V V,PA,NAR,POS,6 »ÊœÂ «‰œ
W * CON CON Ê
W * PRO PRO,DEMO,SING «Ì‰
W * N N,SING,COM ‰‘«‰
W * P P «“
W * N N,SING,COM,GEN «” ﬁ»«·
W * ADJ ADJ,CMPR,GEN »Ì‘ —
W * N N,SING,GR „—œ„
W * P P «“
W * N N,SING,COM,GEN ”Ì‰„«Ì
W * V V,PRE,PROC,3 „«” 
W * DELM DELM .
W * N N,SING,PR œ«œ
W * N N,SING,COM  √ﬂÌœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * ADV ADV,deg,SIM Â—çﬁœ—
W * N N,SING,COM,GEN ”Ì‰„«Ì
W * PRO PRO,personal,PL,1 „«
