Sub * SUBJ SUBJ !œ«” «‰!
W * N N,SING,TIME,INDF —Ê“Ì
W * CON CON Ê
W * V V,PA,SIM,POS,3 »—œ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * QUA QUA Â—
W * N N,SING,COM,INDF ﬂ«—Ì
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON  «
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * RA RA —«
W * P P «“
W * N N,SING,LOC ¬‰Ã«
W * N N,SING,COM ‰Ã« 
W * V V,SUB,POS,3 »œÂœ
W * DELM DELM °
W * V V,PA,SIM,NEG,3 ‰‘œ
W * CON CON ﬂÂ
W * V V,PA,SIM,NEG,3 ‰‘œ
W * DELM DELM .
W * ADV ADV,deg,SIM ¬‰ﬁœ—
W * ADV ADV,GENR,LOC »«·«
W * CON CON Ê
W * ADV ADV,GENR,LOC Å«ÌÌ‰
W * V V,PA,SIM,POS,3 Å—Ìœ
W * CON CON Ê
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * RA RA —«
W * P P »Â
W * N N,PL,COM Œ«ﬂÂ«
W * V V,PA,SIM,POS,3 “œ
W * CON CON ﬂÂ
W * ADJ ADJ,SIM Œ” Â
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * P P «“
W * N N,SING,COM ‰›”
W * V V,PA,SIM,POS,3 «› «œ
W * DELM DELM .
W * CON CON Â„«‰ ÿÊ—ﬂÂ
W * N N,SING,COM Œ” êÌ
W * V V,PA,PRG,POS,3 œ—„Ì ﬂ—œ
W * DELM DELM °
W * N N,SING,COM,GEN ﬂ—„
W * ADJ ADJ,SIM Œ«ﬂÌ
W * RA RA —«
W * V V,PA,SIM,POS,3 œÌœ
W * DELM DELM .
W * N N,SING,COM,GEN ﬂ—„
W * ADJ ADJ,SIM Œ«ﬂÌ
W * ADV ADV,GENR,SIM ¬—«„
W * P P «“
W * N N,SING,COM,AFF,3 ﬂ‰«—‘
W * V V,PA,SIM,POS,3 ê–‘ 
W * CON CON Ê
W * N N,SING,LOC,GEN  Ê‰·
W * ADJ ADJ,SIM,INDF »«—ÌﬂÌ
W * P P œ—
W * N N,SING,COM,GEN „Ì«‰
W * N N,PL,COM Œ«ﬂÂ«
W * ADJ ADJ,SIM œ—” 
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM .
W * V V,PA,SIM,POS,3 —› 
W * CON CON ﬂÂ
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM .
W * N N,SING,COM ’œ«
W * ADJ ADJ,SIM ŒÊ‘Õ«·
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * ADV ADV,GENR,SIM Õ Ì
W * P P «“
W * N N,SING,COM ŒÊ‘Õ«·Ì
W * P P »Â
W * N N,SING,COM ÂÊ«
W * V V,PA,SIM,POS,3 Å—Ìœ
W * DELM DELM .
W * CON CON »⁄œ
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * RA RA —«
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,COM,GEN ﬂ—„
W * ADJ ADJ,SIM Œ«ﬂÌ
W * ADJ ADJ,SIM œ—«“
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * P P «“
W * N N,SING,COM,GEN „Ì«‰
W * N N,SING,LOC,GEN  Ê‰·
W * ADJ ADJ,SIM »«—Ìﬂ
W * V V,PA,SIM,POS,3 ê–‘ 
W * DELM DELM .
W * ADV ADV,GENR,SIM ﬂ„Ì
W * CON CON ﬂÂ
W * V V,PA,SIM,POS,3 —› 
W * P P »Â
W * N N,SING,NUM Ìﬂ
W * N N,SING,LOC,GEN œ«·«‰
W * ADJ ADJ,SIM »“—ê
W * CON CON Ê
W * ADJ ADJ,SIM ÅÌç œ—ÅÌç
W * V V,PA,SIM,POS,3 —”Ìœ
W * DELM DELM .
W * P P «“
W * N N,SING,NUM ç‰œ
W * N N,SING,LOC œ«·«‰
W * CON CON ﬂÂ
W * V V,PA,SIM,POS,3 ê–‘ 
W * P P «“
W * N N,SING,COM,GEN ·«‰ÂÒ
W * N N,SING,COM,GEN „Ê‘
W * ADJ ADJ,SIM ﬂÊ—
W * V V,PA,SIM,POS,3 ”—œ—¬Ê—œ
W * DELM DELM .
W * N N,SING,COM,GEN „Ê‘
W * ADJ ADJ,SIM ﬂÊ—
W * P P œ—
W * N N,SING,LOC,AFF,3 ·«‰Â «‘
W * N N,SING,COM ŒÊ«»
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM »⁄ »⁄
W * DELM DELM °
W * N N,SING,COM ﬂ„ﬂ
W * DELM DELM .
W * N N,SING,COM,GEN „Ê‘
W * ADJ ADJ,SIM ﬂÊ—
W * CON CON Êﬁ Ì
W * N N,SING,COM ’œ«
W * RA RA —«
W * V V,PA,SIM,POS,3 ‘‰Ìœ
W * P P «“
W * N N,SING,COM ŒÊ«»
W * V V,PA,SIM,POS,3 Å—Ìœ
W * DELM DELM °
W * N N,SING,NUM ç‰œ
W * N N,SING,CONT  «
W * N N,SING,COM Œ„Ì«“Â
W * V V,PA,SIM,POS,3 ﬂ‘Ìœ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET ⁄Ã»
W * N N,SING,COM,GEN »“€«·ÂÒ
W * ADJ ADJ,SIM,INDF „“«Õ„Ì
W * DELM DELM !
W * ADV ADV,GENR,SIM ‰«êÂ«‰
W * P P »«
W * N N,SING,COM  ⁄Ã»
W * P P «“
W * N N,SING,COM Ã«
W * V V,PA,SIM,POS,3 Å—Ìœ
W * CON CON Ê
W * CON CON çÊ‰
W * ADV ADV,deg,SIM ﬂ„Ì
W * ADV ADV,GENR,SIM “Ì«œÌ
W * P P «“
W * N N,SING,COM Ã«
W * ADJ ADJ,INO Å—ÌœÂ
W * V V,PA,SIM,POS,3 »Êœ
W * N N,SING,COM,AFF,3 ”—‘
W * ADV ADV,GENR,SIM „Õﬂ„
W * P P »Â
W * N N,SING,COM,GEN ”ﬁ›
W * N N,SING,LOC,AFF,3 ·«‰Â «‘
W * V V,PA,SIM,POS,3 ŒÊ—œ
W * CON CON Ê
W * N N,SING,COM ÃÌ€
W * CON CON Ê
W * N N,SING,COM,AFF,3 œ«œ‘
W * P P »Â
W * N N,SING,COM ÂÊ«
W * ADJ ADJ,SIM »·‰œ
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * P P »«
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * CON CON Ì⁄‰Ì
W * ADV ADV,I çÌ
W * DELM DELM ø
W * DELM DELM !
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM »“€«·Â
W * P P œ—
W * N N,SING,LOC “Ì—“„Ì‰
W * N N,SING,COM ﬂ„ﬂ
W * V V,PRS,POS,3 „Ì ŒÊ«Âœ
W * DELM DELM !
W * P P »«
W * N N,SING,COM ⁄Ã·Â
W * P P »Â
W * N N,SING,COM,GEN ÿ—›
W * N N,SING,COM ’œ«
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM .
W * ADV ADV,GENR,SIM ﬂ„Ì
W * N N,SING,COM »Ê
W * V V,PA,SIM,POS,3 ﬂ‘Ìœ
W * CON CON Ê
W * V V,PA,SIM,POS,3 Å—”Ìœ
W * DELM DELM :
W * PRO PRO,personal,SING,2  Ê
W * ADV ADV,GENR,SIM œÌê—
W * ADV ADV,I ﬂÌ
W * V V,PRS,POS,2 Â” Ì
W * DELM DELM ø
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM ⁄ÃÌ»
W * V V,PRE,SIM «” 
W * DELM DELM !
W * ADV ADV,I ç—«
W * N N,SING,COM,INDF »ÊÌÌ
W * V V,PRS,NEG,2 ‰œ«—Ì
W * DELM DELM ø
W * N N,SING,COM ’œ«
W * ADV ADV,GENR,SIM Œ‘ ÊŒ‘ ﬂ‰«‰
W * N N,SING,COM ÃÊ«»
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM :
W * PRO PRO,personal,SING,1 „‰
W * N N,SING,COM,GEN ’œ«Ì
W * V V,PRE,NC,1 »“€«·Â «„
W * DELM DELM .
W * N N,SING,COM ê—ê
W * PRO PRO,INO,SING,1 „—«
W * ADJ ADJ,SIM “‰œ«‰Ì
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM ﬂ„ﬂ
W * V V,IMP,POS,2 ﬂ‰
W * P P «“
W * N N,SING,LOC «Ì‰Ã«
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,SUB,POS,1 »—Ê„
W * DELM DELM .
W * N N,SING,COM »“€«·Â
W * P P œ—
W * N N,SING,COM Œÿ—
W * V V,PRE,SIM «” 
W * DELM DELM .
W * ADV ADV,GENR,TIME «·«‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM ê—ê
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * V V,SUB,POS,3 »ŒÊ—œ
W * DELM DELM .
W * N N,SING,COM,GEN „Ê‘
W * ADJ ADJ,SIM ﬂÊ—
W * N N,SING,COM ’œ«
W * RA RA —«
W * V V,PA,SIM,POS,3 »—œ«‘ 
W * CON CON Ê
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * ADV ADV,GENR,SIM »Â  ‰œÌ
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,SUB,POS,3 »—œ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * ADV ADV,GENR,REPT œÊ»«—Â
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ê·Ê·Â
W * N N,SING,COM  ÊÅ
W * ADJ ADJ,SIM ê—œ
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * ADV ADV,GENR,SIM »«”—⁄ 
W * P P »Â
W * N N,SING,COM,GEN ÿ—›
W * N N,SING,GR ê·Â
W * N N,SING,COM ﬁ·
W * V V,PA,SIM,POS,3 ŒÊ—œ
W * DELM DELM .
W * CON CON «„«
W * P P œ—
W * N N,SING,COM,GEN »Ì‰
W * N N,SING,COM —«Â
W * N N,SING,COM,INDF œ—Œ Ì
W * RA RA —«
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,AFF,3 Ã·ÊÌ‘
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * V V,PA,SIM,NEG,3 ‰œÌœ
W * CON CON Ê
W * ADV ADV,GENR,SIM „Õﬂ„
W * P P »Â
W * N N,SING,COM œ—Œ 
W * V V,PA,SIM,POS,3 ŒÊ—œ
W * CON CON Ê
W * P P,GEN —ÊÌ
W * N N,SING,LOC “„Ì‰
W * ADJ ADJ,SIM Ê·Ê
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * N N,SING,COM œ—Œ 
W * P P,GEN —ÊÌ
W * N N,SING,NUM Ìﬂ
W * N N,SING,LOC  ÅÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * P P,GEN Å«ÌÌ‰
W * PRO PRO,DEMO,SING ¬‰
W * CON CON Â„
W * N N,SING,NUM Ìﬂ
W * N N,SING,LOC —ÊœŒ«‰Â
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * N N,SING,COM ﬁ·
W * V V,PA,SIM,POS,3 ŒÊ—œ
W * CON CON Ê
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,COM ﬂœÊ
W * ADJ ADJ,SIM ﬁ·ﬁ·Â “‰
W * N N,SING,COM ﬁ·
W * CON CON Ê
W * N N,SING,COM ﬁ·
W * CON CON Ê
W * N N,SING,COM ﬁ·
W * P P «“
W * N N,SING,LOC  ÅÂ
W * ADV ADV,GENR,LOC Å«ÌÌ‰
W * V V,PA,SIM,POS,3 —› 
W * CON CON Ê
W * P P,GEN  ÊÌ
W * N N,SING,LOC —ÊœŒ«‰Â
W * V V,PA,SIM,POS,3 «› «œ
W * DELM DELM .
W * DET DET Â„Ì‰
W * N N,SING,COM ÿÊ—
W * CON CON ﬂÂ
W * P P,GEN  ÊÌ
W * N N,SING,COM ¬»
W * ADV ADV,GENR,LOC »«·«
W * CON CON Ê
W * ADV ADV,GENR,LOC Å«ÌÌ‰
W * V V,PA,PRG,POS,3 „Ì —› 
W * N N,SING,NUM ç‰œ
W * N N,SING,CONT  «
W * N N,SING,COM,GEN „«ÂÌ
W * ADJ ADJ,SIM —Ì“
W * CON CON Ê
W * ADJ ADJ,SIM,GEN œ—‘ 
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * V V,PA,SIM,POS,3 œÌœ‰œ
W * DELM DELM °
W * P P »«
W * PRO PRO,R,AFF,6 ŒÊœ‘«‰
W * V V,PA,SIM,POS,6 ê› ‰œ
W * DELM DELM :
W * N N,SING,COM »Â »Â
W * DELM DELM !
W * DET DET,I çÂ
W * N N,SING,COM,GEN Õ‘—ÂÒ
W * ADJ ADJ,SIM,INDF ç«ﬁ Êç·Â «Ì
W * DELM DELM !
W * CON CON »⁄œ
W * P P »Â
W * N N,SING,COM,AFF,3 ÿ—›‘
W * V V,PA,SIM,POS,6 —› ‰œ
W * CON CON Ê
W * P P  «
W * N N,SING,COM ’œ«
W * P P »Â
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * V V,SUB,POS,3 »Ì«Ìœ
W * DELM DELM °
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * PRO PRO,DEMO,PL ¬‰Â«
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * V V,PA,SIM,POS,3 »·⁄Ìœ
W * DELM DELM .
W * CON CON «„«
W * CON CON çÊ‰
W * N N,SING,COM ’œ«
W * DELM DELM °
W * N N,SING,COM ÿ⁄„
W * CON CON Ê
W * N N,SING,COM,INDF „“Â «Ì
W * V V,PA,SIM,NEG,3 ‰œ«‘ 
W * DELM DELM °
W * ADV ADV,GENR,SIM ›Ê—Ì
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,PA,SIM,POS,3 «‰œ«Œ 
W * DELM DELM .
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM Êﬁ 
W * P P »«
W * N N,SING,COM ‰«—«Õ Ì
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET,I çÂ
W * N N,SING,COM,GEN Õ‘—ÂÒ
W * ADJ ADJ,SIM,INDF »Ì „“Â «Ì
W * DELM DELM !
W * N N,SING,COM ’œ«
W * ADV ADV,GENR,SIM ﬂ„Ì
W * N N,SING,COM ’»—
W * V V,PA,SIM,POS,3 ﬂ—œ
W * P P  «
W * N N,SING,COM,AFF,3 Õ«·‘
W * N N,SING,COM Ã«
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM .
W * CON CON »⁄œ
W * P P »«
W * N N,SING,COM Œ‘ ÊŒ‘
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM »⁄ »⁄
W * DELM DELM °
W * N N,SING,COM ﬂ„ﬂ
W * DELM DELM .
W * N N,PL,COM „«ÂÌ Â«
W * P P »«
W * N N,SING,COM  ⁄Ã»
W * P P »Â
W * PRO PRO,REC Â„
W * N N,SING,COM ‰ê«Â
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,6 ê› ‰œ
W * DELM DELM :
W * DET DET,I çÂ
W * N N,SING,COM,GEN Õ‘—ÂÒ
W * ADJ ADJ,SIM,INDF ⁄ÃÌ»Ì
W * DELM DELM !
W * N N,SING,COM,GEN Õ‘—ÂÒ
W * ADJ ADJ,SIM »“€«·Â «Ì
W * ADV ADV,GENR,NEGG œÌê—
W * ADJ ADJ,INO,NEG ‰œÌœÂ
W * V V,PA,SIM,POS,4 »ÊœÌ„
W * DELM DELM .
W * DET DET,I çÂ
W * N N,SING,COM,INDF Œ‘ ÊŒ‘Ì
W * CON CON Â„
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * CON CON »⁄œ
W * N N,SING,COM,AFF,6 —«Â‘«‰
W * RA RA —«
W * V V,PA,SIM,POS,6 ﬂ‘Ìœ‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,6 —› ‰œ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * ADV ADV,GENR,REPT œÊ»«—Â
W * P P,GEN  ÊÌ
W * N N,SING,COM ¬»
W * ADV ADV,GENR,LOC »«·«
W * CON CON Ê
W * ADV ADV,GENR,LOC Å«ÌÌ‰
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM .
W * INT INT ÂÌ
W * V V,PA,PRG,POS,3 „Ì —› 
W * P P,GEN “Ì—
W * N N,SING,COM ¬»
W * DELM DELM °
W * INT INT ÂÌ
W * V V,PA,PRG,POS,3 „Ì ¬„œ
W * ADV ADV,GENR,LOC »«·«
W * DELM DELM °
W * ADV ADV,GENR,LOC Å«ÌÌ‰
W * DELM DELM °
W * ADV ADV,GENR,LOC »«·«
W * DELM DELM °
W * ADV ADV,GENR,LOC Å«ÌÌ‰
W * DELM DELM °
W * ADV ADV,GENR,LOC »«·«
W * DELM DELM .
W * ADV ADV,GENR,SIM «‰ê«—
W * V V,AUX,PA,PRG,POS,3 œ«‘ 
W * ADJ ADJ,SIM €—ﬁ
W * V V,PA,PRG,POS,3 „Ì ‘œ
W * DELM DELM .
W * ADV ADV,GENR,SIM ﬂ„
W * ADJ ADJ,INO „«‰œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * P P,GEN »—«Ì
W * ADV ADV,GENR,TIME Â„Ì‘Â
W * P P œ—
W * N N,SING,COM,GEN “Ì—
W * N N,SING,COM ¬»
W * V V,SUB,POS,3 »„«‰œ
W * DELM DELM °
W * CON CON ﬂÂ
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM œ›⁄Â
W * N N,SING,COM,INDF »çÂ ﬁÊ—»«€Â «Ì
W * RA RA —«
W * V V,PA,SIM,POS,3 œÌœ
W * DELM DELM .
W * N N,SING,COM »çÂ ﬁÊ—»«€Â
W * N N,SING,COM,INDF ﬂ·Â «Ì
W * ADJ ADJ,SIM œ—‘ 
W * CON CON Ê
W * N N,SING,COM,INDF œ„Ì
W * ADJ ADJ,SIM œ—«“
W * V V,PA,SIM,POS,3 œ«‘ 
W * DELM DELM .
W * N N,SING,COM »çÂ ﬁÊ—»«€Â
W * ADV ADV,GENR,SIM ‘‰«ﬂ‰«‰
W * P P «“
W * N N,SING,COM,AFF,3 ﬂ‰«—‘
W * V V,PA,SIM,POS,3 ê–‘ 
W * DELM DELM .
W * N N,SING,COM ’œ«
W * ADJ ADJ,SIM ŒÊ‘Õ«·
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * RA RA —«
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,COM »çÂ ﬁÊ—»«€Â
W * ADJ ADJ,SIM œ—«“
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * ADV ADV,GENR,SIM ‘‰«ﬂ‰«‰
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM .
W * V V,PA,SIM,POS,3 —› 
W * CON CON Ê
W * V V,PA,SIM,POS,3 —› 
W * CON CON  «
W * P P »Â
W * N N,SING,COM Œ‘ﬂÌ
W * V V,PA,SIM,POS,3 —”Ìœ
W * DELM DELM .
W * ADV ADV,GENR,REPT œÊ»«—Â
W * ADJ ADJ,SIM ê—œ
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * N N,SING,COM ﬁ·
W * CON CON Ê
W * N N,SING,COM ﬁ·
W * P P »Â
W * N N,SING,COM,GEN ÿ—›
W * N N,SING,GR ê·Â
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM .
W * N N,SING,NUM ç‰œ
W * N N,SING,CONT  «
W * N N,SING,COM Å—‰œÂ
W * P P «“
W * DET DET ¬‰
W * N N,SING,COM »«·«
W * DELM DELM °
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * V V,PA,SIM,POS,3 œÌœ‰œ
W * DELM DELM .
W * P P »«
W * PRO PRO,REC Â„
W * V V,PA,SIM,POS,6 ê› ‰œ
W * DELM DELM :
W * DET DET ⁄Ã»
W * N N,SING,COM,GEN œ«‰ÂÒ
W * ADJ ADJ,SIM,INDF »“—êÌ
W * V V,PRE,SIM «” 
W * DELM DELM !
W * CON CON Ê
W * PRO PRO,INDF,SING Â„êÌ
W * P P »«
W * PRO PRO,REC Â„
W * P P »Â
W * N N,SING,COM,AFF,3 ÿ—›‘
W * N N,SING,COM ‘Ì—ÃÂ
W * V V,PA,SIM,POS,6 —› ‰œ
W * CON CON Ê
W * CON CON  «
W * N N,SING,COM ’œ«
W * P P »Â
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * V V,SUB,POS,3 »Ì«Ìœ
W * DELM DELM °
W * P P,GEN ·«Ì
W * N N,SING,COM,GEN „‰ﬁ«—
W * N N,PL,COM Å—‰œÂ Â«
W * N N,SING,COM êÌ—
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON Ê
W * QUA QUA Â—
W * N N,SING,COM ﬂœ«„
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * P P »Â
