Sub * SUBJ SUBJ !ﬁ÷«ÌÌ!
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN „Ã«“« 
W * ADJ ADJ,SIM «’·Ì
W * V V,PRS,NEG,3 ‰Ì” 
W * CON CON Ê
W * N N,SING,LOC “‰œ«‰
W * P P «“
W * N N,SING,COM,GEN œÌœê«Â
W * N N,SING,COM «”·«„
W * CON CON Ê
W * N N,PL,COM ÕﬁÊﬁ
W * CON CON Ê
W * N N,PL,COM,GEN „›«ÂÌ„
W * ADJ ADJ,SIM «”·«„Ì
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM ÅÌ‘êÌ—Ì
W * CON CON Ê
W * N N,SING,COM ÷—Ê— 
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * N N,SING,COM «ŸÂ«—
W * V V,PA,SIM,POS,3 œ«‘ 
W * DELM DELM :
W * P P œ—
W * N N,PL,COM,GEN «Õﬂ«„
W * ADJ ADJ,SIM,GEN Ã“«ÌÌ
W * N N,SING,COM «”·«„
W * CON CON Ê
W * N N,SING,COM,GEN „Ã«“« 
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC “‰œ«‰
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM „Ã«“« Â«
W * ADJ ADJ,SIM „ÿ—Õ
W * ADJ ADJ,INO,NEG ‰‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * CON CON „ê—
W * P P œ—
W * N N,PL,COM,GEN „Ê«—œ
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM ‰«œ—
W * CON CON Ê
W * ADJ ADJ,SIM ÅÌ‘êÌ—«‰Â
W * CON CON Ê
W * N N,SING,COM,GEN Õ›Ÿ
W * N N,SING,COM Ã«„⁄Â
W * P P «“
W * N N,PL,COM ¬”Ì»Â«
W * CON CON Ê
W * N N,SING,COM Ã·ÊêÌ—Ì
W * P P «“
W * N N,SING,COM,GEN «‰ ‘«—
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN „”«·Â
W * ADJ ADJ,SIM Œ«’
W * P P œ—
W * N N,SING,COM,GEN »Ì‰
W * N N,SING,GR „—œ„
W * CON CON ﬂÂ
W * N N,SING,LOC “‰œ«‰
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM „Ã«“« 
W * N N,SING,COM  ⁄ÌÌ‰
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * CON CON Ê·Ì
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM „Ã«“« 
W * P P «“
W * N N,SING,COM,GEN ‰Ÿ—
W * ADJ ADJ,SIM ÕﬁÊﬁÌ
W * CON CON Ê
W * N N,SING,COM,GEN „’·Õ 
W * ADJ ADJ,SIM «Ã „«⁄Ì
W * CON CON Ê
W * ADJ ADJ,SIM Œ«‰Ê«œêÌ
W * CON CON Ê
W * P P «“
W * N N,SING,COM,GEN ‰Ÿ—
W * ADJ ADJ,SIM „«œÌ
W * CON CON Ê
W * N N,PL,COM Â“Ì‰Â Â«
W * N N,PL,COM,GEN «‘ﬂ«·
W * ADJ ADJ,SIM,INDF ›—«Ê«‰Ì
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,LOC “‰œ«‰
W * N N,SING,COM,GEN Ã«Ì
W * N N,SING,COM  —»Ì 
W * CON CON Ê
W * N N,SING,COM „œœﬂ«—Ì
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,PL,COM,GEN „œÌ—«‰
W * N N,PL,LOC “‰œ«‰Â«
W * P P œ—
W * N N,SING,COM,GEN ”—«”—
W * N N,SING,LOC ﬂ‘Ê—
W * V V,AUX,NIN,POS »«Ìœ
W * P P »«
W * DET DET «Ì‰
W * N N,SING,COM œÌœ
W * DELM DELM °
W * N N,PL,LOC “‰œ«‰Â«
W * RA RA —«
W * N N,SING,COM „œÌ—Ì 
W * CON CON Ê
W * N N,SING,COM «œ«—Â
W * V V,SUB,POS,6 ﬂ‰‰œ
W * DELM DELM .
W * N N,SING,SURN ¬Ì  «··Â
W * N N,SING,PR ‘«Â—ÊœÌ
W * P P œ—
W * N N,SING,COM,GEN »Œ‘
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * P P «“
W * N N,PL,COM,GEN ”Œ‰«‰
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM «ŸÂ«—
W * V V,PA,SIM,POS,3 œ«‘ 
W * DELM DELM :
W * P P «“
W * N N,SING,COM,GEN œÌœê«Â
W * N N,SING,COM «”·«„
W * V V,AUX,NIN,POS »«Ìœ
W * P P »«
W * N N,SING,COM,GEN œÌœ
W * N N,SING,COM —Õ„ 
W * CON CON Ê
W * N N,SING,COM ‘›ﬁ 
W * P P »«
W * N N,SING,COM “‰œ«‰Ì
W * N N,SING,COM »—ŒÊ—œ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,COM «”·«„
W * N N,SING,COM ‰”» 
W * P P »Â
W * N N,SING,LOC “‰œ«‰
W * CON CON Ê
W * N N,SING,COM “‰œ«‰Ì
W * N N,SING,COM,GEN œÌœ
W * ADJ ADJ,SIM Œ«’
W * CON CON Ê
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN »Ì‰‘
W * ADJ ADJ,SIM,INDF „Œ’Ê’Ì
W * V V,PRS,POS,3 œ«—œ
W * CON CON Ê
W * P P »Â
W * N N,SING,COM “‰œ«‰Ì
W * V V,AUX,NIN,NEG ‰»«Ìœ
W * P P »«
W * N N,SING,COM,GEN œÌœ
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN „Ã—„
W * ADJ ADJ,SIM ‘—Ê—
W * CON CON Ê
W * P P »«
W * N N,SING,COM,GEN œÌœ
W * N N,SING,COM «‰ ﬁ«„
W * N N,SING,COM ‰ê«Â
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM,GEN Õﬁ
W * ADJ ADJ,SIM «‰”«‰Ì
W * CON CON Ê
W * N N,SING,COM,GEN ﬂ—«„ 
W * N N,SING,COM «‰”«‰
W * ADJ ADJ,SIM „Õ›ÊŸ
W * V V,SUB,POS,3 »„«‰œ
W * CON CON Ê
W * DET DET «Ì‰
W * N N,SING,COM »Ì‰‘
W * P P œ—
W * N N,SING,COM,GEN ‰Ÿ«„
W * ADJ ADJ,SIM ÕﬁÊﬁÌ
W * CON CON Ê
W * N N,SING,COM ﬁ÷«
W * V V,AUX,NIN,POS „Ì »«Ì” Ì
W * N N,SING,COM „»‰«
W * N N,SING,COM ﬁ—«—
W * V V,SUB,POS,3 êÌ—œ
W * DELM DELM .
W * N N,SING,SURN ¬Ì  «··Â
W * N N,SING,PR ‘«Â—ÊœÌ
W * N N,SING,COM Œÿ«»
W * P P »Â
W * N N,PL,COM,GEN „”∆Ê·«‰
W * N N,PL,LOC “‰œ«‰Â«
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,COM “‰œ«‰Ì
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM «‰”«‰
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,NUM Ìﬂ
W * ADJ ADJ,SIM,GEN „ÊÃÊœ
W * N N,SING,COM Õ–›
W * MORP MORP,MADJ ‘œÂ
W * V V,PRS,NEG,3 ‰Ì” 
W * CON CON Ê
W * P P œ—
W * N N,SING,COM ”«“„«‰ œÂÌ
W * CON CON Ê
W * N N,SING,COM „œÌ—Ì 
W * N N,SING,COM,GEN „—«⁄« 
W * N N,PL,COM,GEN œÌœê«ÂÂ«Ì
W * ADJ ADJ,SIM ›·”›Ì
W * CON CON Ê
W * ADJ ADJ,SIM  —»Ì Ì
W * CON CON Ê
W * ADJ ADJ,SIM „»‰«ÌÌ
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM „Â„
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,COM,GEN ê“Ì‰‘
W * N N,PL,COM „œÌ—«‰
W * CON CON Ê
W * N N,PL,COM „”∆Ê·«‰
W * CON CON Ê
W * N N,SING,GR,GEN Å—”‰·
W * N N,SING,COM,GEN „œÌ—Ì 
W * N N,SING,COM,GEN œ«Œ·
W * N N,PL,LOC “‰œ«‰Â«
W * P P œ—
W * N N,SING,COM,GEN ÃÂ 
W * DET DET «Ì‰
W * N N,SING,COM »Ì‰‘
W * CON CON Ê
W * N N,SING,COM  ⁄Âœ
W * CON CON Ê
W * N N,SING,COM,GEN «Õ”«”
W * ADJ ADJ,SIM «”·«„Ì
W * DELM DELM °
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM ÷—Ê—Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ”Â ‘‰»Â
W * P P »«
W * N N,SING,COM  ‰ŸÌ„
W * CON CON Ê
W * N N,SING,COM,GEN  ﬁœÌ„
W * N N,SING,COM,INDF ‘ﬂ«Ì Ì
W * DELM DELM °
W * P P «“
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN œ«œê” —Ì
W * N N,SING,LOC,GEN «” «‰
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM,GEN ŒÊ«Â«‰
W * N N,SING,COM,GEN  ⁄ﬁÌ»
W * ADJ ADJ,SIM,GEN ﬂÌ›—Ì
W * N N,SING,COM,GEN œ»Ì—
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN ê“«—‘
W * N N,PL,COM,GEN —Ê«»ÿ
W * ADJ ADJ,SIM,GEN ⁄„Ê„Ì
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * DET DET «Ì‰
W * N N,SING,COM ‘ﬂÊ«∆ÌÂ
W * N N,SING,COM,GEN ÅÌ—Ê
W * N N,SING,COM,GEN ‰«„Â
W * N N,SING,COM,GEN œ»Ì—
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * N N,SING,COM Œÿ«»
W * P P »Â
W * N N,SING,COM,GEN —Ì«” 
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * CON CON Ê
W * N N,SING,COM,GEN «Ì—«œ
W * N N,SING,COM « Â«„
W * P P »Â
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM  ‰ŸÌ„
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * P P »—
W * N N,SING,COM,GEN «”«”
W * N N,PL,COM,GEN „Ê«œ
W * N N,SING,NUM 697
W * CON CON Ê
W * N N,SING,NUM,GEN 698
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * N N,SING,COM,GEN „Ã«“« 
W * ADJ ADJ,SIM «”·«„Ì
W * DELM DELM °
W * DET DET «Ì‰
W * N N,SING,COM,GEN  ⁄ﬁÌ»
W * ADJ ADJ,SIM ﬂÌ›—Ì
W * RA RA —«
W * P P «“
W * N N,PL,COM,GEN „—«Ã⁄
W * ADJ ADJ,SIM ﬁ÷«∆Ì
W * N N,SING,COM œ—ŒÊ«” 
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM »‰«
W * P P »—
W * DET DET «Ì‰
W * N N,SING,COM ê“«—‘
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM ‘ﬂ«Ì 
W * CON CON Â„ç‰Ì‰
W * N N,SING,COM Õ›Ÿ
W * CON CON Ê
W * N N,SING,COM,GEN «⁄«œÂ
W * N N,PL,COM,GEN ÕﬁÊﬁ
W * N N,PL,COM,GEN «⁄÷«Ì
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * RA RA —«
W * ADJ ADJ,SIM ŒÊ«” «—
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * DELM DELM #
W * N N,SING,COM,GEN ‘«ﬂÌ
W * ADJ ADJ,SIM,GEN «’·Ì
W * N N,PL,COM «‰ Œ«»« 
W * DELM DELM #
W * CON CON œ—⁄Ì‰ Õ«·
W * N N,SING,COM,GEN „⁄«Ê‰
W * ADJ ADJ,SIM,GEN Å«—·„«‰Ì
W * N N,SING,COM,GEN Ê“Ì—
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ”Â ‘‰»Â
W * P P »Â
W * N N,PL,COM Œ»—‰ê«—«‰
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM,GEN ‘«ﬂÌ
W * ADJ ADJ,SIM «’·Ì
W * P P «“
W * N N,SING,COM,GEN Ê÷⁄Ì 
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * V V,PRE,SIM «” 
W * ADV ADV,GENR,NEGG ‰Â
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * DELM DELM .
W * N N,SING,PR,GEN ⁄·Ì
W * N N,SING,PR „Õﬁ—
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * P P »«
W * N N,PL,COM,INDF ﬁ÷«Ì«ÌÌ
W * CON CON ﬂÂ
W * ADV ADV,GENR,TIME  «ﬂ‰Ê‰
W * N N,SING,COM « ›«ﬁ
W * V V,PA,NAR,POS,3 «› «œÂ
W * DELM DELM °
W * CON CON Â„
W * N N,PL,GR,GEN ÂÌ« Â«Ì
W * ADJ ADJ,SIM «Ã—«ÌÌ
W * CON CON Ê
W * CON CON Â„
W * N N,SING,COM,GEN ‰Ÿ«— 
W * N N,SING,LOC ‘Â—
W * CON CON Ê
W * N N,SING,LOC,GEN «” «‰
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * CON CON Â„
W * N N,SING,COM,GEN ‘Œ’Ì 
W * N N,PL,COM,INDF ﬂ«‰œÌœ«Â«ÌÌ
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM,GEN ·Ì” 
W * N N,PL,COM „‰ Œ»«‰
W * N N,SING,COM Œ«—Ã
W * CON CON Ì«
W * P P »Â
W * N N,SING,COM,GEN œÊ—
W * N N,SING,ORD,GEN œÊ„
W * N N,PL,COM «‰ Œ«»« 
W * V V,PA,NAR,POS,6 —› Â «‰œ
W * CON CON Ê
W * CON CON Â„
W * N N,SING,COM,GEN ÕÌÀÌ 
W * PRO PRO,R,XOD,GEN ŒÊœ
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM,GEN “Ì—
W * N N,SING,COM ”Ê«·
W * ADJ ADJ,INO —› Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * CON CON »‰«»—«Ì‰
W * DELM DELM °
W * N N,SING,COM,GEN ‘«ﬂÌ
W * ADJ ADJ,SIM «’·Ì
W * PRO PRO,personal,PL,1 „«
W * V V,PRS,POS,4 Â” Ì„
W * DELM DELM .
W * N N,SING,COM,GEN „⁄«Ê‰
W * ADJ ADJ,SIM,GEN Å«—·„«‰Ì
W * N N,SING,COM,GEN Ê“Ì—
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM,GEN ‘ﬂ«Ì 
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * P P «“
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * RA RA —«
W * P P «“
W * N N,SING,COM,GEN ‰Ÿ—
W * ADJ ADJ,SIM ÕﬁÊﬁÌ
W * ADJ ADJ,SIM »Ì „⁄‰«
W * V V,PA,SIM,POS,3 ŒÊ«‰œ
W * CON CON Ê
W * N N,SING,COM «ŸÂ«—
W * V V,PA,SIM,POS,3 œ«‘ 
W * DELM DELM :
W * N N,SING,COM,GEN »—œ«‘ 
W * PRO PRO,personal,PL,1 „«
W * PRO PRO,DEMO,SING «Ì‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * CON CON çÊ‰
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM „œÌ—
W * CON CON Ê
W * ADJ ADJ,SIM,GEN Âœ«Ì  ﬂ‰‰œÂ
W * N N,PL,COM «‰ Œ«»« 
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,PL,COM,GEN  Œ·›« 
W * ADJ ADJ,SIM «Õ „«·Ì
W * P P œ—
W * N N,PL,COM,GEN ’‰œÊﬁÂ«Ì
W * N N,SING,COM —«Ì
W * N N,SING,COM ’Ê— 
W * ADJ ADJ,INO ê—› Â
W * V V,PRE,SIM «” 
W * DELM DELM °
W * N N,SING,COM,GEN ‘ﬂ«Ì 
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM ” «œ
W * V V,PRS,NEG,3 »—‰„Ì ê—œœ
W * DELM DELM .
W * N N,SING,COM,GEN „⁄«Ê‰
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,GENR,TIME  «ﬂ‰Ê‰
W * N N,SING,COM,INDF «Õ÷«—ÌÂ «Ì
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * N N,SING,LOC œ«œê«Â
W * P P,GEN »—«Ì
W * N N,PL,COM,GEN „”∆Ê·«‰
W * N N,SING,COM,GEN ” «œ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,LOC,GEN ﬂ‘Ê—
W * N N,SING,COM «—”«·
W * ADJ ADJ,INO,NEG ‰‘œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * QUA QUA Â—
W * N N,SING,COM,INDF ‘ﬂ«Ì Ì
W * V V,AUX,NIN,POS »«Ìœ
W * ADJ ADJ,SIM „” ‰œ
W * P P »Â
W * N N,PL,COM «”‰«œ
W * CON CON Ê
W * N N,PL,COM,GEN „œ«—ﬂ
W * ADJ ADJ,SIM „⁄ »—
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN «À»« 
W * N N,SING,COM,GEN «œ⁄«Ì
W * N N,SING,COM  Œ·›
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * CON CON œ—Õ«·Ì ﬂÂ
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * ADV ADV,GENR,TIME  «ﬂ‰Ê‰
W * QUA QUA ÂÌç
W * N N,SING,COM,INDF „œ—ﬂÌ
W * N N,SING,COM «—«∆Â
W * V V,PA,NAR,NEG,3 ‰ﬂ—œÂ
W * CON CON Ê
W * P P »Â
W * N N,SING,NUM ”Â
W * N N,SING,COM,GEN ‰«„Â
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,LOC ﬂ‘Ê—
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM »«—Â
W * N N,SING,COM,GEN Ÿ—›
W * N N,PL,TIME,GEN —Ê“Â«Ì
W * ADJ ADJ,SIM «ŒÌ—
W * QUA QUA ÂÌç
W * N N,SING,COM,INDF Å«”ŒÌ
W * ADJ ADJ,INO,NEG ‰œ«œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM  ’—ÌÕ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * IF IF «ê—
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * ADJ ADJ,SIM —Ê‘‰
W * V V,SUB,POS,3 ﬂ‰œ
W * CON CON ﬂÂ
W * N N,PL,COM  Œ·›« 
W * P P œ—
W * DET DET,I çÂ
W * N N,PL,COM,INDF ’‰œÊﬁÂ«ÌÌ
W * CON CON Ê
W * ADV ADV,I çêÊ‰Â
W * N N,SING,COM —Œ
W * ADJ ADJ,INO œ«œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * PRO PRO,personal,PL,1 „«
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,SING,COM »——”Ì
W * V V,PRS,POS,4 „Ì ﬂ‰Ì„
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN ’Ê— 
W * N N,SING,COM,GEN «Õ—«“
W * N N,SING,COM,GEN «‰Ã«„
W * N N,SING,COM,GEN  Œ·›
W * PRO PRO,R,XOD ŒÊœ
W * DELM DELM °
W * P P »«
W * N N,PL,COM „ Œ·›«‰
W * N N,SING,COM »—ŒÊ—œ
W * CON CON Ê
W * PRO PRO,personal,PL,3 ¬‰«‰
W * RA RA —«
W * N N,SING,COM,GEN  ÕÊÌ·
W * N N,PL,COM,GEN „—«Ã⁄
W * ADJ ADJ,SIM ﬁ÷«ÌÌ
W * V V,AUX,FEA,POS,4 ŒÊ«ÂÌ„
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM .
W * N N,SING,COM,GEN „⁄«Ê‰
W * ADJ ADJ,SIM,GEN Å«—·„«‰Ì
W * N N,SING,COM,GEN Ê“Ì—
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM,GEN «»—«“
W * N N,SING,COM «„ÌœÊ«—Ì
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM  ÊÃÂ
W * P P »Â
W * N N,SING,COM,GEN œ” Ê—
W * N N,SING,COM,GEN —Â»—
W * ADJ ADJ,SIM,GEN „⁄Ÿ„
W * N N,SING,COM,GEN «‰ﬁ·«»
W * ADJ ADJ,SIM «”·«„Ì
W * DELM DELM °
W * N N,SING,COM,GEN œ” ê«Â
W * ADJ ADJ,SIM ﬁ÷«ÌÌ
W * CON CON Ê
W * N N,SING,COM,GEN »«“—”Ì
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM »—ŒÊ—œ
W * DELM DELM .
Sub * SUBJ SUBJ !„–Â»Ì!
Sub * SUBJ SUBJ ! «—ÌŒÌ!
W * CON CON ç‰«‰ﬂÂ
W * N N,SING,PR ”⁄Ìœ»‰ ⁄À„«‰ »‰ ⁄›«‰
W * P P »Â
W * N N,SING,PR „⁄«ÊÌÂ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,I çêÊ‰Â
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P,GEN »—«Ì
W * N N,SING,PR Ì“Ìœ
W * N N,SING,COM »Ì⁄ 
W * V V,PRS,POS,2 „ÌêÌ—Ì
W * CON CON Ê
W * PRO PRO,INO,SING,1 „—«
W * ADJ ADJ,SIM —Â«
W * V V,PA,NAR,POS,2 ﬂ—œÂ «Ì
