Sub * SUBJ SUBJ ! «—ÌŒÌ!
W * CON CON Ê
W * N N,SING,COM ÂÌ∆ 
W * CON CON Ê
W * N N,SING,COM „Ê”ÌﬁÌ
W * P P «“
W * N N,PL,COM,GEN ‘⁄»Â Â«Ì
W * N N,SING,COM —Ì«÷Ì« 
W * P P »Â
W * N N,SING,COM ‘„«—
W * V V,PA,PRG,POS,3 „Ì ¬„œ
W * DELM DELM .
W * N N,SING,PR,GEN «»‰
W * N N,SING,PR ”Ì‰«
W * P P œ—
W * N N,SING,COM,GEN  ﬁ”Ì„ »‰œÌ
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,COM,GEN ﬂ «»
W * N N,SING,COM ‘›«
W * CON CON ﬂÂ
W * N N,PL,COM,GEN ⁄·Ê„
W * ADJ ADJ,SIM ›·”›Ì
W * RA RA —«
W * P P »Â
W * ADJ ADJ,SIM ‰Ÿ—Ì
W * CON CON Ê
W * ADJ ADJ,SIM ⁄„·Ì
W * N N,SING,COM  ﬁ”Ì„
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM °
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * P P œ—
W * N N,SING,COM,GEN ›·”›ÂÒ
W * ADJ ADJ,SIM ‰Ÿ—Ì
W * CON CON ﬂÂ
W * N N,SING,COM,GEN Âœ›
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM,GEN «” ﬂ„«·
W * N N,SING,COM,GEN ‰Ì—ÊÌ
W * ADJ ADJ,SIM,GEN ‰Ÿ—Ì
W * N N,SING,COM ‰›”
W * V V,PRE,SIM «” 
W * DELM DELM °
W * N N,SING,COM ⁄·„
W * P P »Â
W * N N,PL,COM,INDF «„Ê—Ì
W * ADJ ADJ,SIM ÅÌœ«
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON ﬂÂ
W * P P,GEN  Õ 
W * N N,PL,COM «⁄„«·
W * CON CON Ê
W * N N,PL,COM,GEN «ÕÊ«·
W * PRO PRO,personal,PL,1 „«
W * V V,PRS,NEG,3 ‰Ì” 
W * CON CON Ê
W * DET DET «Ì‰
W * N N,SING,COM ﬁ”„
W * P P «“
W * N N,SING,COM ›·”›Â
W * P P »Â
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * CON CON Ê
W * ADJ ADJ,SIM  ⁄·Ì„Ì
W * CON CON Ê
W * ADJ ADJ,SIM «·ÂÌ
W * N N,SING,COM  ﬁ”Ì„
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON Ê
W * N N,SING,COM,GEN ÊÃÂ
W * DET DET «Ì‰
W * N N,SING,COM  ﬁ”Ì„
W * V V,PRE,PROC,3 ¬‰” 
W * CON CON ﬂÂ
W * DET DET «Ì‰
W * N N,SING,COM,GEN ›·”›ÂÒ
W * ADJ ADJ,SIM ‰Ÿ—Ì
W * IF IF «ê—
W * N N,SING,COM ⁄·„
W * P P »Â
W * N N,PL,COM,GEN «ÕÊ«·
W * ADJ ADJ,SIM „ÊÃÊœ
W * ADJ ADJ,SIM „ﬁ«—‰
W * P P »«
W * N N,SING,COM „«œÂ
W * P P œ—
W * N N,PL,COM ÕœÊœ
W * CON CON Ê
W * N N,SING,COM ÊÃÊœ
W * V V,SUB,POS,3 »«‘œ
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * DELM DELM °
W * CON CON Ê
W * IF IF «ê—
W * ADJ ADJ,SIM „›«—ﬁ
W * P P «“
W * N N,SING,COM „«œÂ
W * P P œ—
W * N N,PL,COM ÕœÊœ
W * CON CON Ê
W * N N,SING,COM ÊÃÊœ
W * V V,SUB,POS,3 »«‘œ
W * ADJ ADJ,SIM «·ÂÌ
W * DELM DELM °
W * CON CON Ê
W * IF IF «ê—
W * ADJ ADJ,SIM „›«—ﬁ
W * P P «“
W * N N,SING,COM „«œÂ
W * ADV ADV,GENR,SIM ›ﬁÿ
W * P P œ—
W * N N,SING,COM Õœ
W * V V,SUB,POS,3 »«‘œ
W * ADJ ADJ,SIM  ⁄·Ì„Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN „Ê÷Ê⁄
W * ADJ ADJ,SIM  ⁄·Ì„Ì
W * N N,SING,COM,INDF „ﬁœ«—Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM –Â‰
W * ADJ ADJ,SIM „Ã—œ
W * P P «“
W * N N,SING,COM „«œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM Â‰œ”Â
W * V V,PRE,SIM «” 
W * CON CON Ê
W * CON CON Ì«
W * N N,SING,COM,INDF „ﬁœ«—Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM –Â‰
W * ADJ ADJ,SIM „√ŒÊ–
W * P P »«
W * N N,SING,COM „«œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,GR ÂÌ∆ 
W * V V,PRE,SIM «” 
W * CON CON Ê
W * CON CON Ì«
W * N N,SING,COM ⁄œœ
W * ADJ ADJ,SIM „Ã—œ
W * P P «“
W * N N,SING,COM „«œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM Õ”«»
W * V V,PRE,SIM «” 
W * CON CON Ê
W * CON CON Ì«
W * N N,SING,COM ⁄œœ
W * P P œ—
W * N N,SING,COM „«œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM „Ê”ÌﬁÌ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN «Â„Ì 
W * N N,SING,COM,GEN ⁄·„
W * N N,SING,COM Õ”«»
W * CON CON Ê
W * N N,SING,COM Â‰œ”Â
W * N N,PL,COM,GEN œ«‰‘„‰œ«‰
W * ADJ ADJ,SIM «”·«„Ì
W * N N,PL,COM,GEN «‘«—« 
W * ADJ ADJ,SIM,INDF „ ⁄œœÌ
W * V V,PA,NAR,POS,6 œ«‘ Â «‰œ
W * P P «“
W * N N,SING,COM Ã„·Â
W * N N,SING,PR ﬂ—ÃÌ
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * N N,SING,COM,GEN ⁄·„
W * N N,SING,COM Õ”«»
W * N N,SING,COM,AFF,3 Å«ÌÂ «‘
W * ADJ ADJ,CMPR »«·« —
W * CON CON Ê
W * N N,SING,COM,AFF,3 „’·Õ ‘
W * ADJ ADJ,CMPR ›—«êÌ— —
W * CON CON Ê
W * N N,SING,COM,AFF,3 ›«ÌœÂ «‘
W * ADJ ADJ,CMPR  „«„ —
W * P P «“
W * QUA QUA,GEN Â„ÂÒ
W * N N,PL,COM ⁄·Ê„
W * V V,PRE,SIM «” 
W * DELM DELM .
W * QUA QUA,GEN Â„ÂÒ
W * N N,PL,COM,GEN ÿ»ﬁ« 
W * N N,SING,GR „—œ„
W * P P »«
W * N N,SING,COM,GEN «Œ ·«›
W * N N,PL,COM «œÌ«‰
W * CON CON Ê
W * N N,PL,COM “»«‰Â«
W * P P,PRO »œ«‰
W * V V,PRE,ADJC,6 ‰Ì«“„‰œ‰œ
W * DELM DELM ∫
W * CON CON “Ì—«
W * N N,SING,COM,GEN ’·«Õ
W * N N,SING,COM Ã„ÂÊ—
W * CON CON Ê
W * N N,SING,COM,GEN «” Ê«—Ì
W * N N,PL,COM «„Ê—
W * P P,PRO »œ«‰
W * ADJ ADJ,SIM Ê«»” Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM Â‰œ”Â
W * N N,PL,COM,GEN œ«‰‘„‰œ«‰
W * ADJ ADJ,SIM «”·«„Ì
W * N N,SING,COM  ’—ÌÕ
W * V V,PA,NAR,POS,6 ﬂ—œÂ «‰œ
W * CON CON ﬂÂ
W * CON CON,DCOR Â„
W * P P,GEN »—«Ì
W * N N,SING,COM ›Ì·”Ê›
W * CON CON Ê
W * CON CON,DCOR Â„
W * P P,GEN »—«Ì
W * N N,SING,COM Å“‘ﬂ
W * ADJ ADJ,SIM ÷—Ê—Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR ›«—«»Ì
W * P P œ—
W * N N,SING,COM ﬂ «»
W * AR AR „«
W * AR AR Ì‰»€Ì
W * AR AR «‰
W * AR AR Ìﬁœ„
W * AR AR ﬁ»·
W * AR AR  ⁄·„
W * AR AR «·›·”›…
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * N N,SING,PR «›·«ÿÊ‰
W * P P »—
W * N N,SING,COM,GEN ”—œ—
W * N N,SING,COM,AFF,3 „⁄»œ‘
W * ADJ ADJ,INO ‰Ê‘ Â
W * V V,PA,SIM,POS,3 »Êœ
W * QUA QUA Â—
W * N N,SING,COM ﬂÂ
W * N N,SING,COM Â‰œ”Â
W * V V,PRS,NEG,3 ‰„Ì œ«‰œ
W * P P »—
W * PRO PRO,personal,PL,1 „«
W * N N,SING,COM Ê«—œ
W * V V,SUB,NEG,3 ‰‘Êœ
W * DELM DELM .
W * N N,SING,PR,GEN «»‰
W * N N,SING,PR Â‰œÊ
W * V V,PRS,POS,3 „Ì êÊÌœ
W * CON CON ﬂÂ
W * DELM DELM :
W * N N,SING,COM Â‰œ”Â
W * N N,SING,COM,GEN ç‘„
W * N N,SING,COM ⁄ﬁ·
W * RA RA —«
W * ADJ ADJ,SIM »«“
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON ﬂÂ
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ç‘„
W * N N,SING,COM ⁄ﬁ·
W * P P «“
W * N N,PL,NUM Â“«—«‰
W * N N,SING,COM,GEN ç‘„
W * N N,SING,COM ”—
W * ADJ ADJ,CMPR »Â —
W * V V,PRE,SIM «” 
W * DELM DELM .
W * DELM DELM °
W * N N,SING,PR «»Ê«·› Õ
W * N N,SING,PR,GEN ⁄„—
W * N N,SING,PR,GEN »‰
W * N N,SING,PR,GEN «»—«ÂÌ„
W * N N,SING,PR ‰Ì‘«»Ê—Ì
W * ADJ ADJ,SIM „⁄—Ê›
W * P P »Â
W * N N,SING,PR ŒÌ«„
W * CON CON Ì«
W * N N,SING,PR ŒÌ«„Ì
W * P P œ—
W * N N,SING,COM,INDF “„«‰Ì
W * N N,SING,COM “‰œêÌ
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN „Ì—«À
W * ADJ ADJ,SIM,GEN ⁄·„Ì
W * ADJ ADJ,SIM «Ì—«‰Ì
W * CON CON Ê
W * N N,SING,LOC,PR Â‰œ
W * CON CON Ê
W * ADJ ADJ,SIM ÌÊ‰«‰Ì
W * P P œ—
W * N N,SING,COM —Ì«÷Ì« 
W * P P œ—
W * N N,SING,COM,GEN «Œ Ì«—
W * PRO PRO,personal,SING,3 «Ê
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * N N,SING,COM ÊÃÊœ
W * N N,SING,COM,GEN “ÌÃ
W * N N,SING,PR ‘Â—Ì«—
W * CON CON Ê
W * N N,PL,COM,GEN ﬂ «»Â«Ì
W * AR AR «·»“ÌœÃ
W * AR AR ›Ì
W * AR AR «·„Ê«·Ìœ
W * AR AR »“ÌœÃ
W * AR AR „⁄—»
W * AR AR ÊÌç Ìﬂ
W * DELM DELM °
W * N N,SING,COM ê“ÌœÂ
W * DELM DELM °
W * N N,PL,COM „Œ «—« 
W * CON CON Ê
W * AR AR «·«‰œ—“
W * AR AR €—›Ì
W * AR AR «·„Ê«·Ìœ
W * DELM DELM °
W * N N,SING,COM «‰œ—“ê—
W * CON CON Ê
W * N N,SING,COM,GEN «” ⁄„«·
W * N N,PL,COM,GEN «’ÿ·«Õ« 
W * ADJ ADJ,SIM ›«—”Ì
W * ADV ADV,GENR,EXM Â„çÊ‰
W * N N,SING,COM ÂÌ·«Ã
W * CON CON Ê
W * N N,SING,COM ﬂœŒœ«
W * CON CON Ê
W * N N,PL,COM Ã«‰»Œ «‰
W * P P œ—
W * N N,SING,COM,GEN „Ì«‰
W * N N,PL,COM „”·„«‰«‰
W * N N,SING,COM,GEN ‰‘«‰ÂÒ
W * N N,SING,COM,GEN  √ÀÌ—
W * N N,SING,COM —Ì«÷Ì« 
W * CON CON Ê
W * N N,SING,COM,GEN ‰ÃÊ„
W * ADJ ADJ,SIM «Ì—«‰Ì
W * P P œ—
W * N N,SING,COM,GEN  „œ‰
W * ADJ ADJ,SIM «”·«„Ì
W * V V,PRE,SIM «” 
W * DELM DELM °
W * N N,SING,COM,GEN  «—ÌŒ
W * N N,SING,COM,GEN ‰ÃÊ„
W * ADJ ADJ,SIM «”·«„Ì
W * DELM DELM °
W * DELM DELM )
W * N N,SING,NPR,GEN ’
W * DELM DELM (
W * N N,SING,NUM 230
W * DELM DELM °
W * N N,SING,NUM 162
W * DELM DELM °
W * N N,SING,NUM 262
W * DELM DELM °
W * N N,SING,NUM 581
W * CON CON Ê
W * ADV ADV,GENR,SIM Õ Ì
W * N N,SING,COM,GEN —Ì«÷Ì œ«‰
W * N N,SING,TIME,GEN ﬁ—‰
W * ADJ ADJ,ORD,GEN Â› „
W * ADJ ADJ,SIM ÂÃ—Ì
W * N N,SING,PR,GEN €÷‰›—
W * N N,SING,PR  »—Ì“Ì
W * P P œ—
W * N N,SING,COM,GEN —”«·ÂÒ
W * AR AR «·„‘«ÿÂ
W * AR AR ·—”«·…
W * AR AR «·›Â—” 
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,COM,GEN «À»« 
W * N N,SING,COM,INDF „ÿ·»Ì
