Sub * SUBJ SUBJ !œ«” «‰!
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM ‰ÊÌ”‰œÂ
W * P P »«
W * N N,SING,COM,INDF “»«‰Ì
W * ADJ ADJ,SIM ‘ÌÊ«
W * CON CON Ê
W * ADJ ADJ,SIM ŒÊ«‰œ‰Ì
W * P P,GEN »—«Ì
W * PRO PRO,personal,PL,1 „«
W * N N,SING,COM ‰ﬁ·
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,SURN ‘ÌŒ
W * N N,SING,PR,GEN «Õ„œ
W * N N,SING,PR,GEN „ﬁœ”
W * N N,SING,PR «—œ»Ì·Ì
W * DELM DELM °
W * N N,SING,SURN ⁄·«„Â
W * N N,SING,SURN ”Ìœ
W * N N,SING,PR,GEN „ÂœÌ
W * N N,SING,PR »Õ—«·⁄·Ê„
W * DELM DELM °
W * N N,SING,SURN ‘ÌŒ
W * N N,SING,PR,GEN «»Ê«·ﬁ«”„
W * N N,SING,PR êÌ·«‰Ì
W * DELM DELM °
W * N N,SING,SURN,GEN „Ì—“«Ì
W * N N,SING,PR ﬁ„Ì
W * DELM DELM °
W * N N,SING,SURN ‘ÌŒ
W * N N,SING,PR „— ÷Ì
W * N N,SING,PR «‰’«—Ì
W * DELM DELM °
W * N N,SING,SURN „·«
W * N N,SING,PR „Õ„œ
W * N N,SING,PR,GEN ﬂ«Ÿ„
W * N N,SING,PR Œ—«”«‰Ì
W * DELM DELM °
W * N N,SING,SURN ‘ÌŒ
W * N N,SING,PR,GEN ⁄»«”
W * N N,SING,PR ﬁ„Ì
W * DELM DELM °
W * N N,SING,SURN,GEN ⁄·«„Â
W * N N,SING,PR «„Ì‰Ì
W * DELM DELM °
W * N N,SING,SURN ‘ÌŒ
W * N N,SING,PR,GEN Â«œÌ
W * N N,SING,PR ‰Ã„ ¬»«œÌ
W * DELM DELM °
W * N N,SING,SURN „Ì—“«
W * N N,SING,PR,GEN ÃÊ«œ
W * N N,SING,SURN ¬ﬁ«
W * N N,SING,PR  Â—«‰Ì
W * N N,PL,COM,INDF ⁄·„«ÌÌ
W * V V,PRS,POS,6 Â” ‰œ
W * CON CON ﬂÂ
W * P P »«
W * PRO PRO,DEMO,PL ¬‰Â«
W * ADJ ADJ,SIM ¬‘‰«
W * V V,PRS,POS,1 „Ì ‘ÊÌ„
W * DELM DELM .
W * P P œ—
W * N N,SING,NUM Ìﬂ
W * N N,SING,LOC „—œ«»
W * ADJ ADJ,SIM ﬂÊçﬂ
W * P P œ—
W * N N,SING,LOC Ã‰ê·
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ﬁÊ—»«€ÂÒ
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM »“—ê
W * N N,SING,COM,GEN ﬂ‰«—
W * N N,PL,COM,GEN ﬁÊ—»«€Â Â«Ì
W * ADJ ADJ,SIM œÌê—
W * N N,SING,COM “‰œêÌ
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM ﬁÊ—»«€Â
W * P P «“
W * N N,PL,COM,GEN ﬁÊ—»«€Â Â«Ì
W * ADJ ADJ,SIM œÌê—
W * ADJ ADJ,CMPR »“—ê —
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON Ê
W * N N,SING,COM,AFF,3 ’œ«Ì‘
W * CON CON Â„
W * P P «“
W * N N,SING,COM,GEN ’œ«Ì
W * PRO PRO,DEMO,PL ¬‰Â«
W * ADJ ADJ,CMPR »·‰œ —
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * PRO PRO,personal,SING,3 «Ê
W * N N,SING,COM,GEN Â‰ê«„
W * N N,SING,COM ¬Ê«“
W * N N,SING,NFL ŒÊ«‰œ‰
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * ADJ ADJ,SUP »“—ê —Ì‰
W * N N,SING,COM,GEN »—ê
W * N N,SING,COM ‰Ì·Ê›—
W * CON CON ﬂÂ
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * N N,SING,COM ¬»
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * V V,PA,PRG,POS,3 „Ì ‰‘” 
W * CON CON Ê
W * N N,SING,COM,AFF,3 ê·ÊÌ‘
W * RA RA —«
W * ADJ ADJ,SIM Å—
W * P P «“
W * N N,SING,COM »«œ
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * CON CON Ê
W * N N,SING,COM ¬Ê«“
W * V V,PRS,POS,3 „Ì ŒÊ«‰œ
W * CON CON Ê
W * N N,SING,COM «Ã«“Â
W * V V,PA,PRG,NEG,3 ‰„Ì œ«œ
W * DELM DELM °
W * N N,PL,COM,GEN ﬁÊ—»«€Â Â«Ì
W * ADJ ADJ,SIM œÌê—
W * N N,SING,TIME ﬁ»·
W * P P «“
W * PRO PRO,personal,SING,3 «Ê
W * N N,SING,COM ‘—Ê⁄
W * P P »Â
W * N N,SING,COM ¬Ê«“
W * N N,SING,NFL ŒÊ«‰œ‰
W * V V,SUB,POS,6 ﬂ‰‰œ
W * DELM DELM .
W * N N,SING,COM,GEN Â‰ê«„
W * N N,SING,COM €–«
W * N N,SING,NFL ŒÊ—œ‰
W * CON CON Â„
W * P P »Â
W * N N,SING,COM,INDF Ã«ÌÌ
W * V V,PA,PRG,POS,3 „Ì —› 
W * CON CON ﬂÂ
W * ADJ ADJ,CMPR »Ì‘ —
W * P P «“
W * QUA QUA Â„Â
W * N N,SING,COM Ã«
W * N N,SING,COM Å‘Â
W * V V,PA,SIM,POS,3 œ«‘ 
W * CON CON Ê
W * V V,PA,PRG,POS,3 ‰„Ì ê–«‘ 
W * N N,PL,COM,GEN ﬁÊ—»«€Â Â«Ì
W * ADJ ADJ,SIM œÌê—
W * ADV ADV,GENR,LOC ¬‰Ã«
W * V V,SUB,POS,6 »Ì«Ì‰œ
W * CON CON  «
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * V V,SUB,POS,3 » Ê«‰œ
W * QUA QUA,GEN Â„ÂÒ
W * N N,PL,COM Å‘Â Â«
W * RA RA —«
W * V V,SUB,POS,3 »ŒÊ—œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 «Ê
W * ADV ADV,GENR,TIME Â„Ì‘Â
W * N N,SING,COM ”⁄Ì
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * N N,PL,COM,GEN Å‘Â Â«Ì
W * ADJ ADJ,SIM »“—ê
W * RA RA —«
W * N N,SING,COM ‘ﬂ«—
W * V V,SUB,POS,3 ﬂ‰œ
W * CON CON Ê
W * V V,SUB,POS,3 »ŒÊ—œ
W * CON CON Ê
W * ADV ADV,GENR,SIM Õ Ì
W * CON CON Êﬁ Ì
W * N N,PL,COM,GEN ﬁÊ—»«€Â Â«Ì
W * ADJ ADJ,SIM œÌê—
W * N N,SING,COM,GEN Å‘Â
W * ADJ ADJ,SIM,INDF »“—êÌ
W * N N,SING,COM ‘ﬂ«—
W * V V,PA,PRG,POS,6 „Ì ﬂ—œ‰œ
W * DELM DELM °
W * ADV ADV,GENR,SIM »Â “Ê—
W * N N,PL,COM Å‘Â Â«
W * RA RA —«
W * P P «“
W * DET DET ¬‰
W * N N,PL,COM ﬁÊ—»«€Â Â«
W * V V,PA,PRG,POS,3 „Ì ê—› 
W * CON CON Ê
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * V V,PRS,POS,3 „Ì ŒÊ—œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 «Ê
W * QUA QUA Â—
W * N N,SING,TIME —Ê“
W * N N,PL,COM,GEN ﬁÊ—»«€Â Â«Ì
W * ADJ ADJ,CMPR ﬂÊçﬂ —
W * P P «“
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * RA RA —«
W * N N,SING,COM «–Ì 
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN ÃÀÂÒ
W * ADJ ADJ,SIM,GEN ﬂÊçﬂ
W * PRO PRO,DEMO,PL ¬‰Â«
W * V V,PA,PRG,POS,3 „Ì Œ‰œÌœ
W * CON CON Ê
W * V V,PA,PRG,POS,3 „Ì ê› 
W * DELM DELM :
W * QUA QUA ÂÌç
W * N N,SING,COM ﬂ”
W * V V,PRS,NEG,3 ‰„Ì  Ê«‰œ
W * P P »Â
W * N N,SING,COM,GEN «‰œ«“Â
W * PRO PRO,personal,SING,1 „‰
W * ADJ ADJ,SIM »“—ê
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM !
W * PRO PRO,personal,SING,1 „‰
W * ADJ ADJ,SUP »“—ê —Ì‰
W * CON CON Ê
W * ADJ ADJ,SUP »Â —Ì‰
W * N N,SING,COM,GEN ÕÌÊ«‰
W * N N,SING,COM œ‰Ì«
W * V V,PRS,POS,1 Â” „
W * DELM DELM !
W * N N,SING,NUM Ìﬂ
W * N N,SING,TIME —Ê“
W * CON CON Êﬁ Ì
W * N N,SING,COM,GEN ﬁÊ—»«€Â
W * ADJ ADJ,SIM »“—ê
W * P P »Â
W * N N,SING,COM,GEN “Ì—
W * N N,SING,COM ¬»
W * ADJ ADJ,INO —› Â
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * QUA QUA,GEN Â„ÂÒ
W * N N,PL,COM,GEN ﬁÊ—»«€Â Â«Ì
W * N N,SING,LOC „—œ«»
W * N N,SING,COM,GEN œÊ—
W * CON CON Â„
W * N N,SING,COM Ã„⁄
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * CON CON  «
W * P P,GEN œ—»«—ÂÒ
W * N N,SING,COM,GEN ﬁÊ—»«€Â
W * ADJ ADJ,SIM »“—ê
W * P P »«
W * CON CON Â„
W * N N,SING,COM Õ—›
W * V V,SUB,POS,6 »“‰‰œ
W * DELM DELM .
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM ﬁÊ—»«€Â Â«
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,SING,3 «Ê
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM „€—Ê—
W * V V,PRE,SIM «” 
W * CON CON Ê
W * PRO PRO,personal,PL,1 „«
W * RA RA —«
W * N N,SING,COM «–Ì 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM !
W * N N,SING,COM,GEN ﬁÊ—»«€ÂÒ
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,SING,3 «Ê
W * ADV ADV,GENR,TIME œÌ—Ê“
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN Å‘ÂÒ
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM »“—ê
W * RA RA —«
W * CON CON ﬂÂ
W * PRO PRO,R,AFF,1 ŒÊœ„
W * N N,SING,COM ‘ﬂ«—
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PA,SIM,POS,1 »Êœ„
W * DELM DELM °
W * P P «“
W * PRO PRO,personal,SING,1 „‰
W * V V,PA,SIM,POS,3 ê—› 
W * CON CON Ê
W * PRO PRO,R,AFF,3 ŒÊœ‘
W * V V,PA,SIM,POS,3 ŒÊ—œ
W * DELM DELM !
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM »çÂ
W * N N,SING,COM ﬁÊ—»«€Â
W * CON CON Â„
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,SING,3 «Ê
W * ADV ADV,GENR,TIME «„—Ê“
W * PRO PRO,INO,SING,1 „—«
W * ADJ ADJ,SIM „”Œ—Â
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * CON CON Ê
W * V V,PA,PRG,POS,3 „Ì ê› 
W * PRO PRO,personal,SING,2  Ê
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM ﬂÊçﬂ
W * V V,PRS,POS,2 Â” Ì
W * DELM DELM !
W * P P »Â
W * N N,SING,COM,GEN «‰œ«“ÂÒ
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM Å‘Â
W * V V,PRS,POS,2 Â” Ì
W * DELM DELM !
W * ADV ADV,GENR,TIME «·«‰
W * PRO PRO,personal,SING,2  Ê
W * RA RA —«
W * V V,PRS,POS,1 „Ì ŒÊ—„
W * DELM DELM !
W * CON CON Ê
W * ADJ ADJ,SIM Œ·«’Â
W * DELM DELM °
W * QUA QUA Â„Â
W * P P «“
W * N N,SING,COM,GEN ﬁÊ—»«€ÂÒ
W * ADJ ADJ,SIM »“—ê
W * N N,SING,COM ‘ﬂ«Ì 
W * V V,PA,SIM,POS,6 œ«‘ ‰œ
W * DELM DELM .
W * ADV ADV,GENR,SIM ”—«‰Ã«„
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM ﬁÊ—»«€Â Â«
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM »ﬁÌÂ
W * ADJ ADJ,CMPR »«ÂÊ‘ —
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,PL,1 „«
W * V V,AUX,NIN,POS »«Ìœ
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * P P «“
W * DET DET «Ì‰
W * N N,SING,LOC „—œ«»
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,SUB,POS,4 ﬂ‰Ì„
W * DELM DELM !
W * P P œ—
W * DET DET Â„«‰
W * N N,SING,COM „Êﬁ⁄
W * N N,SING,COM,INDF „·ŒÌ
W * V V,PA,SIM,POS,3 ¬„œ
W * CON CON Ê
W * P P,GEN —ÊÌ
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN »—ê
W * N N,SING,COM,GEN ‰Ì·Ê›—
W * ADJ ADJ,SIM ¬»Ì
W * V V,PA,SIM,POS,3 ‰‘” 
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,SING,1 „‰
W * QUA QUA,GEN Â„ÂÒ
W * N N,PL,COM,GEN Õ—›Â«Ì
W * PRO PRO,personal,PL,2 ‘„«
W * RA RA —«
W * V V,PA,SIM,POS,1 ‘‰Ìœ„
W * DELM DELM °
W * IF IF «ê—
W * V V,SUB,POS,5 »ŒÊ«ÂÌœ
W * DELM DELM °
W * PRO PRO,personal,SING,1 „‰
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * P P «“
W * DET DET «Ì‰
W * N N,SING,LOC „—œ«»
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,PRS,POS,1 „Ì »—„
W * CON CON  «
W * N N,SING,COM,INDF ﬂ”Ì
W * V V,SUB,NEG,3 ‰»«‘œ
W * CON CON ﬂÂ
W * PRO PRO,personal,PL,2 ‘„«
W * RA RA —«
W * N N,SING,COM «–Ì 
W * V V,SUB,POS,3 ﬂ‰œ
W * DELM DELM !
W * N N,PL,COM ﬁÊ—»«€Â Â«
W * CON CON Â„
W * P P »«
W * N N,SING,COM ŒÊ‘Õ«·Ì
W * ADJ ADJ,SIM ﬁ»Ê·
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM .
W * N N,SING,COM „·Œ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,GENR,TIME ›—œ«
W * N N,SING,TIME,GEN ’»Õ
W * ADJ ADJ,SIM “Êœ
W * CON CON Â‰ê«„Ì ﬂÂ
W * QUA QUA,GEN Â„Â
W * PRO PRO,personal,PL,2 ‘„«
W * V V,PA,SIM,POS,5 ŒÊ«” Ìœ
W * N N,SING,COM ‘—Ê⁄
W * P P »Â
W * N N,SING,COM ¬Ê«“
W * N N,SING,NFL ŒÊ«‰œ‰
W * V V,SUB,POS,5 ﬂ‰Ìœ
W * DELM DELM °
W * PRO PRO,personal,SING,1 „‰
W * CON CON Â„
W * V V,PRS,POS,1 „Ì ¬Ì„
W * DELM DELM .
W * CON CON Ê
W * CON CON »⁄œ
W * V V,PA,SIM,POS,3 Å—Ìœ
W * CON CON Ê
W * V V,PA,SIM,POS,3 —› 
W * P P,GEN —ÊÌ
W * N N,PL,COM,GEN ⁄·›Â«Ì
W * N N,SING,COM,GEN ﬂ‰«—
W * N N,SING,LOC „—œ«»
W * DELM DELM !
W * N N,SING,TIME,GEN ’»Õ
W * N N,SING,TIME,GEN —Ê“
W * ADJ ADJ,SIM »⁄œ
W * CON CON Â‰ê«„Ì ﬂÂ
W * QUA QUA,GEN Â„ÂÒ
W * N N,PL,COM ﬁÊ—»«€Â Â«
W * P P,GEN »—«Ì
W * N N,SING,COM ¬Ê«“
W * N N,SING,NFL ŒÊ«‰œ‰
W * N N,SING,COM Ã„⁄
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * CON CON Ê
W * P P,GEN —ÊÌ
W * N N,PL,COM,GEN »—êÂ«Ì
W * N N,SING,COM,GEN ‰Ì·Ê›—
W * ADJ ADJ,SIM ¬»Ì
W * V V,PA,SIM,POS,6 ‰‘” ‰œ
W * DELM DELM °
W * N N,SING,COM „·Œ
W * CON CON Â„
W * V V,PA,SIM,POS,3 ¬„œ
W * CON CON Ê
W * P P,GEN —ÊÌ
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN »—êÂ«Ì
W * N N,SING,COM,GEN ‰Ì·Ê›—
W * ADJ ADJ,SIM ¬»Ì
W * V V,PA,SIM,POS,3 ‰‘” 
W * DELM DELM .
W * CON CON Êﬁ Ì
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ﬁÊ—»«€ÂÒ
W * ADJ ADJ,SIM »“—ê
W * N N,SING,COM,AFF,3 ê·ÊÌ‘
W * RA RA —«
W * ADJ ADJ,SIM Å—
W * P P «“
W * N N,SING,COM »«œ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON ﬂÂ
W * N N,SING,COM ¬Ê«“
W * V V,SUB,POS,3 »ŒÊ«‰œ
W * DELM DELM °
W * N N,SING,COM „·Œ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * INT INT Ê«Ì
W * DET DET,I çÂ
W * N N,SING,COM,GEN ﬁÊ—»«€ÂÒ
W * ADJ ADJ,SIM,INDF »“—êÌ
W * DELM DELM !
W * N N,SING,COM,GEN ﬁÊ—»«€Â
W * ADJ ADJ,SIM »“—ê
W * CON CON Â„
W * P P »Â
W * N N,SING,COM „·Œ
W * N N,SING,COM,INDF ‰ê«ÂÌ
W * V V,PA,SIM,POS,3 «‰œ«Œ 
W * CON CON Ê
W * P P »«
W * N N,SING,COM €—Ê—
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,SING,1 „‰
W * ADJ ADJ,SUP »“—ê —Ì‰
W * CON CON Ê
W * ADJ ADJ,SUP »Â —Ì‰
W * N N,SING,COM,GEN ÕÌÊ«‰
W * N N,SING,COM œ‰Ì«
W * V V,PRS,POS,1 Â” „
W * DELM DELM !
W * N N,SING,COM „·Œ
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * CON CON Ê·Ì
W * PRO PRO,personal,SING,1 „‰
W * N N,SING,COM,INDF ÕÌÊ«‰Ì
W * RA RA —«
W * V V,PRS,POS,1 „Ì ‘‰«”„
W * CON CON ﬂÂ
W * P P «“
W * PRO PRO,personal,SING,2  Ê
W * ADJ ADJ,CMPR »“—ê —
W * V V,PRE,SIM «” 
W * DELM DELM !
W * N N,SING,COM,GEN ﬁÊ—»«€ÂÒ
W * ADJ ADJ,SIM »“—ê
W * CON CON Â„
W * P P «“
W * N N,SING,COM „·Œ
W * V V,PA,SIM,POS,3 Å—”Ìœ
W * DELM DELM :
W * DET DET,I ﬂœ«„
W * N N,SING,COM ÕÌÊ«‰
W * N N,SING,COM Ã—√ 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * P P «“
W * PRO PRO,personal,SING,1 „‰
W * ADJ ADJ,CMPR »“—ê —
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM ø
W * N N,SING,COM „·Œ
W * CON CON Â„
W * N N,SING,COM ÃÊ«»
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM :
W * DET DET ¬‰
W * N N,SING,COM ÕÌÊ«‰
W * N N,SING,COM ›Ì·
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,LOC Ã‰ê·
W * N N,SING,COM “‰œêÌ
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * N N,SING,COM,GEN ﬁÊ—»«€ÂÒ
W * ADJ ADJ,SIM »“—ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,SING,1 „‰
W * V V,PRS,POS,1 „Ì —Ê„
W * P P,GEN ÅÌ‘
W * N N,SING,COM ›Ì·
W * CON CON Ê
W * ADV ADV,GENR,SIM ¬‰ﬁœ—
W * N N,SING,COM,AFF,1 ê·ÊÌ„
W * RA RA —«
W * N N,SING,COM »«œ
W * V V,PRS,POS,1 „Ì ﬂ‰„
W * CON CON  «
W * P P «“
W * PRO PRO,personal,SING,3 «Ê
W * CON CON Â„
W * ADJ ADJ,CMPR »“—ê —
W * ADJ ADJ,SIM ‘Ê„
W * DELM DELM !
W * CON CON Ê
W * CON CON »⁄œ
W * ADV ADV,GENR,SIM Ã”  “‰«‰
W * P P «“
W * N N,SING,LOC „—œ«»
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,PA,SIM,POS,3 Å—Ìœ
W * DELM DELM .
W * PRO PRO,personal,SING,3 «Ê
W * P P œ—
W * N N,SING,LOC Ã‰ê·
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM »çÂ
W * N N,SING,COM Œ—êÊ‘
W * RA RA —«
W * V V,PA,SIM,POS,3 œÌœ
W * DELM DELM .
W * P P,GEN ÅÌ‘
W * PRO PRO,personal,SING,3 «Ê
W * V V,PA,SIM,POS,3 —› 
W * CON CON Ê
W * ADV ADV,GENR,SIM ¬‰ﬁœ—
W * N N,SING,COM,AFF,3 ê·ÊÌ‘
W * RA RA —«
W * ADJ ADJ,SIM Å—
W * P P «“
W * N N,SING,COM »«œ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON ﬂÂ
W * P P «“
W * DET DET ¬‰
W * N N,SING,COM »çÂ
W * N N,SING,COM Œ—êÊ‘
W * CON CON Â„
