Sub * SUBJ SUBJ !«ﬁ ’«œÌ!
W * N N,SING,PR ”Õ«»Ì
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM ‘—ﬂ  ﬂ‰‰œê«‰
W * P P œ—
W * N N,SING,COM,GEN ﬂ‰›—«‰”
W * N N,SING,LOC,PR »—·Ì‰
W * RA RA —«
W * ADJ ADJ,SIM ’«œ—
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,PL,COM,GEN —Ê«»ÿ
W * ADJ ADJ,SIM,GEN ⁄„Ê„Ì
W * N N,SING,COM,GEN œ«œê” —Ì
W * N N,SING,LOC,GEN «” «‰
W * N N,SING,LOC,PR  Â—«‰
W * P P »«
W * N N,SING,COM,GEN «⁄·«„
W * DET DET «Ì‰
W * N N,SING,COM „ÿ·»
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * P P œ—
W * N N,SING,COM,GEN «œ«„Â
W * N N,PL,COM,GEN  ÕﬁÌﬁ« 
W * P P œ—
W * N N,SING,COM,GEN Œ’Ê’
W * N N,SING,COM,GEN Å—Ê‰œÂ
W * N N,PL,COM,GEN «›—«œ
W * ADJ ADJ,SIM ‘—ﬂ  ﬂ‰‰œÂ
W * P P œ—
W * N N,SING,COM,GEN ﬂ‰›—«‰”
W * N N,SING,LOC,PR »—·Ì‰
W * DELM DELM °
W * P P »«
W * N N,SING,COM  ÊÃÂ
W * P P »Â
W * N N,SING,COM,GEN ﬂ‘›
W * N N,PL,COM «”‰«œ
W * CON CON Ê
W * N N,PL,COM,GEN „œ«—ﬂ
W * N N,SING,COM ÿ»ﬁÂ »‰œÌ
W * MORP MORP,MADJ ‘œÂ
W * P P œ—
W * N N,SING,COM,GEN Ã—Ì«‰
W * N N,PL,COM,GEN »«“—”ÌÂ«Ì
W * ADJ ADJ,SIM «ŒÌ—
W * P P «“
W * N N,PL,COM,GEN „‰«“·
W * QUA QUA »—ŒÌ
W * P P «“
W * DET DET «Ì‰
W * N N,PL,COM „ Â„«‰
W * DELM DELM °
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR „ﬁœ”Ì
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ‘⁄»Â
W * ADJ ADJ,ORD,GEN ”Ê„
W * N N,SING,COM,GEN œ«œê«Â
W * N N,SING,COM,GEN «‰ﬁ·«»
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR,GEN ⁄“  «··Â
W * N N,SING,PR ”Õ«»Ì
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN „‰ŸÊ—
W * N N,SING,COM,GEN  ﬂ„Ì·
W * N N,PL,COM  ÕﬁÌﬁ« 
W * CON CON Ê
W * N N,SING,COM,GEN «Œ–
W * N N,SING,COM  Ê÷ÌÕ
W * P P,GEN œ—»«—Â
W * QUA QUA »—ŒÌ
W * P P «“
W * DET DET «Ì‰
W * N N,PL,COM «”‰«œ
W * CON CON Ê
W * N N,PL,COM,GEN „œ«—ﬂ
W * ADJ ADJ,SIM „ﬂ‘Ê›Â
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM ‘⁄»Â
W * N N,SING,COM «Õ÷«—
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM ê“«—‘
W * ADJ ADJ,SIM Õ«ﬂÌ
W * V V,PRE,SIM «” 
W * DELM DELM :
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN «‰Ã«„
W * N N,SING,COM »«“ÃÊÌÌ
W * CON CON Ê
W * N N,SING,COM,GEN —⁄«Ì 
W * N N,PL,COM,GEN  ‘—Ì›« 
W * ADJ ADJ,SIM ﬁ«‰Ê‰Ì
W * CON CON Ê
W * P P »«
W * N N,SING,COM,GEN ⁄‰«Ì 
W * P P »Â
W * N N,SING,COM,GEN »Ì„
W * N N,SING,COM  »«‰Ì
W * CON CON Ê
W * N N,SING,COM,GEN „Ê«÷⁄Â
W * ADJ ADJ,SIM,GEN „ Â„
W * N N,SING,COM Ì«œ
W * MORP MORP,MADJ ‘œÂ
W * P P »«
W * N N,SING,COM,GEN ”«Ì—
W * N N,PL,COM „ Â„«‰
W * CON CON Ê
W * N N,PL,COM,GEN „— »ÿÌ‰
W * DET DET «Ì‰
W * N N,SING,COM Å—Ê‰œÂ
W * DELM DELM °
W * N N,SING,COM,GEN ﬁ—«—
W * N N,SING,COM,GEN ÊÀÌﬁÂ
W * ADJ ADJ,SIM ”«»ﬁ «·’œÊ—
W * P P œ—
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM ‰«„»—œÂ
W * RA RA —«
W * N N,SING,COM ›ﬂ
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN  ÃÊÌ“
W * N N,PL,COM,GEN »‰œÂ«Ì
W * N N,SING,NPR Ã
W * CON CON Ê
W * N N,SING,NPR,GEN œ
W * N N,SING,COM,GEN „«œÂ
W * N N,SING,NUM,GEN 23
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * N N,SING,COM,GEN ¬∆Ì‰
W * N N,SING,COM,GEN œ«œ—”Ì
W * N N,PL,COM,GEN œ«œê«ÂÂ«Ì
W * ADJ ADJ,SIM ⁄„Ê„Ì
W * CON CON Ê
W * N N,SING,COM «‰ﬁ·«»
W * P P œ—
W * N N,PL,COM,GEN «„Ê—
W * ADJ ADJ,SIM ﬂÌ›—Ì
W * CON CON Ê
W * CON CON Â„ç‰Ì‰
W * N N,PL,COM,GEN „›«œ
W * N N,SING,COM,GEN „«œÂ
W * N N,SING,NUM,GEN 53
W * DET DET Â„«‰
W * N N,SING,COM ﬁ«‰Ê‰
W * DELM DELM °
W * N N,SING,COM,GEN ﬁ—«—
W * N N,SING,COM,GEN »«“œ«‘ 
W * ADJ ADJ,SIM „Êﬁ 
W * P P œ—
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR ”Õ«»Ì
W * ADJ ADJ,SIM ’«œ—
W * CON CON Ê
W * N N,SING,COM ‰«„»—œÂ
W * ADJ ADJ,SIM,GEN —Ê«‰Â
W * N N,SING,COM “‰œ«‰
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * P P »—
W * N N,SING,COM,GEN «”«”
W * DET DET «Ì‰
W * N N,SING,COM ê“«—‘
W * DELM DELM °
W * N N,PL,COM  ÕﬁÌﬁ« 
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM “„Ì‰Â
W * ADV ADV,GENR,SIM ﬂ„«ﬂ«‰
W * N N,SING,COM «œ«„Â
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,LOC,PR ﬂÊ«·«·«„ÅÊ—
W * DELM DELM ‹
W * N N,SING,NPR «Ì—‰«
W * DELM DELM :
W * N N,SING,NUM »Ì” 
W * CON CON Ê
W * ADJ ADJ,ORD Â› „Ì‰
W * N N,SING,COM,GEN ‰‘” 
W * N N,PL,COM,GEN Ê“Ì—«‰
W * N N,PL,COM,GEN «„Ê—
W * ADJ ADJ,SIM,GEN Œ«—ÃÂ
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,SIM «”·«„Ì
W * N N,SING,TIME,GEN ’»Õ
W * N N,SING,DAY ”Â ‘‰»Â
W * P P »«
W * N N,PL,COM,GEN ”Œ‰«‰
W * N N,SING,PR „«Â« Ì—
W * N N,SING,PR „Õ„œ
W * DELM DELM °
W * N N,SING,COM,GEN ‰Œ”  Ê“Ì—
W * N N,SING,LOC,PR „«·“Ì
W * DELM DELM °
W * P P œ—
W * N N,SING,LOC,PR ﬂÊ«·«·«„ÅÊ—
W * DELM DELM °
W * N N,SING,LOC,GEN Å«Ì Œ 
W * DET DET «Ì‰
W * N N,SING,LOC ﬂ‘Ê—
W * DELM DELM °
W * N N,SING,COM ê‘«Ì‘
W * V V,PA,SIM,POS,3 Ì«› 
W * DELM DELM .
W * N N,SING,SURN ”Ìœ
W * N N,SING,PR,GEN ﬂ„«·
W * N N,SING,LOC Œ—«“Ì
W * N N,SING,COM,GEN Ê“Ì—
W * N N,PL,COM,GEN «„Ê—
W * ADJ ADJ,SIM,GEN Œ«—ÃÂ
W * N N,SING,COM,GEN Ã„ÂÊ—Ì
W * ADJ ADJ,SIM,GEN «”·«„Ì
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON ‰Ì“
W * P P œ—
W * N N,SING,COM,GEN —√”
W * N N,SING,NUM Ìﬂ
W * N N,SING,GR,GEN ÂÌ√ 
W * ADJ ADJ,SIM ”Ì«”Ì
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM ‰‘” 
W * N N,SING,COM ‘—ﬂ 
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * N N,PL,COM,INDF ç«·‘Â«ÌÌ
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN «À—
W * N N,SING,COM,GEN —Ê‰œ
W * ADJ ADJ,SIM ÃÂ«‰Ì
W * N N,SING,NFL ‘œ‰
W * N N,SING,COM,GEN ÅÌ‘
W * N N,SING,COM,GEN —ÊÌ
W * N N,PL,LOC ﬂ‘Ê—Â«
W * CON CON Ê
W * N N,PL,COM,GEN ÃÊ«„⁄
W * ADJ ADJ,SIM «”·«„Ì
W * P P œ—
W * N N,SING,COM,GEN ”— «”—
W * N N,SING,COM ÃÂ«‰
W * N N,SING,COM ﬁ—«—
W * ADJ ADJ,INO ê—› Â
W * V V,PRE,SIM «” 
W * DELM DELM °
W * ADJ ADJ,SUP „Â„ —Ì‰
W * N N,SING,COM,GEN »Œ‘
W * N N,PL,COM,GEN ê›  ÊêÊÂ«Ì
W * N N,PL,COM,GEN Ê“Ì—«‰
W * N N,PL,COM,GEN «„Ê—
W * ADJ ADJ,SIM,GEN Œ«—ÃÂ
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,SIM,GEN ⁄÷Ê
W * N N,SING,COM,GEN ”«“„«‰
W * N N,SING,COM,GEN ﬂ‰›—«‰”
W * ADJ ADJ,SIM «”·«„Ì
W * RA RA —«
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM Â„«Ì‘
W * N N,SING,COM  ‘ﬂÌ·
W * V V,PRS,POS,3 „Ì œÂœ
W * DELM DELM .
W * ADJ ADJ,SIM «›“Ê‰
W * P P »—
W * PRO PRO,DEMO,SING «Ì‰
W * DELM DELM °
W * N N,SING,COM ﬁ—«—
W * V V,PRE,SIM «” 
W * N N,SING,COM,GEN œ»Ì—ﬂ·
W * ADJ ADJ,SIM,GEN  «“Â
W * DET DET «Ì‰
W * N N,SING,COM,GEN ”«“„«‰
W * ADJ ADJ,SIM »Ì‰ «·„··Ì
W * P P œ—
W * N N,SING,COM,GEN ‰‘” 
W * N N,SING,LOC,PR ﬂÊ«·«·«„ÅÊ—
W * ADJ ADJ,INO »—ê“ÌœÂ
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * N N,SING,COM,GEN ‘»ﬂÂ
W * ADJ ADJ,SIM,GEN Œ»—Ì
W * ADJ ADJ,SIM,GEN  ·ÊÌ“ÌÊ‰Ì
W * N N,SING,COM,GEN ”«“„«‰
W * N N,SING,COM,GEN Œ»—ê“«—Ì
W * ADJ ADJ,SIM,GEN ¬„—Ìﬂ«ÌÌ
W * N N,SING,PR ¬”Ê‘Ì œÅ—”
W * CON CON ‰Ì“
W * DET DET «Ì‰
W * N N,SING,COM ¬ÌÌ‰
W * RA RA —«
W * P P «“
W * N N,SING,LOC,GEN Å«Ìê«Â
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,LOC,PR ·‰œ‰
W * P P »Â
W * N N,SING,COM,GEN ÿÊ—
W * ADJ ADJ,SIM „” ﬁÌ„
W * P P,GEN »—«Ì
W * N N,PL,COM «—ÊÅ«ÌÌ«‰
W * N N,SING,COM ÅŒ‘
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,COM,GEN ”«“„«‰
W * N N,SING,COM,GEN ﬂ‰›—«‰”
W * ADJ ADJ,SIM «”·«„Ì
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM,GEN 1969
W * ADJ ADJ,SIM „Ì·«œÌ
W * DELM DELM °
W * N N,SING,NUM 13
W * N N,SING,TIME,GEN ”«·
W * N N,SING,COM ÅÌ‘
W * DELM DELM °
W * N N,SING,COM  √”Ì”
W * V V,PA,SIM,POS,3 ‘œ
W * ADV ADV,GENR,TIME «Ì‰ﬂ
W * N N,SING,NUM 65
W * N N,SING,LOC,GEN ﬂ‘Ê—
W * ADJ ADJ,SIM ⁄÷Ê
W * V V,PRS,POS,3 œ«—œ
W * CON CON Ê
W * N N,SING,NUM çÂ«—
W * N N,SING,LOC,GEN ﬂ‘Ê—
W * ADJ ADJ,SIM œÌê—
W * P P œ—
W * N N,PL,COM,GEN ‰‘” Â«Ì
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM,GEN ‰ﬁ‘
W * ADJ ADJ,SIM ‰«Ÿ—
W * V V,PRS,POS,6 œ«—‰œ
W * DELM DELM .
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM ‹
W * N N,SING,NPR «Ì—‰«
W * DELM DELM :
W * N N,SING,COM,GEN „œÌ—ﬂ·
W * N N,PL,COM „ÿ»Ê⁄« 
W * CON CON Ê
W * N N,PL,COM,GEN —”«‰Â Â«Ì
W * ADJ ADJ,SIM,GEN Œ«—ÃÌ
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,COM ›—Â‰ê
W * CON CON Ê
W * N N,SING,COM,GEN «—‘«œ
W * ADJ ADJ,SIM «”·«„Ì
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,COM,GEN «Ã—«Ì
W * N N,PL,COM,GEN „ﬁ——« 
W * ADJ ADJ,SIM —”«‰Â «Ì
W * P P œ—
W * N N,SING,COM,GEN „Ê—œ
W * N N,PL,COM Œ»—‰ê«—«‰
W * CON CON Ì«
W * N N,PL,COM,GEN ‘»ﬂÂ Â«Ì
W * ADJ ADJ,SIM Œ»—Ì
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM,GEN «Œ·«ﬁ
W * ADJ ADJ,SIM —”«‰Â «Ì
W * N N,SING,COM ⁄œÊ·
W * ADJ ADJ,INO ﬂ—œÂ
W * CON CON Ì«
W * N N,SING,COM,GEN ﬁ’œ
W * ADJ ADJ,SIM ‰«œÌœÂ
W * N N,SING,NFL,GEN ê—› ‰
W * N N,PL,COM,GEN „ﬁ——« 
W * N N,SING,LOC ﬂ‘Ê—
W * RA RA —«
W * V V,PRS,POS,6 œ«—‰œ
W * DELM DELM °
W * N N,SING,COM,INDF «„—Ì
W * ADJ ADJ,SIM ﬁ«‰Ê‰Ì
W * CON CON Ê
W * ADJ ADJ,SIM ÿ»Ì⁄Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR,GEN „Õ„œ
W * N N,SING,PR,GEN Õ”Ì‰
W * N N,SING,PR ŒÊ‘Êﬁ 
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * P P œ—
W * N N,SING,COM ê› êÊ
W * P P »«
W * N N,SING,NPR «Ì—‰«
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,PL,COM,GEN „ﬁ——« 
W * ADJ ADJ,SIM,GEN —”«‰Â «Ì
W * N N,SING,LOC,GEN «œ«—Â
W * N N,SING,COM,GEN ﬂ·
W * N N,PL,COM „ÿ»Ê⁄« 
W * CON CON Ê
W * N N,PL,COM,GEN —”«‰Â Â«Ì
W * ADJ ADJ,SIM Œ«—ÃÌ
W * ADV ADV,GENR,SIM ·««ﬁ·
W * P P œ—
W * N N,SING,NUM ”Â
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,SIM ê–‘ Â
W * P P,GEN »œÊ‰
W * N N,SING,COM  »⁄Ì÷
W * N N,SING,COM «⁄„«·
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM  ’—ÌÕ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,COM,GEN »—ŒÊ—œ
W * ADJ ADJ,SIM,GEN «ŒÌ—
W * DET DET «Ì‰
W * N N,SING,LOC «œ«—Â
W * P P »«
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN Œ»—‰ê«—«‰
W * N N,SING,COM,GEN ‘»ﬂÂ
W * ADJ ADJ,SIM,GEN Œ»—Ì
W * N N,SING,NPR ”Ì «‰ «‰
W * CON CON Ê
W * CON CON ‰Ì“
W * N N,SING,COM,GEN ‘»ﬂÂ
W * N N,SING,PR,GEN ”Ì »Ì «”
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * P P œ—
W * N N,SING,COM,GEN çÂ«—çÊ»
W * N N,SING,COM „ﬁ«»·Â
W * P P »«
W * N N,PL,COM Œ»—‰ê«—«‰
W * CON CON Ì«
W * N N,PL,COM,GEN ‘»ﬂÂ Â«Ì
W * ADJ ADJ,SIM,GEN „ Œ·›
W * ADJ ADJ,SIM œÌê—
W * ADJ ADJ,INO »ÊœÂ
W * CON CON ﬂÂ
W * V V,AUX,NIN,NEG ‰»«Ìœ
W * P P »«
W * N N,PL,COM,GEN »“—ê‰„«ÌÌ Â«Ì
W * ADJ ADJ,SIM „ÿ»Ê⁄« Ì
W * ADJ ADJ,SIM „Ê«ÃÂ
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM ‹
W * N N,SING,NPR «Ì—‰«
W * DELM DELM :
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,COM,GEN „Ã«ÂœÌ‰
W * N N,SING,COM,GEN «‰ﬁ·«»
W * ADJ ADJ,SIM «”·«„Ì
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * P P œ—
W * N N,SING,COM,INDF «ÿ·«⁄ÌÂ «Ì
W * N N,SING,COM ‰”» 
W * P P »Â
W * PRO PRO,INDF,SING ¬‰çÂ
W * CON CON ﬂÂ
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN «ﬁœ«„
W * ADJ ADJ,SIM,GEN €Ì—ﬁ«‰Ê‰Ì
W * N N,SING,COM,GEN  ÊﬁÌ›
W * N N,SING,COM,GEN —Ê“‰«„Â
W * N N,SING,COM »Ì«‰
W * N N,SING,COM ‰«„
W * V V,PA,SIM,POS,3 »—œ
W * DELM DELM °
W * N N,SING,COM «⁄ —«÷
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM,GEN  ‘ﬂ·
W * ADJ ADJ,SIM ”Ì«”Ì
W * P P œ—
W * N N,SING,COM,GEN «ÿ·«⁄ÌÂ
W * PRO PRO,R,XOD ŒÊœ
W * P P «“
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM,GEN ﬁÊÂ
W * ADJ ADJ,SIM ﬁ÷«∆ÌÂ
W * V V,PA,SIM,POS,3 ŒÊ«” 
W * ADV ADV,deg,SIM Â—çÂ
W * ADJ ADJ,CMPR ”—Ì⁄ —
W * P P »Â
W * DET DET «Ì‰êÊ‰Â
W * N N,PL,COM,GEN »—ŒÊ—œÂ«Ì
W * ADJ ADJ,SIM ‰«’Ê«»
W * P P »«
W * N N,PL,COM „ÿ»Ê⁄« 
W * N N,SING,ORD Å«Ì«‰
W * V V,SUB,POS,3 œÂœ
W * CON CON Ê
W * P P »«
W * N N,SING,COM,GEN —›⁄
W * N N,PL,COM,GEN  ÊﬁÌ›Â«Ì
W * ADJ ADJ,SIM €Ì—ﬁ«‰Ê‰Ì
W * CON CON Ì«
W * ADJ ADJ,SIM ‘»Â ﬁ«‰Ê‰Ì
W * P P «“
W * N N,PL,COM —Ê“‰«„Â Â«
W * CON CON Ê
W * N N,PL,COM ‰‘—Ì« 
W * DELM DELM °
W * N N,SING,COM ‰‘«‰
W * V V,SUB,POS,3 œÂœ
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM Â„ç‰«‰
W * P P »Â
W * N N,PL,COM ‘⁄«—Â«
W * CON CON Ê
W * N N,PL,COM,GEN Ê⁄œÂ Â«Ì
W * ADJ ADJ,SIM «Ê·ÌÂ
W * ADJ ADJ,SIM Å«Ì»‰œ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM,GEN ”«“„«‰
W * N N,PL,COM,GEN „Ã«ÂœÌ‰
W * N N,SING,COM,GEN «‰ﬁ·«»
W * ADJ ADJ,SIM «”·«„Ì
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM «ÿ·«⁄ÌÂ
W * ADJ ADJ,SIM «÷«›Â
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN ê–‘ 
W * QUA QUA,GEN ÕœÊœ
W * N N,SING,NUM œÊ
W * N N,SING,TIME „«Â
W * P P «“
W * N N,SING,COM,GEN  ⁄ÿÌ·Ì
W * ADJ ADJ,SIM ê—ÊÂÌ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ‰«êÂ«‰Ì
W * N N,PL,COM —Ê“‰«„Â Â«
W * CON CON Ê
W * N N,PL,COM ‰‘—Ì« 
W * CON CON Ê
W * CON CON œ—Õ«·Ì ﬂÂ
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * DELM DELM °
W * ADJ ADJ,SUP ‰Œ” Ì‰
W * N N,PL,COM,GEN ê«„Â«Ì
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN «’·«Õ
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * N N,PL,COM „ÿ»Ê⁄« 
W * V V,PRS,POS,3 »—„Ì œ«—œ
W * DELM DELM °
W * N N,SING,NUM,INDF ÌﬂÌ
W * ADJ ADJ,SIM œÌê—
W * P P «“
W * N N,PL,COM,GEN —Ê“‰«„Â Â«Ì
W * ADJ ADJ,SIM,INDF œÊ„ Œ—œ«œÌ
W * P P »«
W * N N,SING,COM,GEN ’œÊ—
W * N N,SING,COM,INDF Õﬂ„Ì
W * ADJ ADJ,SIM €Ì—ﬁ«‰Ê‰Ì
W * DELM DELM °
W * N N,SING,COM  ÊﬁÌ›
W * CON CON Ê
W * N N,SING,COM  ⁄ÿÌ·
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM,GEN  ‘ﬂ·
W * ADJ ADJ,SIM ”Ì«”Ì
W * P P »«
W * N N,SING,COM,GEN »Ì«‰
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
